,who,did,tesla,call,in,the,middle,of,the,night,?
:208,0.030443865805864334,0.05005805566906929,0.18151651322841644,-0.011756804771721363,0.0802069902420044,0.02060488797724247,0.07011038810014725,0.018694188445806503,0.02060488797724247,0.04667727276682854,0.13365799188613892
kenneth,0.170498788356781,0.14233003556728363,0.09915949404239655,0.04898795112967491,0.1796969771385193,0.16795498132705688,0.09712209552526474,0.15003803372383118,0.16795498132705688,0.181614488363266,0.15436260402202606
swezey,0.24386486411094666,0.18392053246498108,0.1981232911348343,0.2357524037361145,0.21954648196697235,0.26893380284309387,0.17816635966300964,0.15691658854484558,0.26893380284309387,0.27341797947883606,0.3264000415802002
",",0.3365725874900818,0.3015086054801941,0.20599327981472015,0.2670435905456543,0.5201468467712402,0.4933079481124878,0.24847112596035004,0.4946078956127167,0.4933079481124878,0.24717365205287933,0.31091248989105225
a,0.36608949303627014,0.2552328109741211,0.2211925983428955,0.2774817645549774,0.539380669593811,0.5829201340675354,0.23820361495018005,0.5052502155303955,0.5829201340675354,0.23192226886749268,0.23916715383529663
journalist,0.2652316093444824,0.15346233546733856,0.13506999611854553,0.08231766521930695,0.17949986457824707,0.1387142688035965,0.11881349235773087,0.10838672518730164,0.1387142688035965,0.1904192566871643,0.09252665191888809
whom,0.6214004158973694,0.3024649918079376,0.08830016106367111,0.15753206610679626,0.20012985169887543,0.23752936720848083,0.07000286132097244,0.2070929855108261,0.23752936720848083,0.18513871729373932,0.222135990858078
tesla,0.1520961970090866,0.09757418930530548,0.9999999403953552,0.0995580330491066,0.17097744345664978,0.1324402391910553,0.08926539123058319,0.18837453424930573,0.1324402391910553,0.044021330773830414,0.10250775516033173
had,0.36173108220100403,0.540525496006012,0.12050733715295792,0.1465468853712082,0.385026752948761,0.3875846862792969,0.21585454046726227,0.37755560874938965,0.3875846862792969,0.23222540318965912,0.20728366076946259
befriended,0.4360186457633972,0.3124684989452362,0.13563703000545502,0.14663921296596527,0.2522464692592621,0.26196205615997314,0.157784104347229,0.2355475127696991,0.26196205615997314,0.31214576959609985,0.1948019415140152
",",0.3365725874900818,0.3015086054801941,0.20599327981472015,0.2670435905456543,0.5201468467712402,0.4933079481124878,0.24847112596035004,0.4946078956127167,0.4933079481124878,0.24717365205287933,0.31091248989105225
confirmed,0.22889703512191772,0.23830153048038483,0.11509191989898682,0.13306517899036407,0.2745530903339386,0.2951974868774414,0.09230691194534302,0.24135258793830872,0.2951974868774414,0.1630021631717682,0.20580808818340302
that,0.45444270968437195,0.47518548369407654,0.22102725505828857,0.2914465367794037,0.435920387506485,0.5473989248275757,0.22241683304309845,0.41498205065727234,0.5473989248275757,0.27608349919319153,0.32716336846351624
tesla,0.1520961970090866,0.09757418930530548,0.9999999403953552,0.0995580330491066,0.17097744345664978,0.1324402391910553,0.08926539123058319,0.18837453424930573,0.1324402391910553,0.044021330773830414,0.10250775516033173
rarely,0.3270801901817322,0.27754759788513184,0.1177143007516861,0.24646085500717163,0.2389764040708542,0.2914859354496002,0.19112402200698853,0.22155629098415375,0.2914859354496002,0.24745024740695953,0.23009803891181946
slept,0.3092925250530243,0.3289739191532135,0.09278424829244614,0.19489485025405884,0.18158666789531708,0.1655406951904297,0.20072339475154877,0.14475908875465393,0.1655406951904297,0.37751439213752747,0.15845751762390137
.,0.3541337847709656,0.35288307070732117,0.17949827015399933,0.2601918876171112,0.5591574311256409,0.5934505462646484,0.2989427447319031,0.5352458953857422,0.5934505462646484,0.24810922145843506,0.4130953550338745
