,what,is,a,spark,or,heat,to,the,progress,of,a,fire,?
fire,0.19359004497528076,0.20205499231815338,0.2617572844028473,0.31961536407470703,0.17000901699066162,0.28107112646102905,0.2020210474729538,0.2911929488182068,0.16163583099842072,0.20259131491184235,0.2617572844028473,0.9999999403953552,0.14396874606609344
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.2533535361289978,0.4713204801082611,0.2678423523902893,0.48971283435821533,0.5171257257461548,0.2616768479347229,0.5116966962814331,0.3739250600337982,0.2478165328502655,0.20544172823429108
explosion,0.1955919712781906,0.24345266819000244,0.30481159687042236,0.3985983431339264,0.16185377538204193,0.26048386096954346,0.15860986709594727,0.2702338993549347,0.1970369517803192,0.2521720826625824,0.30481159687042236,0.472233384847641,0.14159642159938812
hazards,0.24034540355205536,0.21223413944244385,0.25150901079177856,0.22487938404083252,0.2596891224384308,0.3358648121356964,0.2605954110622406,0.2174634337425232,0.2251565009355545,0.2060418576002121,0.25150901079177856,0.2816212475299835,0.22479578852653503
exist,0.3340267241001129,0.24373944103717804,0.20179782807826996,0.1527881920337677,0.3274376392364502,0.1050863116979599,0.2506487965583801,0.3024537265300751,0.21328940987586975,0.28013259172439575,0.20179782807826996,0.1412484496831894,0.28923845291137695
when,0.4700249433517456,0.3471449911594391,0.44397395849227905,0.31120142340660095,0.417120099067688,0.28053173422813416,0.5423505902290344,0.5091903209686279,0.2243235558271408,0.3757161796092987,0.44397395849227905,0.24638736248016357,0.22841128706932068
concentrated,0.20476274192333221,0.25344735383987427,0.22587455809116364,0.2655109167098999,0.24039608240127563,0.23006956279277802,0.2865214943885803,0.2688957750797272,0.17470932006835938,0.28396520018577576,0.22587455809116364,0.2352084219455719,0.11501483619213104
oxidants,0.17175498604774475,0.20412951707839966,0.14788439869880676,0.28810253739356995,0.294015496969223,0.38771647214889526,0.18326568603515625,0.15653514862060547,0.12011031061410904,0.18022018671035767,0.14788439869880676,0.2064255028963089,0.14465956389904022
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.2533535361289978,0.4713204801082611,0.2678423523902893,0.48971283435821533,0.5171257257461548,0.2616768479347229,0.5116966962814331,0.3739250600337982,0.2478165328502655,0.20544172823429108
fuels,0.2505243420600891,0.21151012182235718,0.18871913850307465,0.3612227737903595,0.27021530270576477,0.42259907722473145,0.28209415078163147,0.18556588888168335,0.173666313290596,0.1976904273033142,0.18871913850307465,0.23570260405540466,0.22506318986415863
are,0.29724663496017456,0.5330929756164551,0.265255331993103,0.11453884840011597,0.5374364256858826,0.20968274772167206,0.3504326641559601,0.40399202704429626,0.19117219746112823,0.39081433415412903,0.265255331993103,0.15609590709209442,0.24591213464736938
brought,0.26212388277053833,0.1763010025024414,0.2422461211681366,0.2637946903705597,0.19954000413417816,0.14993584156036377,0.35361579060554504,0.32700833678245544,0.22166036069393158,0.3339962065219879,0.2422461211681366,0.24473734200000763,0.2339296191930771
into,0.2180619090795517,0.2619607150554657,0.3461161255836487,0.15450936555862427,0.31663477420806885,0.21984709799289703,0.38810545206069946,0.39493247866630554,0.21507734060287476,0.32255905866622925,0.3461161255836487,0.16608357429504395,0.15662476420402527
close,0.23424343764781952,0.26769399642944336,0.2293529510498047,0.10397573560476303,0.19316741824150085,0.20371046662330627,0.33802270889282227,0.2625353932380676,0.06008671596646309,0.24178770184516907,0.2293529510498047,0.18249106407165527,0.1908312737941742
proximity,0.20552685856819153,0.23200470209121704,0.22286240756511688,0.1183992475271225,0.2435990571975708,0.2458803355693817,0.24908709526062012,0.26819658279418945,0.20514221489429474,0.2888256311416626,0.22286240756511688,0.1984635293483734,0.046892885118722916
;,0.10986888408660889,0.05324986204504967,-0.02122584730386734,-0.0084739550948143,0.0563276931643486,0.014525226317346096,0.0979827418923378,0.09152708947658539,0.07373088598251343,0.054534342139959335,-0.02122584730386734,-0.06785835325717926,0.10349778085947037
an,0.2821882665157318,0.4654068350791931,0.44552403688430786,0.20655225217342377,0.3096676766872406,0.20739661157131195,0.3138085603713989,0.4207492768764496,0.17250850796699524,0.32280945777893066,0.44552403688430786,0.18738067150115967,0.19793890416622162
ignition,0.22602982819080353,0.194061741232872,0.3030063509941101,0.48840558528900146,0.26681992411613464,0.4123208820819855,0.2636983394622803,0.24005205929279327,0.15043111145496368,0.16859804093837738,0.3030063509941101,0.39213597774505615,0.17905962467193604
event,0.26981404423713684,0.2078172266483307,0.2635729908943176,0.16369064152240753,0.28712624311447144,0.1637621819972992,0.2585321366786957,0.2960145175457001,0.15522363781929016,0.19878064095973969,0.2635729908943176,0.17836201190948486,0.16076280176639557
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.23687885701656342,0.3769497275352478,0.25331911444664,0.44245919585227966,0.4933079481124878,0.19034884870052338,0.4946078956127167,0.427140474319458,0.24915234744548798,0.31091248989105225
such,0.23989605903625488,0.23545363545417786,0.2706976532936096,0.15649308264255524,0.5489916801452637,0.2498067170381546,0.2871878743171692,0.3575236201286316,0.22241052985191345,0.3209529519081116,0.2706976532936096,0.1676037311553955,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.39550232887268066,0.19917552173137665,0.4400654137134552,0.20366492867469788,0.42092081904411316,0.48381632566452026,0.19085650146007538,0.3886612355709076,0.39550232887268066,0.15623275935649872,0.27043893933296204
heat,0.1933984011411667,0.20543494820594788,0.2243129312992096,0.3025777339935303,0.23559391498565674,1.0,0.2773711681365967,0.2556036710739136,0.17108379304409027,0.19590096175670624,0.2243129312992096,0.28107112646102905,0.16343188285827637
or,0.33867141604423523,0.41870999336242676,0.48853766918182373,0.17849101126194,1.0000001192092896,0.23559391498565674,0.38921234011650085,0.4174870550632477,0.19187597930431366,0.3792596757411957,0.48853766918182373,0.17000901699066162,0.32389625906944275
a,0.3320399522781372,0.658733606338501,1.0,0.26829463243484497,0.48853766918182373,0.2243129312992096,0.45503583550453186,0.5829201340675354,0.25271832942962646,0.5052502155303955,1.0,0.2617572844028473,0.23916715383529663
spark,0.23506906628608704,0.1769925057888031,0.26829463243484497,0.9999998807907104,0.17849101126194,0.3025777339935303,0.21029704809188843,0.23584461212158203,0.20344144105911255,0.22545747458934784,0.26829463243484497,0.31961536407470703,0.25924956798553467
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.23687885701656342,0.3769497275352478,0.25331911444664,0.44245919585227966,0.4933079481124878,0.19034884870052338,0.4946078956127167,0.427140474319458,0.24915234744548798,0.31091248989105225
is,0.28837618231773376,1.0,0.658733606338501,0.1769925057888031,0.41870999336242676,0.20543494820594788,0.42745086550712585,0.5823672413825989,0.15454937517642975,0.4854315221309662,0.658733606338501,0.20205499231815338,0.22961433231830597
needed,0.3631289601325989,0.21605761349201202,0.2915569543838501,0.26424434781074524,0.38756439089775085,0.23864814639091492,0.45002421736717224,0.3064746856689453,0.3394187390804291,0.27215874195098877,0.2915569543838501,0.2195037305355072,0.2863257825374603
to,0.455847829580307,0.42745086550712585,0.45503583550453186,0.21029704809188843,0.38921234011650085,0.2773711681365967,1.0,0.535392165184021,0.25305503606796265,0.41548454761505127,0.45503583550453186,0.2020210474729538,0.29463258385658264
trigger,0.25090304017066956,0.19706949591636658,0.25678765773773193,0.2640846371650696,0.322898805141449,0.20283463597297668,0.21853643655776978,0.2766578197479248,0.204396590590477,0.15345779061317444,0.25678765773773193,0.2898836135864258,0.22531388700008392
combustion,0.2678600549697876,0.27011600136756897,0.3238258957862854,0.46677857637405396,0.3234851062297821,0.5117379426956177,0.21775685250759125,0.2447446882724762,0.139531210064888,0.25126782059669495,0.3238258957862854,0.2860585153102875,0.2177530825138092
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.2980855405330658,0.36683785915374756,0.27046459913253784,0.4645031690597534,0.5934505462646484,0.26111605763435364,0.5352458953857422,0.50484299659729,0.2511917054653168,0.4130953550338745
