,in,what,year,did,abc,stop,using,it,'s,four-note,jingle,for,promotion,?
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.1697147786617279,0.20196323096752167,0.2717311978340149,0.5130809545516968,-0.037580832839012146,0.3152153789997101,0.22652524709701538,0.4322226941585541,0.18484127521514893,0.20430970191955566
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.2068762183189392,0.25771772861480713,0.28364112973213196,0.6251175999641418,-0.01540423184633255,0.41836729645729065,0.2605932354927063,0.4739971458911896,0.2371896505355835,0.22068053483963013
fall,0.22958555817604065,0.26931828260421753,0.26067012548446655,0.22550886869430542,0.14103294909000397,0.24117213487625122,0.0995466411113739,0.2443615347146988,-0.05826059728860855,0.19539952278137207,0.25294435024261475,0.12688584625720978,0.19265247881412506,0.1656162142753601
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.2513895630836487,0.14607268571853638,0.2052845060825348,0.24298200011253357,0.38761502504348755,-0.03817026689648628,0.3959604799747467,0.20029208064079285,0.4185989499092102,0.1600600630044937,0.1826142966747284
2015,0.0891268327832222,-0.07269049435853958,0.10588137805461884,0.02002497762441635,-0.04918218031525612,-0.05106738954782486,-0.07123680412769318,0.01952941343188286,0.023902352899312973,0.1008630096912384,-0.03822821378707886,-0.08512632548809052,0.011470135301351547,-0.029954981058835983
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.2097204476594925,0.24759207665920258,0.27050045132637024,0.48329564929008484,-0.0016132977325469255,0.3779522776603699,0.270126074552536,0.4464869201183319,0.25748300552368164,0.31091248989105225
abc,0.1697147786617279,0.1317344456911087,0.2373921275138855,0.13353709876537323,1.0000001192092896,0.14223094284534454,0.1571076661348343,0.17324577271938324,0.06670809537172318,0.23158463835716248,0.24744270741939545,0.22510288655757904,0.183466374874115,0.19065172970294952
is,0.5394441485404968,0.28837618231773376,0.2402215600013733,0.19247472286224365,0.16037321090698242,0.18207861483097076,0.26543745398521423,0.6328473687171936,0.02396530658006668,0.35156723856925964,0.20564457774162292,0.43268078565597534,0.1827780306339264,0.22961433231830597
stopped,0.25970861315727234,0.22189217805862427,0.2625292241573334,0.3909185230731964,0.17792008817195892,0.6449421644210815,0.25100016593933105,0.22041943669319153,-0.07612390071153641,0.2493053674697876,0.1866692304611206,0.32537728548049927,0.19668161869049072,0.15542519092559814
with,0.4080928862094879,0.2464839518070221,0.3220449686050415,0.25472134351730347,0.17432008683681488,0.2378961592912674,0.3917884826660156,0.3369046747684479,-0.04624466598033905,0.3379456698894501,0.26886841654777527,0.39140474796295166,0.18880349397659302,0.2433311939239502
