,why,is,the,collection,dominated,by,fashionable,clothes,made,for,special,occasions,?
costume,0.20900970697402954,0.17486228048801422,0.2800344228744507,0.2409714162349701,0.11965131014585495,0.20348483324050903,0.4136918783187866,0.48204147815704346,0.20217730104923248,0.2348831295967102,0.22753775119781494,0.20283639430999756,0.1820250153541565
sketches,0.15404564142227173,0.20908690989017487,0.22366484999656677,0.34705275297164917,0.16775761544704437,0.26755738258361816,0.34462210536003113,0.237635999917984,0.24096113443374634,0.22110693156719208,0.14822371304035187,0.17238658666610718,0.15365110337734222
",",0.2827242314815521,0.4691906273365021,0.4933079481124878,0.2277175933122635,0.27990370988845825,0.3680937886238098,0.28227895498275757,0.2366921454668045,0.32507219910621643,0.4464869201183319,0.23880577087402344,0.3133699893951416,0.31091248989105225
design,0.22152575850486755,0.18976035714149475,0.27913451194763184,0.19661931693553925,0.17095313966274261,0.20755122601985931,0.3432616591453552,0.3237996995449066,0.22968336939811707,0.2477298229932785,0.1681428700685501,0.09394130110740662,0.16351860761642456
notebooks,0.2747596204280853,0.1650172770023346,0.18612976372241974,0.35645028948783875,0.0294181015342474,0.22476200759410858,0.2351302206516266,0.304284930229187,0.30281415581703186,0.21511977910995483,0.17513620853424072,0.16586700081825256,0.2108169049024582
",",0.2827242314815521,0.4691906273365021,0.4933079481124878,0.2277175933122635,0.27990370988845825,0.3680937886238098,0.28227895498275757,0.2366921454668045,0.32507219910621643,0.4464869201183319,0.23880577087402344,0.3133699893951416,0.31091248989105225
and,0.27806392312049866,0.3859752118587494,0.5171257257461548,0.2379438579082489,0.324688583612442,0.4289871156215668,0.3522982597351074,0.24643054604530334,0.34954607486724854,0.5064792633056641,0.22352655231952667,0.36835727095603943,0.20544172823429108
other,0.321101576089859,0.25895947217941284,0.44152235984802246,0.2705381214618683,0.23221039772033691,0.3321913778781891,0.23412297666072845,0.2566142976284027,0.2986699640750885,0.3273986279964447,0.31906658411026,0.3067827522754669,0.24682199954986572
works,0.17361250519752502,0.30236580967903137,0.26337864995002747,0.3417747914791107,0.1645866185426712,0.2887086570262909,0.202877476811409,0.17019790410995483,0.20754458010196686,0.34962278604507446,0.1441870480775833,0.21846076846122742,0.19597402215003967
on,0.2698206305503845,0.3635730445384979,0.5107308030128479,0.2131180614233017,0.16025306284427643,0.33887791633605957,0.18780988454818726,0.13988520205020905,0.37619519233703613,0.36199691891670227,0.23108302056789398,0.29779648780822754,0.2714994251728058
paper,0.18505069613456726,0.20328976213932037,0.2077420949935913,0.28873971104621887,0.052695922553539276,0.20666080713272095,0.23324549198150635,0.3067082166671753,0.28444966673851013,0.22010697424411774,0.2273021787405014,0.21051737666130066,0.12693770229816437
are,0.3273901343345642,0.5330929756164551,0.40399202704429626,0.22862131893634796,0.18188512325286865,0.37842893600463867,0.222179114818573,0.23846735060214996,0.2941095530986786,0.3895993232727051,0.28764480352401733,0.3041960597038269,0.24591213464736938
typically,0.271177738904953,0.3483496606349945,0.33345210552215576,0.18061897158622742,0.23469066619873047,0.24891473352909088,0.26796504855155945,0.242183119058609,0.200508713722229,0.3479194939136505,0.29767414927482605,0.2857477068901062,0.14485043287277222
held,0.1170450747013092,0.19884860515594482,0.32185450196266174,0.23742815852165222,0.2527746558189392,0.19236290454864502,0.1731400191783905,0.139099583029747,0.2655305862426758,0.2495253086090088,0.21808509528636932,0.31172412633895874,0.14103956520557404
