,why,has,there,been,controversy,in,kenyan,athletics,?
lately,0.34025755524635315,0.3415859043598175,0.24660390615463257,0.5327660441398621,0.3282257914543152,0.24692250788211823,0.1590326726436615,0.13585235178470612,0.3268928825855255
",",0.2827242314815521,0.3734780251979828,0.4587128460407257,0.34873589873313904,0.22738029062747955,0.5201468467712402,0.2573927044868469,0.2174725979566574,0.31091248989105225
there,0.41627052426338196,0.42909398674964905,1.0,0.3571467399597168,0.24911896884441376,0.5361666083335876,0.1736430525779724,0.16198581457138062,0.29405656456947327
has,0.24175488948822021,1.0,0.42909398674964905,0.6162750124931335,0.2682507336139679,0.4173259735107422,0.14784684777259827,0.12625403702259064,0.15994466841220856
been,0.3097085654735565,0.6162750124931335,0.3571467399597168,0.9999998807907104,0.3511863946914673,0.3515113592147827,0.13855144381523132,0.1478055864572525,0.24354910850524902
controversy,0.24406825006008148,0.2682507336139679,0.24911896884441376,0.3511863946914673,1.0,0.2717494070529938,0.14170563220977783,0.1431320607662201,0.27018868923187256
in,0.23227278888225555,0.4173259735107422,0.5361666083335876,0.3515113592147827,0.2717494070529938,1.0,0.19120332598686218,0.2052789330482483,0.20430970191955566
kenyan,0.19509388506412506,0.14784684777259827,0.1736430525779724,0.13855144381523132,0.14170563220977783,0.19120332598686218,0.9999999403953552,0.12166645377874374,0.1738916039466858
athletics,0.1845184713602066,0.12625403702259064,0.16198581457138062,0.1478055864572525,0.1431320607662201,0.2052789330482483,0.12166645377874374,1.0,0.10309170186519623
circles,0.19311417639255524,0.21935100853443146,0.26712048053741455,0.17387424409389496,0.14703169465065002,0.18744006752967834,0.039954155683517456,0.09627452492713928,0.12514375150203705
",",0.2827242314815521,0.3734780251979828,0.4587128460407257,0.34873589873313904,0.22738029062747955,0.5201468467712402,0.2573927044868469,0.2174725979566574,0.31091248989105225
with,0.24107445776462555,0.44092974066734314,0.37390366196632385,0.2804456949234009,0.21082837879657745,0.4080928862094879,0.12480845302343369,0.16500890254974365,0.2433311939239502
the,0.30742117762565613,0.4177538752555847,0.47025805711746216,0.3563927710056305,0.28096333146095276,0.6662389636039734,0.1675717681646347,0.23869381844997406,0.22068053483963013
defection,0.20693540573120117,0.21946963667869568,0.20596656203269958,0.2311466485261917,0.3592100441455841,0.25705352425575256,0.1857215017080307,0.15802858769893646,0.16610440611839294
of,0.28464117646217346,0.3909035325050354,0.44397735595703125,0.31685134768486023,0.24529165029525757,0.5696388483047485,0.16629895567893982,0.25092312693595886,0.1826142966747284
a,0.2667238116264343,0.4670248031616211,0.4214206337928772,0.3315402865409851,0.23027034103870392,0.539380669593811,0.24743399024009705,0.1596474051475525,0.23916715383529663
number,0.22887302935123444,0.31251442432403564,0.35469454526901245,0.28169363737106323,0.15805865824222565,0.3024539053440094,0.1159755289554596,0.1067928820848465,0.19256845116615295
of,0.28464117646217346,0.3909035325050354,0.44397735595703125,0.31685134768486023,0.24529165029525757,0.5696388483047485,0.16629895567893982,0.25092312693595886,0.1826142966747284
kenyan,0.19509388506412506,0.14784684777259827,0.1736430525779724,0.13855144381523132,0.14170563220977783,0.19120332598686218,0.9999999403953552,0.12166645377874374,0.1738916039466858
athletes,0.17263098061084747,0.21780601143836975,0.17509812116622925,0.24084343016147614,0.16090871393680573,0.2253437042236328,0.1468760371208191,0.6052937507629395,0.10964834690093994
to,0.4100138247013092,0.3619994819164276,0.40669289231300354,0.34945759177207947,0.22112806141376495,0.45010748505592346,0.1391933262348175,0.1829328089952469,0.29463258385658264
represent,0.220688596367836,0.24304915964603424,0.2759302854537964,0.22286899387836456,0.059901244938373566,0.29122525453567505,0.15118668973445892,0.19430124759674072,0.1972627341747284
other,0.321101576089859,0.3162766396999359,0.5342466235160828,0.34575363993644714,0.173224076628685,0.39989137649536133,0.11789900064468384,0.19109994173049927,0.24682199954986572
countries,0.17245282232761383,0.26221421360969543,0.31948450207710266,0.27339351177215576,0.22697854042053223,0.3027990758419037,0.20797587931156158,0.16091151535511017,0.15128466486930847
",",0.2827242314815521,0.3734780251979828,0.4587128460407257,0.34873589873313904,0.22738029062747955,0.5201468467712402,0.2573927044868469,0.2174725979566574,0.31091248989105225
chiefly,0.1756383180618286,0.19808745384216309,0.13185293972492218,0.24421235918998718,0.17797444760799408,0.2564065158367157,0.10686623305082321,0.16724607348442078,0.021524203941226006
bahrain,0.14123988151550293,0.19038046896457672,0.14146888256072998,0.23734191060066223,0.1894322633743286,0.20764829218387604,0.28582504391670227,0.10138072818517685,0.12445306032896042
and,0.27806392312049866,0.43716782331466675,0.4242868423461914,0.3424558639526367,0.20714159309864044,0.4954058527946472,0.21030722558498383,0.2268504798412323,0.20544172823429108
qatar,0.08584830164909363,0.26697078347206116,0.12758056819438934,0.25462472438812256,0.24181124567985535,0.21355734765529633,0.29026180505752563,0.1082267090678215,0.11967606097459793
.,0.32909876108169556,0.4105546176433563,0.43897318840026855,0.33645182847976685,0.22348161041736603,0.5591574311256409,0.23113515973091125,0.20519854128360748,0.4130953550338745
