,what,channel,replaced,sky,travel,?
however,0.4480680823326111,0.18610820174217224,0.3025391697883606,0.20270024240016937,0.23459607362747192,0.2152075469493866
",",0.3087472915649414,0.18730267882347107,0.21472671627998352,0.22621183097362518,0.2159072756767273,0.31091248989105225
this,0.5489566326141357,0.20691324770450592,0.20410224795341492,0.15060988068580627,0.25282320380210876,0.3155723512172699
was,0.22111038863658905,0.15624403953552246,0.34946855902671814,0.181777685880661,0.1548587530851364,0.18412111699581146
replaced,0.12975038588047028,0.1584160178899765,1.0,0.06885432451963425,0.08884566277265549,0.14945141971111298
by,0.2455483376979828,0.20094449818134308,0.31910058856010437,0.13224995136260986,0.20530667901039124,0.17966607213020325
sky,0.16493305563926697,0.2616044878959656,0.06885432451963425,1.0,0.19291888177394867,0.11270341277122498
three,0.24888746440410614,0.16037116944789886,0.16709737479686737,0.1818981170654297,0.1611381322145462,0.20928427577018738
on,0.34226128458976746,0.2989991009235382,0.2418564409017563,0.18642869591712952,0.22256895899772644,0.2714994251728058
31,0.04987277463078499,0.028584925457835197,-0.02630101703107357,0.07169321924448013,0.11713434010744095,-0.017570214346051216
october,0.24927909672260284,0.1700814813375473,0.16325964033603668,0.12374502420425415,0.11716192215681076,0.29706719517707825
2005,0.0704459398984909,-0.021154623478651047,0.03201090916991234,-0.10435401648283005,-0.012209119275212288,0.10709824413061142
",",0.3087472915649414,0.18730267882347107,0.21472671627998352,0.22621183097362518,0.2159072756767273,0.31091248989105225
which,0.5261979103088379,0.30183109641075134,0.240094393491745,0.20498745143413544,0.24070590734481812,0.25814583897590637
was,0.22111038863658905,0.15624403953552246,0.34946855902671814,0.181777685880661,0.1548587530851364,0.18412111699581146
itself,0.3625122308731079,0.2071331888437271,0.18683375418186188,0.14343629777431488,0.14421069622039795,0.17933900654315948
later,0.2517229914665222,0.20771652460098267,0.36825934052467346,0.16628144681453705,0.17766493558883667,0.1417175978422165
re-branded,0.18635530769824982,0.26211947202682495,0.33932679891586304,0.24814121425151825,0.18681159615516663,0.16268296539783478
as,0.31749409437179565,0.17995701730251312,0.33300021290779114,0.18261636793613434,0.2136022299528122,0.27043893933296204
'pick,0.2814961075782776,0.16508015990257263,0.25043120980262756,0.21092082560062408,0.1901644766330719,0.2453973889350891
tv,0.20700684189796448,0.4953385591506958,0.15504612028598785,0.22956761717796326,0.18675954639911652,0.20290863513946533
',0.3245812654495239,0.15815357863903046,0.18207083642482758,0.14748349785804749,0.1095312312245369,0.330942302942276
in,0.30808621644973755,0.210372194647789,0.2068215310573578,0.20324937999248505,0.22463937103748322,0.20430970191955566
2011,0.04286744073033333,0.09849345684051514,0.04489264637231827,-0.08791840821504593,0.0073178596794605255,0.005212190095335245
.,0.3567904531955719,0.2489151805639267,0.2553439438343048,0.19117935001850128,0.22954578697681427,0.4130953550338745
