,what,was,extent,of,celeron,'s,expedition,?
the,0.42745697498321533,0.48711544275283813,0.2727625370025635,0.733189046382904,0.2833483815193176,-0.01540423184633255,0.26213887333869934,0.22068053483963013
expedition,0.19300568103790283,0.2416619211435318,0.23323726654052734,0.18468376994132996,0.18103016912937164,0.031321313232183456,1.0000001192092896,0.10355690121650696
covered,0.24682468175888062,0.24235664308071136,0.28125616908073425,0.28798651695251465,0.1748347133398056,0.02427033521234989,0.15412791073322296,0.139833465218544
about,0.47976887226104736,0.2577359974384308,0.2609988749027252,0.40939709544181824,0.13766294717788696,-0.020936643704771996,0.19075018167495728,0.302409827709198
"3,000",-0.018811654299497604,0.22353409230709076,0.022831182926893234,0.24090100824832916,0.11735320836305618,0.04500335454940796,0.05880415812134743,-0.05672356113791466
miles,0.1893789917230606,0.1818082183599472,0.2061682492494583,0.2263605147600174,0.14044274389743805,-0.0059337555430829525,0.2236706167459488,0.09363767504692078
(,0.2411840260028839,0.2980341613292694,0.19116170704364777,0.35032153129577637,0.2651280164718628,0.0012731997994706035,0.1230628564953804,0.40561532974243164
"4,800",0.08140820264816284,-0.014578796923160553,0.1805828958749771,0.05818185955286026,-0.1417199820280075,0.018120570108294487,0.08532796800136566,-0.0005811708397231996
km,0.1805391013622284,0.19512154161930084,0.2224857062101364,0.2376161366701126,0.1491054743528366,0.07796657085418701,0.2240767478942871,0.08180338144302368
),0.26259949803352356,0.3267642855644226,0.19426721334457397,0.3680361211299896,0.2770276665687561,0.021107977256178856,0.13265575468540192,0.42300865054130554
between,0.2462156116962433,0.24048170447349548,0.18004323542118073,0.3737983703613281,0.13212963938713074,0.006096371449530125,0.15614867210388184,0.12887074053287506
june,0.2171148657798767,0.42821118235588074,0.06134836748242378,0.19721001386642456,0.17882919311523438,-0.0547623410820961,0.19204330444335938,0.31416764855384827
and,0.31309178471565247,0.3740963041782379,0.26296117901802063,0.5116966962814331,0.29231131076812744,0.06895173341035843,0.21988366544246674,0.20544172823429108
november,0.23963461816310883,0.4240739941596985,0.09576975554227829,0.19941139221191406,0.14796149730682373,-0.04690810292959213,0.23240773379802704,0.3159552216529846
1749,0.1746363490819931,0.17248062789440155,0.1260087639093399,0.2117093801498413,0.21689122915267944,0.022286465391516685,0.1524265706539154,0.20547500252723694
.,0.3567904531955719,0.40146201848983765,0.20163141191005707,0.5352458953857422,0.23717518150806427,-0.003708066651597619,0.17779675126075745,0.4130953550338745
