,in,what,year,was,fort,coligny,destroyed,?
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,0.2420126497745514,0.3161560595035553,0.3403017520904541,0.22068053483963013
fort,0.24152536690235138,0.19451747834682465,0.16530291736125946,0.30989983677864075,0.9999999403953552,0.2788194715976715,0.21192710101604462,0.15686731040477753
was,0.45514053106307983,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.30989983677864075,0.23910623788833618,0.3184264302253723,0.18412111699581146
destroyed,0.3248254656791687,0.19114850461483002,0.17795754969120026,0.3184264302253723,0.21192710101604462,0.16647212207317352,1.0,0.10318030416965485
in,1.0,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.24152536690235138,0.23178745806217194,0.3248254656791687,0.20430970191955566
1560,0.18848219513893127,0.22952494025230408,0.12515845894813538,0.20374788343906403,0.19978664815425873,0.2818584442138672,0.11589957028627396,0.2310192584991455
by,0.370934396982193,0.2455483376979828,0.28805047273635864,0.4752357602119446,0.1571328192949295,0.12427708506584167,0.3162408173084259,0.17966607213020325
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,0.2420126497745514,0.3161560595035553,0.3403017520904541,0.22068053483963013
portuguese,0.1487773358821869,0.14623215794563293,0.11884290724992752,0.1738882064819336,0.16233734786510468,0.1891310065984726,0.1197502389550209,0.16310815513134003
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.45456063747406006,0.2651418149471283,0.22518424689769745,0.26472628116607666,0.31091248989105225
who,0.2792111933231354,0.40942975878715515,0.2851492762565613,0.3318818509578705,0.13790950179100037,0.1287713199853897,0.198551207780838,0.26220351457595825
captured,0.27827006578445435,0.1119019091129303,0.19243048131465912,0.31488236784935,0.29403260350227356,0.18486246466636658,0.5218526721000671,0.11851847916841507
part,0.4499994218349457,0.3476244807243347,0.20301291346549988,0.3407018780708313,0.1641995757818222,0.18208590149879456,0.2320692539215088,0.08557961881160736
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.4069072902202606,0.18979716300964355,0.27085965871810913,0.27498680353164673,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,0.2420126497745514,0.3161560595035553,0.3403017520904541,0.22068053483963013
huguenots,0.25916293263435364,0.22128188610076904,0.16438573598861694,0.20650696754455566,0.28597453236579895,0.586521327495575,0.26585763692855835,0.16010338068008423
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.40146201848983765,0.2578873038291931,0.23526224493980408,0.278834730386734,0.4130953550338745
