,other,scholars,contend,that,luther,'s,words,lent,what,element,to,christian,suspicion,of,jews,?
other,0.9999999403953552,0.19891057908535004,0.2528412640094757,0.5570666193962097,0.18881922960281372,0.04445967823266983,0.3143329322338104,0.2650602459907532,0.341873437166214,0.1789253205060959,0.4193183183670044,0.16918499767780304,0.21752028167247772,0.38583824038505554,0.20792315900325775,0.24682199954986572
scholars,0.19891057908535004,0.9999998807907104,0.30868932604789734,0.30800777673721313,0.24086572229862213,0.06039043515920639,0.24020332098007202,0.18536950647830963,0.2640625238418579,0.10001379996538162,0.2576902210712433,0.37555569410324097,0.14148986339569092,0.2583930194377899,0.33418384194374084,0.11279910802841187
argue,0.2685352861881256,0.3357066810131073,0.4024062156677246,0.403499037027359,0.16563068330287933,0.007419363129884005,0.25576692819595337,0.10640396177768707,0.41590559482574463,0.20234011113643646,0.27746978402137756,0.16641035676002502,0.2540810704231262,0.19617585837841034,0.1827935427427292,0.32235559821128845
that,0.5570666193962097,0.30800777673721313,0.36112460494041443,1.0,0.21746599674224854,0.04397977516055107,0.3719562590122223,0.3015950620174408,0.6297725439071655,0.29008960723876953,0.5436353087425232,0.18580004572868347,0.33081039786338806,0.41498205065727234,0.27395346760749817,0.32716336846351624
",",0.4446498453617096,0.23522303998470306,0.287919282913208,0.4137537479400635,0.23255878686904907,-0.0016132977325469255,0.2805471420288086,0.3103789985179901,0.3087472915649414,0.20181523263454437,0.44245919585227966,0.23595517873764038,0.25596946477890015,0.4946078956127167,0.27184903621673584,0.31091248989105225
even,0.4545271396636963,0.1766148805618286,0.3211425244808197,0.5503504276275635,0.13474266231060028,0.0353488028049469,0.3095473051071167,0.20063209533691406,0.40872135758399963,0.17801164090633392,0.46467068791389465,0.12372280657291412,0.2971305549144745,0.34735506772994995,0.2254793792963028,0.30082517862319946
if,0.3864276111125946,0.14825552701950073,0.3423263728618622,0.5634250640869141,0.17693482339382172,-0.0015437148977071047,0.3337414562702179,0.1760278046131134,0.5277165174484253,0.3099535405635834,0.4559597074985504,0.08224853128194809,0.25048813223838806,0.2557544410228729,0.18918846547603607,0.4441644251346588
his,0.23453344404697418,0.2416568249464035,0.24610458314418793,0.3173833191394806,0.27093374729156494,0.047556519508361816,0.2386544793844223,0.19868740439414978,0.26976513862609863,0.1407286375761032,0.3715193271636963,0.19781717658042908,0.30526214838027954,0.38364991545677185,0.19577133655548096,0.18075084686279297
views,0.2810024619102478,0.3091607987880707,0.3262888491153717,0.30377236008644104,0.19727660715579987,0.07306428998708725,0.20431236922740936,0.22255471348762512,0.32671356201171875,0.14765380322933197,0.27688995003700256,0.31799399852752686,0.28388211131095886,0.1923438459634781,0.24436835944652557,0.19388815760612488
were,0.4041554927825928,0.23658210039138794,0.27496007084846497,0.35517072677612305,0.18652333319187164,0.007088581565767527,0.16776612401008606,0.1527654081583023,0.22298263013362885,0.057737283408641815,0.31913647055625916,0.17898213863372803,0.23992761969566345,0.34038281440734863,0.30761516094207764,0.17890112102031708
merely,0.29258882999420166,0.21937374770641327,0.3552151918411255,0.4918351173400879,0.17723435163497925,-0.049439623951911926,0.26137474179267883,0.13075469434261322,0.4384106993675232,0.25282424688339233,0.31495869159698486,0.11832737177610397,0.3442215919494629,0.29657962918281555,0.16649970412254333,0.31133392453193665
anti-judaic—that,0.308056116104126,0.43407031893730164,0.2610768675804138,0.4051295220851898,0.3036692142486572,-0.020496472716331482,0.2764817774295807,0.2775157690048218,0.3436514139175415,0.27023011445999146,0.3050388693809509,0.35454487800598145,0.2610132098197937,0.33847302198410034,0.48432719707489014,0.2894139885902405
is,0.25895947217941284,0.18092486262321472,0.2166178673505783,0.3995479643344879,0.08282390236854553,0.02396530658006668,0.2681862413883209,0.23561950027942657,0.28837618231773376,0.3385811448097229,0.42745086550712585,0.1473853588104248,0.15329930186271667,0.4854315221309662,0.20874764025211334,0.22961433231830597
",",0.4446498453617096,0.23522303998470306,0.287919282913208,0.4137537479400635,0.23255878686904907,-0.0016132977325469255,0.2805471420288086,0.3103789985179901,0.3087472915649414,0.20181523263454437,0.44245919585227966,0.23595517873764038,0.25596946477890015,0.4946078956127167,0.27184903621673584,0.31091248989105225
opposed,0.2671120762825012,0.24006740748882294,0.28336575627326965,0.37060683965682983,0.1539851725101471,-0.04686199873685837,0.22401359677314758,0.1545291692018509,0.35573211312294006,0.14106865227222443,0.2678636610507965,0.19642901420593262,0.35966426134109497,0.25387564301490784,0.24001775681972504,0.23428945243358612
to,0.4193183183670044,0.2576902210712433,0.38147446513175964,0.5436353087425232,0.18029534816741943,0.03782717138528824,0.31468597054481506,0.20854751765727997,0.455847829580307,0.20668300986289978,1.0,0.19438040256500244,0.21902120113372803,0.41548454761505127,0.22399327158927917,0.29463258385658264
judaism,0.20144027471542358,0.3920082449913025,0.20821568369865417,0.2806367576122284,0.28578367829322815,0.029024897143244743,0.21052655577659607,0.2970607876777649,0.3009958863258362,0.18369659781455994,0.22878415882587433,0.44728121161460876,0.13093455135822296,0.16967101395130157,0.55892014503479,0.2014344185590744
and,0.5504306554794312,0.24718980491161346,0.2819044291973114,0.4731321930885315,0.20796556770801544,0.06895173341035843,0.26495280861854553,0.24293620884418488,0.31309178471565247,0.16833719611167908,0.48971283435821533,0.210403174161911,0.23248744010925293,0.5116966962814331,0.2555774748325348,0.20544172823429108
its,0.29483991861343384,0.18401721119880676,0.2605586051940918,0.416561484336853,0.14340044558048248,0.03202139586210251,0.22580508887767792,0.21107222139835358,0.30393704771995544,0.318306028842926,0.3691340684890747,0.1497609168291092,0.15461768209934235,0.48690423369407654,0.13921768963336945,0.15103481709957123
adherence,0.2528752088546753,0.2921808063983917,0.3245411813259125,0.3657846450805664,0.16507457196712494,0.019160820171236992,0.22594588994979858,0.2652245759963989,0.3367392420768738,0.2556915879249573,0.2796936631202698,0.275532066822052,0.2807058095932007,0.25655779242515564,0.2669694423675537,0.2935745418071747
rather,0.3909560441970825,0.14215515553951263,0.32788968086242676,0.4945213496685028,0.19670958817005157,0.08959644287824631,0.3014484941959381,0.31076231598854065,0.3923804461956024,0.24533537030220032,0.4052407741546631,0.09390933811664581,0.2118252068758011,0.3045461177825928,0.14408768713474274,0.3053998053073883
than,0.5105555653572083,0.14689457416534424,0.26261645555496216,0.4891277849674225,0.14714092016220093,0.0585811510682106,0.24275696277618408,0.2681264281272888,0.29388150572776794,0.18736794590950012,0.3192550539970398,0.13498419523239136,0.19072863459587097,0.33036211133003235,0.16354067623615265,0.24917294085025787
the,0.44152235984802246,0.2524346709251404,0.30097588896751404,0.5473989248275757,0.1759674996137619,-0.01540423184633255,0.29205581545829773,0.28438815474510193,0.42745697498321533,0.2041647583246231,0.535392165184021,0.19930796325206757,0.17826250195503235,0.733189046382904,0.24901628494262695,0.22068053483963013
jews,0.20792315900325775,0.33418384194374084,0.16968771815299988,0.27395346760749817,0.24326977133750916,0.017030835151672363,0.21707488596439362,0.2420218139886856,0.22131574153900146,0.08873474597930908,0.22399327158927917,0.34051844477653503,0.2716370224952698,0.2207300066947937,1.0000001192092896,0.16730794310569763
as,0.42805421352386475,0.2219924032688141,0.24063441157341003,0.4735107421875,0.20242992043495178,-0.05775856226682663,0.2402321696281433,0.23494687676429749,0.31749409437179565,0.24363625049591064,0.42092081904411316,0.23712071776390076,0.21351252496242523,0.3886612355709076,0.18277226388454437,0.27043893933296204
an,0.1556563824415207,0.1503521353006363,0.16883638501167297,0.365763783454895,0.10983039438724518,0.025255560874938965,0.2231868952512741,0.1997823268175125,0.2821882665157318,0.27289018034935,0.3138085603713989,0.09135082364082336,0.21969667077064514,0.32280945777893066,0.1090589240193367,0.19793890416622162
ethnic,0.2541455030441284,0.27188077569007874,0.15754500031471252,0.2526857554912567,0.13346701860427856,0.005507649388164282,0.2206917703151703,0.15492752194404602,0.23053161799907684,0.15510194003582,0.18814419209957123,0.1826057732105255,0.22169129550457,0.2623131573200226,0.423334002494812,0.1578492373228073
group—their,0.5111068487167358,0.23824328184127808,0.3358757197856903,0.4494164288043976,0.2149636298418045,-0.07581772655248642,0.27353334426879883,0.2545357048511505,0.3779415190219879,0.3317619860172272,0.3845510482788086,0.23697490990161896,0.2759995460510254,0.4041220545768738,0.3206543028354645,0.2733418047428131
violence,0.24008210003376007,0.275185763835907,0.23226849734783173,0.2665633261203766,0.21486099064350128,0.05901326611638069,0.18657344579696655,0.25184953212738037,0.24788525700569153,0.15307405591011047,0.20034150779247284,0.22771002352237701,0.38150861859321594,0.21331627666950226,0.3533118665218353,0.20634515583515167
lent,0.2650602459907532,0.18536950647830963,0.1753256618976593,0.3015950620174408,0.1721075177192688,0.12386477738618851,0.1939716935157776,0.9999998807907104,0.24107122421264648,0.09730647504329681,0.20854751765727997,0.20319928228855133,0.15384696424007416,0.2766977548599243,0.2420218139886856,0.1618482917547226
a,0.2806335389614105,0.1878340095281601,0.23261089622974396,0.47537946701049805,0.17967689037322998,0.04866964742541313,0.32116660475730896,0.2978366017341614,0.3320399522781372,0.3271445333957672,0.45503583550453186,0.1843954622745514,0.21209119260311127,0.5052502155303955,0.17522315680980682,0.23916715383529663
new,0.2957918047904968,0.14088846743106842,0.21516448259353638,0.29177987575531006,0.14555130898952484,-0.008355522528290749,0.149972602725029,0.15048544108867645,0.2130378633737564,0.1619706004858017,0.33159172534942627,0.2059856355190277,0.15861782431602478,0.343457967042923,0.12254613637924194,0.14782847464084625
element,0.1789253205060959,0.10001379996538162,0.27412545680999756,0.29008960723876953,0.09341530501842499,-0.05279603600502014,0.29575595259666443,0.09730647504329681,0.24694041907787323,1.0,0.20668300986289978,0.08495359867811203,0.10346465557813644,0.21102571487426758,0.08873474597930908,0.18393386900424957
to,0.4193183183670044,0.2576902210712433,0.38147446513175964,0.5436353087425232,0.18029534816741943,0.03782717138528824,0.31468597054481506,0.20854751765727997,0.455847829580307,0.20668300986289978,1.0,0.19438040256500244,0.21902120113372803,0.41548454761505127,0.22399327158927917,0.29463258385658264
the,0.44152235984802246,0.2524346709251404,0.30097588896751404,0.5473989248275757,0.1759674996137619,-0.01540423184633255,0.29205581545829773,0.28438815474510193,0.42745697498321533,0.2041647583246231,0.535392165184021,0.19930796325206757,0.17826250195503235,0.733189046382904,0.24901628494262695,0.22068053483963013
standard,0.269630491733551,0.16118505597114563,0.19279153645038605,0.294244647026062,0.11501801759004593,-0.011532524600625038,0.24160078167915344,0.16824619472026825,0.22809998691082,0.2767288088798523,0.1969985067844391,0.04705462232232094,0.12515923380851746,0.2296806275844574,0.1291629821062088,0.17029257118701935
christian,0.16918499767780304,0.37555569410324097,0.22213171422481537,0.18580004572868347,0.36969617009162903,0.06999260932207108,0.10551295429468155,0.20319928228855133,0.17849333584308624,0.08495359867811203,0.19438040256500244,1.0,0.1603085696697235,0.23494116961956024,0.34051844477653503,0.1508396863937378
suspicion,0.21752028167247772,0.14148986339569092,0.26034536957740784,0.33081039786338806,0.19925305247306824,0.010460843332111835,0.13706567883491516,0.15384696424007416,0.2678936719894409,0.10346465557813644,0.21902120113372803,0.1603085696697235,0.9999998807907104,0.16812890768051147,0.2716370224952698,0.22308897972106934
of,0.38583824038505554,0.2583930194377899,0.25111788511276245,0.41498205065727234,0.1719115972518921,-0.03817026689648628,0.26259833574295044,0.2766977548599243,0.33290785551071167,0.21102571487426758,0.41548454761505127,0.23494116961956024,0.16812890768051147,1.0,0.2207300066947937,0.1826142966747284
judaism,0.20144027471542358,0.3920082449913025,0.20821568369865417,0.2806367576122284,0.28578367829322815,0.029024897143244743,0.21052655577659607,0.2970607876777649,0.3009958863258362,0.18369659781455994,0.22878415882587433,0.44728121161460876,0.13093455135822296,0.16967101395130157,0.55892014503479,0.2014344185590744
.,0.41511186957359314,0.15168285369873047,0.28253042697906494,0.4460422694683075,0.24907569587230682,-0.003708066651597619,0.24427732825279236,0.24337172508239746,0.3567904531955719,0.24230757355690002,0.4645031690597534,0.2474701702594757,0.21347367763519287,0.5352458953857422,0.2115412801504135,0.4130953550338745
