,what,diagrams,are,used,to,simplify,particle,interactions,on,a,fundamental,level,?
while,0.35511791706085205,0.135217547416687,0.34230953454971313,0.2704656422138214,0.43899232149124146,0.27771541476249695,0.21142709255218506,0.25238072872161865,0.44084006547927856,0.3733035624027252,0.2622811198234558,0.2427988201379776,0.21076419949531555
sophisticated,0.27283841371536255,0.3340217173099518,0.30576446652412415,0.35599103569984436,0.19578741490840912,0.2647535800933838,0.30938243865966797,0.36459052562713623,0.13049644231796265,0.2683001160621643,0.33420684933662415,0.2326909452676773,0.22235803306102753
mathematical,0.2707732021808624,0.39751288294792175,0.17106600105762482,0.2658694386482239,0.2660215497016907,0.353417307138443,0.43937280774116516,0.3281888961791992,0.15558446943759918,0.24343366920948029,0.3999031186103821,0.18627186119556427,0.1630573719739914
descriptions,0.31950294971466064,0.44197922945022583,0.2998979687690735,0.352068692445755,0.26516810059547424,0.3381449282169342,0.2455616444349289,0.3813314735889435,0.2515506446361542,0.31342771649360657,0.3068135976791382,0.13127760589122772,0.18662871420383453
are,0.29724663496017456,0.3521857261657715,1.0,0.3322218656539917,0.3504326641559601,0.21360008418560028,0.23474889993667603,0.34146612882614136,0.268924742937088,0.265255331993103,0.28600409626960754,0.2331918329000473,0.24591213464736938
needed,0.3631289601325989,0.2739497721195221,0.3141024708747864,0.4799882769584656,0.45002421736717224,0.4416603147983551,0.23926439881324768,0.2514764070510864,0.24698017537593842,0.2915569543838501,0.2984640598297119,0.2385069727897644,0.2863257825374603
to,0.455847829580307,0.24060916900634766,0.3504326641559601,0.40058770775794983,1.0,0.37769126892089844,0.24255536496639252,0.24682006239891052,0.41031414270401,0.45503583550453186,0.25741058588027954,0.2976585030555725,0.29463258385658264
predict,0.33362334966659546,0.31311723589897156,0.21999357640743256,0.2362227439880371,0.31216660141944885,0.3014885485172272,0.42441049218177795,0.3592433035373688,0.1946154087781906,0.2002958208322525,0.39578551054000854,0.21475262939929962,0.2019001543521881
",",0.3087472915649414,0.2259761393070221,0.4062570035457611,0.3120402991771698,0.44245919585227966,0.21563099324703217,0.2206975817680359,0.20969824492931366,0.49057599902153015,0.427140474319458,0.26685047149658203,0.23317520320415497,0.31091248989105225
in,0.30808621644973755,0.2107241004705429,0.3841303884983063,0.3090210556983948,0.45010748505592346,0.2218046635389328,0.20448297262191772,0.19209250807762146,0.46853652596473694,0.539380669593811,0.23429831862449646,0.279204785823822,0.20430970191955566
full,0.20298334956169128,0.1535680741071701,0.16167086362838745,0.23587197065353394,0.2671089768409729,0.22025595605373383,0.16773101687431335,0.13997545838356018,0.2275353968143463,0.2751905620098114,0.16772446036338806,0.144289031624794,0.168479785323143
detail,0.3660587966442108,0.3605249226093292,0.19090454280376434,0.22655141353607178,0.2258254438638687,0.36464059352874756,0.27802202105522156,0.30680015683174133,0.22687380015850067,0.2446097880601883,0.21802912652492523,0.28076979517936707,0.25387880206108093
",",0.3087472915649414,0.2259761393070221,0.4062570035457611,0.3120402991771698,0.44245919585227966,0.21563099324703217,0.2206975817680359,0.20969824492931366,0.49057599902153015,0.427140474319458,0.26685047149658203,0.23317520320415497,0.31091248989105225
the,0.42745697498321533,0.24253316223621368,0.40399202704429626,0.3718377649784088,0.535392165184021,0.21066032350063324,0.2507205605506897,0.24155202507972717,0.5107308030128479,0.5829201340675354,0.3078918755054474,0.31442487239837646,0.22068053483963013
accurate,0.3898910582065582,0.32196512818336487,0.2662715017795563,0.3561873137950897,0.31596043705940247,0.35962337255477905,0.3725816309452057,0.2662156820297241,0.22557692229747772,0.23994912207126617,0.31383517384529114,0.15563766658306122,0.275799959897995
result,0.19945499300956726,0.23694390058517456,0.18835392594337463,0.19459468126296997,0.23653174936771393,0.1852070540189743,0.2436649352312088,0.2636655867099762,0.22479186952114105,0.2767398953437805,0.2524814009666443,0.20860160887241364,0.17218433320522308
of,0.33290785551071167,0.21258902549743652,0.39081433415412903,0.3075267970561981,0.41548454761505127,0.1869407743215561,0.2452378273010254,0.24081720411777496,0.3966929316520691,0.5052502155303955,0.35164782404899597,0.23504668474197388,0.1826142966747284
such,0.23989605903625488,0.25302422046661377,0.4654397666454315,0.4262988865375519,0.2871878743171692,0.23745197057724,0.22341419756412506,0.3082989454269409,0.3181164264678955,0.2706976532936096,0.29198724031448364,0.1792222410440445,0.17851735651493073
interactions,0.32324331998825073,0.4116407036781311,0.34146612882614136,0.21889302134513855,0.24682006239891052,0.26552000641822815,0.42804521322250366,1.0000001192092896,0.272503137588501,0.2656041085720062,0.38317248225212097,0.2718231678009033,0.21664206683635712
",",0.3087472915649414,0.2259761393070221,0.4062570035457611,0.3120402991771698,0.44245919585227966,0.21563099324703217,0.2206975817680359,0.20969824492931366,0.49057599902153015,0.427140474319458,0.26685047149658203,0.23317520320415497,0.31091248989105225
there,0.35085538029670715,0.2514669895172119,0.5433560013771057,0.3545510172843933,0.40669289231300354,0.28651192784309387,0.21631188690662384,0.24158832430839539,0.3521401882171631,0.4214206337928772,0.2754391133785248,0.24087181687355042,0.29405656456947327
is,0.28837618231773376,0.2707798182964325,0.5330929756164551,0.3288823366165161,0.42745086550712585,0.1887255609035492,0.26882052421569824,0.2037913054227829,0.3635730445384979,0.658733606338501,0.21985967457294464,0.24803997576236725,0.22961433231830597
a,0.3320399522781372,0.2177402824163437,0.265255331993103,0.3864384889602661,0.45503583550453186,0.24780800938606262,0.2823246121406555,0.2656041085720062,0.3848365545272827,1.0,0.2387043535709381,0.21346178650856018,0.23916715383529663
conceptually,0.3795175552368164,0.39595356583595276,0.3108271658420563,0.2985199987888336,0.3522900938987732,0.358486533164978,0.4231504499912262,0.387501060962677,0.1895594596862793,0.33900800347328186,0.49658334255218506,0.2311650961637497,0.2119259238243103
simple,0.4218197166919708,0.33676305413246155,0.3569783866405487,0.3725593388080597,0.38820502161979675,0.6376712918281555,0.30798059701919556,0.3216676712036133,0.2851913571357727,0.34160614013671875,0.31206780672073364,0.23452822864055634,0.4614735543727875
