,the,redesigned,central,garden,opened,in,2005,with,what,new,moniker,?
the,1.0,0.2598510682582855,0.3417201042175293,0.23359008133411407,0.28544309735298157,0.6662389636039734,0.037273142486810684,0.4223487675189972,0.42745697498321533,0.3845241069793701,0.14551545679569244,0.22068053483963013
central,0.3417201042175293,0.10037576407194138,1.0,0.24764256179332733,0.190458282828331,0.30844059586524963,0.016058454290032387,0.1716245859861374,0.17723965644836426,0.21884363889694214,0.05673690512776375,0.14787602424621582
garden,0.23359008133411407,0.18561823666095734,0.24764256179332733,1.0,0.2810719609260559,0.22543586790561676,-0.026222478598356247,0.12836827337741852,0.20641201734542847,0.22931212186813354,0.19240537285804749,0.16720405220985413
was,0.48711544275283813,0.35486769676208496,0.21519865095615387,0.2112511396408081,0.31916534900665283,0.45514053106307983,0.11356307566165924,0.27411898970603943,0.22111038863658905,0.2748313844203949,0.2197238802909851,0.18412111699581146
redesigned,0.2598510682582855,1.0000001192092896,0.10037576407194138,0.18561823666095734,0.36546698212623596,0.1676761955022812,-0.025151075795292854,0.19254076480865479,0.20439890027046204,0.22695870697498322,0.22945518791675568,0.18504595756530762
by,0.4408751428127289,0.2642400562763214,0.14742699265480042,0.1725831925868988,0.17930090427398682,0.370934396982193,0.07835020869970322,0.39731505513191223,0.2455483376979828,0.25394493341445923,0.16884812712669373,0.17966607213020325
kim,0.16643309593200684,0.14303968846797943,0.16112487018108368,0.09257413446903229,0.12112955003976822,0.17639638483524323,0.016239970922470093,0.15694500505924225,0.13592197000980377,0.12668585777282715,0.1659545749425888,0.1720227748155594
wilkie,0.2626578211784363,0.2594675123691559,0.14443250000476837,0.15377026796340942,0.15182188153266907,0.2423786073923111,0.07528412342071533,0.22478148341178894,0.15668761730194092,0.2140643298625946,0.3364327549934387,0.12453664839267731
and,0.5171257257461548,0.18124745786190033,0.2465941160917282,0.2236175239086151,0.22545495629310608,0.4954058527946472,0.05766887590289116,0.5477725267410278,0.31309178471565247,0.31402453780174255,0.20644080638885498,0.20544172823429108
opened,0.28544309735298157,0.36546698212623596,0.190458282828331,0.2810719609260559,1.0,0.2972770035266876,-0.00027704311651177704,0.16281741857528687,0.14500318467617035,0.24727210402488708,0.05449868366122246,0.1934700310230255
as,0.48381632566452026,0.2949407398700714,0.1581166535615921,0.17636080086231232,0.18616388738155365,0.3887844979763031,0.019447719678282738,0.40387406945228577,0.31749409437179565,0.24585270881652832,0.2117028832435608,0.27043893933296204
the,1.0,0.2598510682582855,0.3417201042175293,0.23359008133411407,0.28544309735298157,0.6662389636039734,0.037273142486810684,0.4223487675189972,0.42745697498321533,0.3845241069793701,0.14551545679569244,0.22068053483963013
john,0.2230520099401474,0.1896330565214157,0.09779134392738342,0.17623083293437958,0.1271437406539917,0.22177861630916595,0.13202092051506042,0.1736196130514145,0.18237407505512238,0.21047446131706238,0.19536496698856354,0.13162356615066528
madejski,0.34439072012901306,0.30650782585144043,0.206278994679451,0.1770477592945099,0.29653921723365784,0.3246527910232544,0.14781224727630615,0.29949241876602173,0.1696855127811432,0.29956719279289246,0.45122674107551575,0.2256554216146469
garden,0.23359008133411407,0.18561823666095734,0.24764256179332733,1.0,0.2810719609260559,0.22543586790561676,-0.026222478598356247,0.12836827337741852,0.20641201734542847,0.22931212186813354,0.19240537285804749,0.16720405220985413
",",0.4933079481124878,0.20020903646945953,0.2587154507637024,0.2712799608707428,0.24598844349384308,0.5201468467712402,0.11050146818161011,0.4120737314224243,0.3087472915649414,0.36073189973831177,0.20373930037021637,0.31091248989105225
on,0.5107308030128479,0.2689509391784668,0.242094486951828,0.18135347962379456,0.2514764964580536,0.46853652596473694,0.018048860132694244,0.40749499201774597,0.34226128458976746,0.31106263399124146,0.1835813671350479,0.2714994251728058
5,0.09255307912826538,0.049006033688783646,0.029822921380400658,-0.023401709273457527,0.01215977780520916,0.0862177163362503,-0.06208280101418495,0.05528239905834198,0.09269922226667404,-0.00609325896948576,0.07447583228349686,0.06222071498632431
july,0.2371699959039688,0.23697614669799805,0.16544674336910248,0.15771648287773132,0.19572360813617706,0.26500701904296875,0.16732922196388245,0.2002134472131729,0.22688010334968567,0.25710630416870117,0.14317861199378967,0.2897891402244568
2005,0.037273142486810684,-0.025151075795292854,0.016058454290032387,-0.026222478598356247,-0.00027704311651177704,0.009931974112987518,1.0,-0.0030237799510359764,0.0704459398984909,0.06185975298285484,0.1485246866941452,0.10709824413061142
.,0.5934505462646484,0.2352994680404663,0.3193301260471344,0.231033593416214,0.26111578941345215,0.5591574311256409,0.0678042471408844,0.4446153938770294,0.3567904531955719,0.35031336545944214,0.21208976209163666,0.4130953550338745
