,a,multi-tape,turing,machine,requires,what,type,of,time,for,a,solution,?
for,0.44038116931915283,0.2294703722000122,0.2892029285430908,0.25323837995529175,0.3619304895401001,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.3992156386375427,0.9999999403953552,0.44038116931915283,0.2887430787086487,0.264628142118454
instance,0.40728384256362915,0.2939282953739166,0.3197348713874817,0.2857376039028168,0.4127180874347687,0.3862040638923645,0.27324962615966797,0.3011147379875183,0.31412214040756226,0.4085063934326172,0.40728384256362915,0.3991639316082001,0.30205854773521423
",",0.427140474319458,0.23842878639698029,0.2807261645793915,0.21841607987880707,0.199883371591568,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.3029961884021759,0.4464869201183319,0.427140474319458,0.2270459234714508,0.31091248989105225
the,0.5829201340675354,0.2036377340555191,0.2644472122192383,0.22788187861442566,0.2693159878253937,0.42745697498321533,0.21819381415843964,0.733189046382904,0.43061500787734985,0.4739971458911896,0.5829201340675354,0.20422548055648804,0.22068053483963013
language,0.21064592897891998,0.22498449683189392,0.24883875250816345,0.21203725039958954,0.21042214334011078,0.28220435976982117,0.16224351525306702,0.25272229313850403,0.22813627123832703,0.23522019386291504,0.21064592897891998,0.16131852567195892,0.25349316000938416
{,0.285521000623703,0.19037975370883942,0.19117382168769836,0.22019009292125702,0.25162431597709656,0.23725886642932892,0.28487804532051086,0.24386580288410187,0.1985921859741211,0.2110789269208908,0.285521000623703,0.21124717593193054,0.3181390166282654
xx,0.16178521513938904,0.133192241191864,0.06811798363924026,0.06295495480298996,0.06739965826272964,0.05625376105308533,0.13133856654167175,0.13862080872058868,0.13116006553173065,0.16021662950515747,0.16178521513938904,0.05222795531153679,0.11678656935691833
|,0.1060825064778328,0.03382906690239906,-0.019461411982774734,0.012875697575509548,0.05607618764042854,0.07818534225225449,0.003131166100502014,0.02609487809240818,0.045256201177835464,0.0238284170627594,0.1060825064778328,0.027702676132321358,0.1159842237830162
x,0.21952441334724426,0.2615886330604553,0.22797083854675293,0.2432967573404312,0.22928376495838165,0.13783220946788788,0.151067852973938,0.1708947718143463,0.1682448536157608,0.18337465822696686,0.21952441334724426,0.2054927945137024,0.23304535448551178
is,0.658733606338501,0.23476141691207886,0.18364353477954865,0.18938691914081573,0.3339230418205261,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.25187405943870544,0.43268078565597534,0.658733606338501,0.2851429283618927,0.22961433231830597
any,0.45031747221946716,0.3100065588951111,0.24515610933303833,0.2084415853023529,0.4542753994464874,0.43670421838760376,0.27895575761795044,0.3769088089466095,0.3699842095375061,0.3944643437862396,0.45031747221946716,0.33104628324508667,0.4113408327102661
binary,0.28007954359054565,0.335622638463974,0.2608136534690857,0.3249818682670593,0.2875422239303589,0.21848982572555542,0.2684940695762634,0.21468596160411835,0.21425172686576843,0.18189434707164764,0.28007954359054565,0.27965033054351807,0.16258445382118225
string,0.1667976677417755,0.2583588659763336,0.21067000925540924,0.2280959188938141,0.20497500896453857,0.17737996578216553,0.19778890907764435,0.17002220451831818,0.22161506116390228,0.2115476280450821,0.1667976677417755,0.14645615220069885,0.16560307145118713
},0.21669639647006989,0.11275599896907806,0.03704864904284477,0.11106081306934357,0.24585747718811035,0.16619744896888733,0.25070399045944214,0.22909000515937805,0.14553458988666534,0.20828264951705933,0.21669639647006989,0.10585355758666992,0.19530506432056427
can,0.3915780484676361,0.2843018174171448,0.224638432264328,0.26097333431243896,0.4360019266605377,0.34502777457237244,0.33094167709350586,0.2603091299533844,0.2720869183540344,0.35690054297447205,0.3915780484676361,0.35933056473731995,0.3226337134838104
be,0.39883795380592346,0.2538977265357971,0.2587292492389679,0.24763767421245575,0.34043407440185547,0.3929833769798279,0.25716274976730347,0.33904364705085754,0.3473503291606903,0.3801851272583008,0.39883795380592346,0.34988686442375183,0.3324260413646698
solved,0.18525584042072296,0.18539917469024658,0.3374759256839752,0.2487926036119461,0.19678223133087158,0.247396320104599,0.11779391020536423,0.17960071563720703,0.2711636424064636,0.18016043305397034,0.18525584042072296,0.4792533218860626,0.2692696750164032
in,0.539380669593811,0.18986725807189941,0.26572495698928833,0.16716814041137695,0.16126661002635956,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.3431483507156372,0.4322226941585541,0.539380669593811,0.19538016617298126,0.20430970191955566
linear,0.23775021731853485,0.3231252133846283,0.338595449924469,0.276178777217865,0.2769405245780945,0.2132105678319931,0.25495558977127075,0.23112532496452332,0.14405253529548645,0.2061203420162201,0.23775021731853485,0.35803183913230896,0.16595983505249023
time,0.3292340338230133,0.21841734647750854,0.3296571373939514,0.25790056586265564,0.26243963837623596,0.36319252848625183,0.1723036915063858,0.35127586126327515,0.9999998807907104,0.3992156386375427,0.3292340338230133,0.2341277003288269,0.27391523122787476
on,0.3848365545272827,0.18142111599445343,0.17251454293727875,0.209082692861557,0.21154068410396576,0.34226128458976746,0.2118636518716812,0.3966929316520691,0.30044233798980713,0.36199691891670227,0.3848365545272827,0.13690192997455597,0.2714994251728058
a,1.0,0.30301621556282043,0.25234705209732056,0.24983544647693634,0.322436660528183,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.3292340338230133,0.44038116931915283,1.0,0.2887548804283142,0.23916715383529663
multi-tape,0.30301621556282043,0.9999999403953552,0.34675097465515137,0.38208553194999695,0.3512900471687317,0.22010479867458344,0.18170461058616638,0.2221662551164627,0.21841734647750854,0.2294703722000122,0.30301621556282043,0.27131128311157227,0.14011883735656738
