,what,degree,did,martin,luther,receive,on,19,october,",",1512,?
on,0.34226128458976746,0.16243389248847961,0.2670976221561432,0.212642639875412,0.19090485572814941,0.2056528776884079,0.9999999403953552,-0.15028570592403412,0.3742676079273224,0.49057599902153015,0.29458752274513245,0.2714994251728058
19,0.014984339475631714,-0.06393474340438843,-0.056934259831905365,-0.12004967033863068,-0.005236808676272631,-0.012704543769359589,-0.15028570592403412,1.0,-0.1910763829946518,-0.22645433247089386,-0.3469817638397217,0.008002291433513165
october,0.24927909672260284,0.1222691535949707,0.2746104896068573,0.1869964599609375,0.1806728094816208,0.18322424590587616,0.3742676079273224,-0.1910763829946518,1.0,0.4369233250617981,0.1965777575969696,0.29706719517707825
1512,0.2471795529127121,0.1456356942653656,0.15409989655017853,0.13845156133174896,0.0697980523109436,0.17145021259784698,0.29458752274513245,-0.3469817638397217,0.1965777575969696,0.3751487731933594,1.0000001192092896,0.1460285484790802
",",0.3087472915649414,0.1912073791027069,0.3015086054801941,0.27058324217796326,0.23255878686904907,0.26574233174324036,0.49057599902153015,-0.22645433247089386,0.4369233250617981,1.0000001192092896,0.3751487731933594,0.31091248989105225
he,0.3114890456199646,0.25816109776496887,0.3292143940925598,0.24538953602313995,0.2454872578382492,0.21994081139564514,0.32403138279914856,-0.1500481516122818,0.2956372797489166,0.40251094102859497,0.17674197256565094,0.2089974731206894
was,0.22111038863658905,0.17939329147338867,0.41399896144866943,0.2089129239320755,0.19185513257980347,0.210550457239151,0.3909217119216919,-0.16212789714336395,0.4627581834793091,0.45456063747406006,0.2797023057937622,0.18412111699581146
awarded,0.0973663404583931,0.24939213693141937,0.20935551822185516,0.176742821931839,0.1545739322900772,0.47609686851501465,0.1811772733926773,-0.0713207945227623,0.22062188386917114,0.2723027765750885,0.1844659000635147,0.1431703418493271
his,0.26976513862609863,0.218593567609787,0.3546801507472992,0.23498685657978058,0.27093374729156494,0.29452115297317505,0.32064297795295715,-0.09542001038789749,0.28277039527893066,0.3378419280052185,0.1776769608259201,0.18075084686279297
doctor,0.20870667695999146,0.3454716205596924,0.18673314154148102,0.2084195911884308,0.22596125304698944,0.21992804110050201,0.1636410653591156,-0.08801789581775665,0.20583423972129822,0.20407600700855255,0.06483855843544006,0.1462511420249939
of,0.33290785551071167,0.22760991752147675,0.2513895630836487,0.13722093403339386,0.1719115972518921,0.25992685556411743,0.3966929316520691,-0.18954584002494812,0.20846129953861237,0.4946078956127167,0.4531100392341614,0.1826142966747284
theology,0.322174996137619,0.40769654512405396,0.13569064438343048,0.26650112867355347,0.3810495138168335,0.16007885336875916,0.1613156795501709,0.015947168692946434,0.22386275231838226,0.23964712023735046,0.0974297747015953,0.1560962051153183
