,what,does,ctenophora,use,for,digestion,and,respiration,?
some,0.4491020441055298,0.39611563086509705,0.28959670662879944,0.4820891320705414,0.4257155656814575,0.2704790532588959,0.5337774157524109,0.27310729026794434,0.2562315762042999
authors,0.20440030097961426,0.17965446412563324,0.2608822286128998,0.2524750828742981,0.21385852992534637,0.12625041604042053,0.2311880737543106,0.175540030002594,0.19121912121772766
combined,0.21267308294773102,0.15144607424736023,0.08285342901945114,0.28956401348114014,0.2505188286304474,0.14424185454845428,0.3240981996059418,0.17564760148525238,0.17985320091247559
ctenophores,0.2505159080028534,0.2655069828033447,0.8903113007545471,0.2871485650539398,0.1783297061920166,0.42528364062309265,0.20973104238510132,0.49049216508865356,0.2054179310798645
and,0.31309178471565247,0.3461615741252899,0.15281255543231964,0.34145063161849976,0.5064792633056641,0.21578355133533478,1.0,0.28929564356803894,0.20544172823429108
cnidarians,0.2743885815143585,0.2703033983707428,0.67646324634552,0.297841340303421,0.19704388082027435,0.42041197419166565,0.27171704173088074,0.4568323493003845,0.18796975910663605
in,0.30808621644973755,0.214483380317688,0.1502838283777237,0.2715643048286438,0.4322226941585541,0.2159620076417923,0.4954058527946472,0.25548887252807617,0.20430970191955566
one,0.376489520072937,0.2924913763999939,0.17204400897026062,0.3501819968223572,0.384836345911026,0.16846391558647156,0.42438167333602905,0.2264035940170288,0.2673267424106598
phylum,0.20018324255943298,0.14277660846710205,0.6852492094039917,0.18886107206344604,0.1227041557431221,0.3443475663661957,0.1842351108789444,0.34751489758491516,0.18758688867092133
",",0.3087472915649414,0.28617382049560547,0.20480060577392578,0.3276674151420593,0.4464869201183319,0.20848089456558228,0.6633074283599854,0.2987004220485687,0.31091248989105225
coelenterata,0.23231874406337738,0.09410110861063004,0.4335145950317383,0.11325152963399887,0.1290278434753418,0.22783756256103516,0.27687811851501465,0.260837197303772,0.1954084038734436
",",0.3087472915649414,0.28617382049560547,0.20480060577392578,0.3276674151420593,0.4464869201183319,0.20848089456558228,0.6633074283599854,0.2987004220485687,0.31091248989105225
as,0.31749409437179565,0.31202155351638794,0.2036411315202713,0.3453201949596405,0.44774648547172546,0.16161593794822693,0.49487000703811646,0.1984001100063324,0.27043893933296204
both,0.3361809551715851,0.3216230869293213,0.16509559750556946,0.352070152759552,0.3887220323085785,0.1798522174358368,0.5503310561180115,0.23312699794769287,0.19455738365650177
groups,0.23137421905994415,0.1172703430056572,0.28752627968788147,0.2616036832332611,0.21627482771873474,0.16362522542476654,0.29783302545547485,0.23243582248687744,0.14349548518657684
rely,0.3573313355445862,0.3773644268512726,0.2600458264350891,0.4569813013076782,0.26649168133735657,0.2935290038585663,0.31047725677490234,0.359042227268219,0.17513008415699005
on,0.34226128458976746,0.2568802833557129,0.13134071230888367,0.2776605486869812,0.36199691891670227,0.13711094856262207,0.4077630043029785,0.19081667065620422,0.2714994251728058
water,0.17456887662410736,0.29202038049697876,0.22250744700431824,0.2288510650396347,0.189085453748703,0.4472692906856537,0.3054247498512268,0.3908284604549408,0.14731885492801666
flow,0.1798735409975052,0.21734505891799927,0.13497792184352875,0.2222738415002823,0.1708725541830063,0.35995927453041077,0.2773895561695099,0.37196800112724304,0.10458291321992874
through,0.23167094588279724,0.21495459973812103,0.11046981066465378,0.2532300055027008,0.3172857463359833,0.28387778997421265,0.3666759729385376,0.30047476291656494,0.16913433372974396
the,0.42745697498321533,0.35928019881248474,0.2430446892976761,0.34342584013938904,0.4739971458911896,0.2656582295894623,0.5171257257461548,0.29438328742980957,0.22068053483963013
body,0.2143840193748474,0.27194929122924805,0.25287044048309326,0.22484350204467773,0.16740016639232635,0.4533102214336395,0.2872275710105896,0.38817018270492554,0.20136451721191406
cavity,0.21633920073509216,0.1917799860239029,0.447710782289505,0.2323167473077774,0.12206562608480453,0.5245429873466492,0.2212170660495758,0.5243003964424133,0.16966374218463898
for,0.3017193675041199,0.35159170627593994,0.12714889645576477,0.47655582427978516,0.9999999403953552,0.20296449959278107,0.5064792633056641,0.27999183535575867,0.264628142118454
both,0.3361809551715851,0.3216230869293213,0.16509559750556946,0.352070152759552,0.3887220323085785,0.1798522174358368,0.5503310561180115,0.23312699794769287,0.19455738365650177
digestion,0.24306969344615936,0.2267954796552658,0.33940428495407104,0.27095627784729004,0.20296449959278107,1.0,0.21578355133533478,0.5985310673713684,0.25064295530319214
and,0.31309178471565247,0.3461615741252899,0.15281255543231964,0.34145063161849976,0.5064792633056641,0.21578355133533478,1.0,0.28929564356803894,0.20544172823429108
respiration,0.23671798408031464,0.2966677248477936,0.3641180992126465,0.31246888637542725,0.27999183535575867,0.5985310673713684,0.28929564356803894,1.0,0.17575538158416748
.,0.3567904531955719,0.3022993505001068,0.24174925684928894,0.3711656630039215,0.4726039469242096,0.20435857772827148,0.588965117931366,0.294679194688797,0.4130953550338745
