,who,was,first,appointed,at,the,anchor,of,20/20,?
in,0.2792111933231354,0.45514053106307983,0.4127444326877594,0.23088723421096802,0.4374977946281433,0.6662389636039734,0.15393804013729095,0.5696388483047485,0.04978962242603302,0.20430970191955566
june,0.23552022874355316,0.42821118235588074,0.2872718572616577,0.22869212925434113,0.2827494144439697,0.24568822979927063,0.15831555426120758,0.19721001386642456,0.06295192986726761,0.31416764855384827
1978,-0.09070061147212982,0.08774974942207336,-0.012435066513717175,0.026615465059876442,0.17891845107078552,0.1314823180437088,0.02658291906118393,0.13908278942108154,0.026820890605449677,0.06364871561527252
",",0.3365725874900818,0.45456063747406006,0.34503069519996643,0.27665549516677856,0.38314947485923767,0.4933079481124878,0.22460860013961792,0.4946078956127167,0.11310062557458878,0.31091248989105225
arledge,0.23872581124305725,0.23825472593307495,0.19736726582050323,0.20742426812648773,0.2873401343822479,0.38004153966903687,0.25958967208862305,0.382069855928421,0.14929096400737762,0.30967646837234497
created,0.25695955753326416,0.3592788577079773,0.32392561435699463,0.2774939239025116,0.18092477321624756,0.3539263904094696,0.09375648945569992,0.32043445110321045,0.05612719804048538,0.21177415549755096
the,0.3733934462070465,0.48711544275283813,0.49448907375335693,0.2626524269580841,0.457212895154953,1.0,0.21501964330673218,0.733189046382904,0.10782012343406677,0.22068053483963013
newsmagazine,0.21496304869651794,0.2739943563938141,0.2626497149467468,0.18494118750095367,0.20224376022815704,0.1918679177761078,0.36920681595802307,0.16290313005447388,0.09497285634279251,0.21971045434474945
20/20,0.07092493027448654,0.008665344677865505,0.04427012801170349,0.09689723700284958,0.05236607417464256,0.10782012343406677,0.057467661798000336,0.11460263282060623,1.0,0.09043065458536148
;,0.007937713526189327,0.0754367932677269,0.07760433852672577,0.0300153698772192,0.00622112350538373,0.09152708947658539,-0.03697795793414116,0.054534342139959335,0.12639500200748444,0.10349778085947037
after,0.32549580931663513,0.49306565523147583,0.42302387952804565,0.2690531313419342,0.3622083067893982,0.4565047025680542,0.1365671306848526,0.3867455720901489,0.0015424787998199463,0.16608688235282898
its,0.1326070874929428,0.3518870174884796,0.26377397775650024,0.10788494348526001,0.2685394287109375,0.559237003326416,0.20364241302013397,0.48690423369407654,0.0031918606255203485,0.15103481709957123
first,0.39065709710121155,0.5022147297859192,1.0,0.2839486598968506,0.3138778805732727,0.49448907375335693,0.12777338922023773,0.3536086082458496,0.04427012801170349,0.18701928853988647
episode,0.2015407234430313,0.1706574261188507,0.24243572354316711,0.08442209661006927,0.1932540386915207,0.25342556834220886,0.17679132521152496,0.17369085550308228,-0.04111948609352112,0.23978739976882935
received,0.20717638731002808,0.3745744526386261,0.22090888023376465,0.3429924249649048,0.2666997015476227,0.24890556931495667,0.11388096958398819,0.2628524899482727,-0.042750585824251175,0.11905962228775024
harshly,0.38760989904403687,0.23788654804229736,0.12318342179059982,0.19376973807811737,0.13569074869155884,0.1967671513557434,0.037956662476062775,0.1919834464788437,0.05232583358883858,0.24056081473827362
negative,0.10199029743671417,0.13354144990444183,0.1459076702594757,0.059470728039741516,0.10399165749549866,0.1981879472732544,0.1375986784696579,0.17049510776996613,-0.009024898521602154,0.12562139332294464
reviews,0.22571872174739838,0.24086347222328186,0.23950430750846863,0.17489290237426758,0.23068532347679138,0.2074589878320694,0.16569705307483673,0.1464875042438507,-0.006124170497059822,0.18590256571769714
",",0.3365725874900818,0.45456063747406006,0.34503069519996643,0.27665549516677856,0.38314947485923767,0.4933079481124878,0.22460860013961792,0.4946078956127167,0.11310062557458878,0.31091248989105225
