,phagocytosis,first,evolved,as,means,of,doing,what,?
phagocytosis,1.0,0.16156105697155,0.32811012864112854,0.20105670392513275,0.2524345815181732,0.2130420207977295,0.3084535598754883,0.2547467350959778,0.2000567466020584
evolved,0.32811012864112854,0.22469934821128845,0.9999999403953552,0.1875297874212265,0.27316048741340637,0.2530018985271454,0.16959057748317719,0.18389853835105896,0.1599971204996109
as,0.20105670392513275,0.33842000365257263,0.1875297874212265,1.0,0.19043149054050446,0.3886612355709076,0.3420897126197815,0.31749409437179565,0.27043893933296204
a,0.23104549944400787,0.4287874400615692,0.25640028715133667,0.39550232887268066,0.34418490529060364,0.5052502155303955,0.3023574650287628,0.3320399522781372,0.23916715383529663
means,0.2524345815181732,0.21483054757118225,0.27316048741340637,0.19043149054050446,1.0000001192092896,0.29942914843559265,0.27903151512145996,0.2553325295448303,0.21233566105365753
of,0.2130420207977295,0.3536086082458496,0.2530018985271454,0.3886612355709076,0.29942914843559265,1.0,0.25269845128059387,0.33290785551071167,0.1826142966747284
acquiring,0.24181288480758667,0.16449221968650818,0.21299289166927338,0.22757795453071594,0.17015895247459412,0.2614293098449707,0.3370329439640045,0.22213488817214966,0.0945771113038063
nutrients,0.6045560836791992,0.15556477010250092,0.3253043591976166,0.19834353029727936,0.28133028745651245,0.25025326013565063,0.24900458753108978,0.19869805872440338,0.1917695254087448
",",0.22955407202243805,0.34503069519996643,0.19764257967472076,0.48816442489624023,0.24041147530078888,0.4946078956127167,0.31285786628723145,0.3087472915649414,0.31091248989105225
but,0.22117100656032562,0.34309494495391846,0.2652352452278137,0.4864770472049713,0.31786951422691345,0.39942997694015503,0.45586469769477844,0.5029441118240356,0.27921953797340393
this,0.31329238414764404,0.41690850257873535,0.3129117488861084,0.43993282318115234,0.355641633272171,0.45148900151252747,0.42949825525283813,0.5489566326141357,0.3155723512172699
role,0.24404557049274445,0.24300086498260498,0.18613408505916595,0.4036863148212433,0.08828083425760269,0.1797693818807602,0.2096092700958252,0.22614215314388275,0.18676944077014923
was,0.12792780995368958,0.5022147297859192,0.19394710659980774,0.3677520453929901,0.20094269514083862,0.4069072902202606,0.18763868510723114,0.22111038863658905,0.18412111699581146
extended,0.11709721386432648,0.2124635875225067,0.2843696177005768,0.20670674741268158,0.17594188451766968,0.2843494713306427,0.18706172704696655,0.20863614976406097,0.17568568885326385
in,0.20195341110229492,0.4127444326877594,0.2083703726530075,0.3887844979763031,0.1979396492242813,0.5696388483047485,0.27240219712257385,0.30808621644973755,0.20430970191955566
phagocytes,0.9142840504646301,0.1337195187807083,0.28937360644340515,0.18056628108024597,0.2573246955871582,0.17896294593811035,0.29613155126571655,0.2258819192647934,0.21603655815124512
to,0.21866895258426666,0.3792489171028137,0.18958497047424316,0.42092081904411316,0.2301892638206482,0.41548454761505127,0.3272162973880768,0.455847829580307,0.29463258385658264
include,0.2015373706817627,0.1494411677122116,0.12278544157743454,0.3469957113265991,0.26245489716529846,0.37431180477142334,0.1143600344657898,0.1535889357328415,0.14925788342952728
engulfment,0.5973628163337708,0.2768111228942871,0.38926270604133606,0.33274197578430176,0.3844080865383148,0.39671310782432556,0.3260655701160431,0.38870474696159363,0.2470426708459854
of,0.2130420207977295,0.3536086082458496,0.2530018985271454,0.3886612355709076,0.29942914843559265,1.0,0.25269845128059387,0.33290785551071167,0.1826142966747284
pathogens,0.7819570899009705,0.12156758457422256,0.3363475799560547,0.22061175107955933,0.251372754573822,0.22946582734584808,0.2556355595588684,0.24503889679908752,0.21364152431488037
as,0.20105670392513275,0.33842000365257263,0.1875297874212265,1.0,0.19043149054050446,0.3886612355709076,0.3420897126197815,0.31749409437179565,0.27043893933296204
a,0.23104549944400787,0.4287874400615692,0.25640028715133667,0.39550232887268066,0.34418490529060364,0.5052502155303955,0.3023574650287628,0.3320399522781372,0.23916715383529663
defense,0.2962498068809509,0.20113696157932281,0.1722438484430313,0.23991791903972626,0.17158710956573486,0.27720823884010315,0.23838551342487335,0.193815678358078,0.21935760974884033
mechanism,0.45110777020454407,0.13837678730487823,0.32802048325538635,0.18819177150726318,0.24009166657924652,0.21395906805992126,0.22560860216617584,0.2635997533798218,0.1732848435640335
.,0.23752325773239136,0.4345304071903229,0.25765469670295715,0.515582263469696,0.18089891970157623,0.5352458953857422,0.3253456652164459,0.3567904531955719,0.4130953550338745
