,what,percent,live,below,the,povertly,line,?
unfortunately,0.4536077380180359,0.19576996564865112,0.16015522181987762,0.1619618684053421,0.27579349279403687,0.3293140232563019,0.14779527485370636,0.24936126172542572
",",0.3087472915649414,0.19088563323020935,0.29754534363746643,0.29792070388793945,0.4933079481124878,0.2770173251628876,0.22637072205543518,0.31091248989105225
the,0.42745697498321533,0.277066707611084,0.2995128035545349,0.2930138111114502,1.0,0.2626287043094635,0.29789501428604126,0.22068053483963013
country,0.22705033421516418,0.19611775875091553,0.23626649379730225,0.11345677822828293,0.30432501435279846,0.24367767572402954,0.12196354568004608,0.12647280097007751
has,0.20338068902492523,0.24375835061073303,0.21881970763206482,0.24083596467971802,0.4177538752555847,0.18960829079151154,0.14284899830818176,0.15994466841220856
not,0.5449194312095642,0.2842000424861908,0.2202259749174118,0.32258331775665283,0.4310511648654938,0.2851148843765259,0.1741083711385727,0.41942933201789856
attained,0.1902945190668106,0.24043843150138855,0.0700225830078125,0.1992587000131607,0.2941405773162842,0.22437067329883575,0.12084349244832993,0.14002291858196259
the,0.42745697498321533,0.277066707611084,0.2995128035545349,0.2930138111114502,1.0,0.2626287043094635,0.29789501428604126,0.22068053483963013
level,0.27376922965049744,0.23636910319328308,0.10122125595808029,0.3789709806442261,0.31442487239837646,0.19541221857070923,0.14201784133911133,0.20528386533260345
of,0.33290785551071167,0.3004763424396515,0.27734068036079407,0.23283669352531433,0.733189046382904,0.2800585925579071,0.23765452206134796,0.1826142966747284
investment,0.21795563399791718,0.305227667093277,0.1538252830505371,0.14338470995426178,0.20950904488563538,0.31624847650527954,0.13247837126255035,0.17811161279678345
and,0.31309178471565247,0.250046968460083,0.29040172696113586,0.2736442983150482,0.5171257257461548,0.27371683716773987,0.24584348499774933,0.20544172823429108
efficiency,0.1758391559123993,0.2743757665157318,0.07242094725370407,0.19209784269332886,0.18687312304973602,0.33198845386505127,0.13006392121315002,0.14680004119873047
in,0.30808621644973755,0.24886950850486755,0.3068392276763916,0.29600706696510315,0.6662389636039734,0.3021876811981201,0.2258777767419815,0.20430970191955566
agriculture,0.18790777027606964,0.2709444463253021,0.15289729833602905,0.10134465992450714,0.29133129119873047,0.30419832468032837,0.08802236616611481,0.11401621997356415
that,0.6297725439071655,0.2902362644672394,0.22191597521305084,0.38739874958992004,0.5473989248275757,0.33298516273498535,0.2470489740371704,0.32716336846351624
can,0.34502777457237244,0.25975582003593445,0.21473845839500427,0.33845964074134827,0.312528520822525,0.17715272307395935,0.1918898969888687,0.3226337134838104
guarantee,0.3311726450920105,0.24603819847106934,0.15460611879825592,0.22796697914600372,0.31387829780578613,0.2526511251926422,0.1084313690662384,0.28807559609413147
food,0.23540689051151276,0.18619206547737122,0.2209346443414688,0.12843194603919983,0.3025728166103363,0.24034129083156586,0.10198996961116791,0.15376032888889313
security,0.18331359326839447,0.16581018269062042,0.1253470629453659,0.15774086117744446,0.2683938145637512,0.21430087089538574,0.19461233913898468,0.13810279965400696
and,0.31309178471565247,0.250046968460083,0.29040172696113586,0.2736442983150482,0.5171257257461548,0.27371683716773987,0.24584348499774933,0.20544172823429108
coupled,0.20149748027324677,0.20306037366390228,0.06954452395439148,0.15638045966625214,0.19603942334651947,0.23061193525791168,0.1796887069940567,0.22709330916404724
with,0.2464839518070221,0.17108966410160065,0.19521716237068176,0.2136729657649994,0.4223487675189972,0.29218220710754395,0.18698516488075256,0.2433311939239502
resulting,0.17960047721862793,0.37161698937416077,0.10193020105361938,0.26866233348846436,0.3905409574508667,0.2962338924407959,0.18645291030406952,0.10813049972057343
poverty,0.20925714075565338,0.31770673394203186,0.26292529702186584,0.2576114535331726,0.20494918525218964,0.8127205967903137,0.25416329503059387,0.16537553071975708
(,0.2411840260028839,0.11258889734745026,0.20015591382980347,0.23059530556201935,0.33289089798927307,0.09745203703641891,0.1635645031929016,0.40561532974243164
53,0.17928816378116608,0.009674238041043282,0.11091996729373932,0.08884988725185394,0.23184166848659515,0.2476644217967987,0.09813868999481201,0.24864983558654785
%,0.20738190412521362,0.6792206168174744,0.22515340149402618,0.1880347728729248,0.21490740776062012,0.298718124628067,0.16992811858654022,0.21441808342933655
of,0.33290785551071167,0.3004763424396515,0.27734068036079407,0.23283669352531433,0.733189046382904,0.2800585925579071,0.23765452206134796,0.1826142966747284
the,0.42745697498321533,0.277066707611084,0.2995128035545349,0.2930138111114502,1.0,0.2626287043094635,0.29789501428604126,0.22068053483963013
population,0.2000674307346344,0.4591834247112274,0.27512872219085693,0.18838956952095032,0.32044094800949097,0.3348265290260315,0.16761861741542816,0.14449454843997955
lives,0.19772474467754364,0.2033182829618454,0.5280572772026062,0.12272419780492783,0.24881523847579956,0.2886292636394501,0.10263265669345856,0.15810374915599823
below,0.23541416227817535,0.19728001952171326,0.12806719541549683,1.0,0.2930138111114502,0.26577267050743103,0.2321578860282898,0.17692236602306366
the,0.42745697498321533,0.277066707611084,0.2995128035545349,0.2930138111114502,1.0,0.2626287043094635,0.29789501428604126,0.22068053483963013
poverty,0.20925714075565338,0.31770673394203186,0.26292529702186584,0.2576114535331726,0.20494918525218964,0.8127205967903137,0.25416329503059387,0.16537553071975708
