,when,did,luther,publish,on,the,bondage,of,the,will,?
this,0.4959332048892975,0.3609912693500519,0.17328955233097076,0.248070627450943,0.4193967580795288,0.6274310946464539,0.1848069727420807,0.45148900151252747,0.6274310946464539,0.42301562428474426,0.3155723512172699
teaching,0.22055867314338684,0.27443423867225647,0.2627531886100769,0.26286986470222473,0.22978223860263824,0.2182690054178238,0.23490223288536072,0.2911611497402191,0.2182690054178238,0.17725716531276703,0.20424684882164001
by,0.4376842677593231,0.18574509024620056,0.15382802486419678,0.21025247871875763,0.33887791633605957,0.4408751428127289,0.13564470410346985,0.3646814823150635,0.4408751428127289,0.2520078420639038,0.17966607213020325
luther,0.14516782760620117,0.23667675256729126,1.0,0.1623724102973938,0.19090485572814941,0.1759674996137619,0.20901623368263245,0.1719115972518921,0.1759674996137619,0.12248248606920242,0.1732746809720993
was,0.37326499819755554,0.41399896144866943,0.19185513257980347,0.16938649117946625,0.3909217119216919,0.48711544275283813,0.19865082204341888,0.4069072902202606,0.48711544275283813,0.22588570415973663,0.18412111699581146
clearly,0.3877229690551758,0.291103720664978,0.16541065275669098,0.2660951614379883,0.2483416199684143,0.37195420265197754,0.28127673268318176,0.2792348265647888,0.37195420265197754,0.35717862844467163,0.40760257840156555
expressed,0.2265259027481079,0.17606444656848907,0.17653022706508636,0.19130943715572357,0.1370905190706253,0.25207287073135376,0.1717371940612793,0.2687252461910248,0.25207287073135376,0.20891572535037994,0.17175263166427612
in,0.4431333839893341,0.2593238651752472,0.20523880422115326,0.17019827663898468,0.46853652596473694,0.6662389636039734,0.20109613239765167,0.5696388483047485,0.6662389636039734,0.2580665349960327,0.20430970191955566
his,0.37120407819747925,0.3546801507472992,0.27093374729156494,0.27212437987327576,0.32064297795295715,0.4394008219242096,0.2638302445411682,0.38364991545677185,0.4394008219242096,0.18230228126049042,0.18075084686279297
1525,0.1290116310119629,0.19781608879566193,0.1513497233390808,0.0959087684750557,0.16676722466945648,0.1667099893093109,0.06070195510983467,0.13786408305168152,0.1667099893093109,0.14968667924404144,0.09607826918363571
publication,0.1825483739376068,0.1799519658088684,0.15357229113578796,0.6502863764762878,0.19014662504196167,0.24080322682857513,0.19158394634723663,0.20938149094581604,0.24080322682857513,0.16784760355949402,0.2191428393125534
on,0.37706470489501953,0.2670976221561432,0.19090485572814941,0.2230350375175476,0.9999999403953552,0.5107308030128479,0.17329418659210205,0.3966929316520691,0.5107308030128479,0.3240351676940918,0.2714994251728058
