,who,patented,a,high-pressure,compound,engine,in,1805,?
a,0.36608949303627014,0.2284489870071411,1.0,0.29845958948135376,0.2321223020553589,0.24768835306167603,0.539380669593811,0.13448020815849304,0.23916715383529663
method,0.18475493788719177,0.3061257004737854,0.2613512873649597,0.27132758498191833,0.2493303120136261,0.30389347672462463,0.13883966207504272,0.3261813223361969,0.2194802314043045
to,0.42656609416007996,0.17664222419261932,0.45503583550453186,0.382373183965683,0.23539909720420837,0.20794793963432312,0.45010748505592346,0.12730401754379272,0.29463258385658264
lessen,0.175576850771904,0.14167703688144684,0.2834981381893158,0.4110390245914459,0.16188758611679077,0.15955054759979248,0.2525555491447449,0.20170341432094574,0.1993662267923355
the,0.3733934462070465,0.13766011595726013,0.5829201340675354,0.33581703901290894,0.18848907947540283,0.21651263535022736,0.6662389636039734,0.07773033529520035,0.22068053483963013
magnitude,0.07333869487047195,0.008256828412413597,0.21830542385578156,0.3365950584411621,0.2072681486606598,0.1647215336561203,0.21596141159534454,0.14005732536315918,0.19328105449676514
of,0.2827862501144409,0.140389084815979,0.5052502155303955,0.30332037806510925,0.23397859930992126,0.17095594108104706,0.5696388483047485,0.1114761084318161,0.1826142966747284
this,0.3345087468624115,0.22309868037700653,0.5422310829162598,0.38103872537612915,0.2417939007282257,0.25393304228782654,0.45205554366111755,0.2378803789615631,0.3155723512172699
heating,0.10816162079572678,0.30217114090919495,0.24787577986717224,0.4351237416267395,0.39734917879104614,0.3512755036354065,0.21192875504493713,0.15988841652870178,0.1888689249753952
and,0.41279885172843933,0.126961812376976,0.3739250600337982,0.3439241945743561,0.21241717040538788,0.18437977135181427,0.4954058527946472,0.10417203605175018,0.20544172823429108
cooling,0.06788480281829834,0.24106118083000183,0.253410667181015,0.5237962007522583,0.2006385624408722,0.33825382590293884,0.22014863789081573,0.14646953344345093,0.19326604902744293
was,0.3318818509578705,0.20634464919567108,0.4508470594882965,0.26719358563423157,0.11856551468372345,0.205611914396286,0.45514053106307983,0.0956914871931076,0.18412111699581146
invented,0.23703113198280334,0.6800892353057861,0.26715824007987976,0.19622157514095306,0.11234068870544434,0.2357250154018402,0.21565213799476624,0.24007084965705872,0.13781782984733582
in,0.2792111933231354,0.1809646189212799,0.539380669593811,0.27036017179489136,0.20910684764385223,0.18885408341884613,1.0,0.13924241065979004,0.20430970191955566
1804,-0.16109460592269897,-0.05715377628803253,0.04043109342455864,0.060124147683382034,0.23381368815898895,0.007924421690404415,-0.04234183579683304,0.4499574303627014,0.011757442727684975
by,0.39727845788002014,0.28550076484680176,0.32094135880470276,0.2868310809135437,0.1956915557384491,0.1870088279247284,0.370934396982193,0.11961565166711807,0.17966607213020325
british,0.2666113078594208,0.14603112637996674,0.1984395682811737,0.19278539717197418,0.0880456492304802,0.1673087477684021,0.23084034025669098,0.04070020467042923,0.09711728990077972
engineer,0.24997320771217346,0.3386421799659729,0.2112695723772049,0.21313557028770447,0.14193479716777802,0.39151525497436523,0.18560759723186493,0.028903719037771225,0.12995383143424988
arthur,0.19130396842956543,0.14230050146579742,0.18561109900474548,0.17440859973430634,0.11409401893615723,0.06225625053048134,0.2152768224477768,0.09264416992664337,0.16990946233272552
woolf,0.24039538204669952,0.2465732991695404,0.23057198524475098,0.1659834086894989,0.07007259875535965,0.15373645722866058,0.25265151262283325,0.11756722629070282,0.3355073034763336
",",0.3365725874900818,0.21354931592941284,0.427140474319458,0.3143517076969147,0.19082562625408173,0.19789794087409973,0.5201468467712402,0.15913398563861847,0.31091248989105225
who,0.9999998807907104,0.2226940393447876,0.36608949303627014,0.21241861581802368,0.14739201962947845,0.1543407142162323,0.2792111933231354,0.12310115993022919,0.26220351457595825
patented,0.2226940393447876,1.0000001192092896,0.2284489870071411,0.2382058948278427,0.16792254149913788,0.30315786600112915,0.1809646189212799,0.17777499556541443,0.08803384751081467
his,0.44966956973075867,0.14803577959537506,0.3497250974178314,0.2424830049276352,0.1592465043067932,0.16806639730930328,0.3598145842552185,0.1011732816696167,0.18075084686279297
woolf,0.24039538204669952,0.2465732991695404,0.23057198524475098,0.1659834086894989,0.07007259875535965,0.15373645722866058,0.25265151262283325,0.11756722629070282,0.3355073034763336
high-pressure,0.21241861581802368,0.2382058948278427,0.29845958948135376,1.0,0.2782224416732788,0.32135528326034546,0.27036017179489136,0.16181670129299164,0.23668110370635986
compound,0.14739201962947845,0.16792254149913788,0.2321223020553589,0.2782224416732788,1.0,0.25325000286102295,0.20910684764385223,0.27958807349205017,0.19502747058868408
engine,0.1543407142162323,0.30315786600112915,0.24768835306167603,0.32135528326034546,0.25325000286102295,1.0,0.18885408341884613,0.11402635276317596,0.17739196121692657
in,0.2792111933231354,0.1809646189212799,0.539380669593811,0.27036017179489136,0.20910684764385223,0.18885408341884613,1.0,0.13924241065979004,0.20430970191955566
1805,0.12310115993022919,0.17777499556541443,0.13448020815849304,0.16181670129299164,0.27958807349205017,0.11402635276317596,0.13924241065979004,1.0,0.2008146047592163
.,0.3541337847709656,0.21934163570404053,0.50484299659729,0.32098421454429626,0.20561864972114563,0.21814921498298645,0.5591574311256409,0.16102594137191772,0.4130953550338745
