,how,did,natives,in,logstown,take,celeron,'s,information,?
when,0.4767928421497345,0.3228907287120819,0.19630636274814606,0.4431333839893341,0.1689848005771637,0.32727745175361633,0.2041333019733429,-0.03368149697780609,0.23412656784057617,0.22841128706932068
céloron,0.17692279815673828,0.14053545892238617,0.15392762422561646,0.23000739514827728,0.2592068612575531,0.15945015847682953,0.4971884787082672,0.03577094525098801,0.17697153985500336,0.21622054278850555
's,-0.026164190843701363,0.05069678649306297,0.04223604500293732,-0.037580832839012146,-0.014603730291128159,0.02030942589044571,0.021033210679888725,0.9999999403953552,0.00878301914781332,-0.023395681753754616
expedition,0.11437731236219406,0.21760712563991547,0.30670276284217834,0.19481515884399414,0.20327572524547577,0.161552295088768,0.18103016912937164,0.031321313232183456,0.23907607793807983,0.10355690121650696
arrived,0.17363044619560242,0.32213419675827026,0.30660879611968994,0.2573651373386383,0.2703656256198883,0.2259836047887802,0.1267854869365692,-0.0309759508818388,0.13282684981822968,0.1681029200553894
at,0.2154216170310974,0.28390252590179443,0.18586120009422302,0.4374977946281433,0.2739177942276001,0.27566230297088623,0.19127357006072998,-0.08481216430664062,0.22353479266166687,0.21978627145290375
logstown,0.14402979612350464,0.1214689388871193,0.21076448261737823,0.2698831558227539,1.0000001192092896,0.15363189578056335,0.21464721858501434,-0.014603730291128159,0.13931140303611755,0.2342851161956787
",",0.22659391164779663,0.3015086054801941,0.24557791650295258,0.5201468467712402,0.3108678460121155,0.2881867289543152,0.3048674464225769,-0.0016132977325469255,0.297139048576355,0.31091248989105225
the,0.33890387415885925,0.34736719727516174,0.2204582393169403,0.6662389636039734,0.2556471526622772,0.31620436906814575,0.2833483815193176,-0.01540423184633255,0.3143121302127838,0.22068053483963013
native,0.14082223176956177,0.15632417798042297,0.7138842344284058,0.24378694593906403,0.22580964863300323,0.17031793296337128,0.14673055708408356,0.0551753006875515,0.1482037603855133,0.1457047313451767
americans,0.26547572016716003,0.31740209460258484,0.5481918454170227,0.24953381717205048,0.32970985770225525,0.21345987915992737,0.12522099912166595,0.042571213096380234,0.1736903190612793,0.19417695701122284
