,what,is,the,term,for,an,indian,private,school,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.27866655588150024,0.4322226941585541,0.2605783939361572,0.17715758085250854,0.21135757863521576,0.26157811284065247,0.20430970191955566
india,0.23203566670417786,0.19284966588020325,0.3108653426170349,0.16612836718559265,0.19895431399345398,0.13356243073940277,0.6718491911888123,0.16948097944259644,0.16354452073574066,0.10473668575286865
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21599270403385162,0.4464869201183319,0.3581022024154663,0.2407594621181488,0.1899166703224182,0.27141863107681274,0.31091248989105225
private,0.16778090596199036,0.1420905888080597,0.18291357159614563,0.08691766113042831,0.22242696583271027,0.14829891920089722,0.11058267951011658,1.0,0.3584248125553131,0.14389030635356903
schools,0.1820785105228424,0.2022145688533783,0.22905772924423218,0.1905326247215271,0.2320515662431717,0.13943931460380554,0.15379375219345093,0.4158569872379303,0.7602541446685791,0.18349280953407288
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.1909082531929016,0.3895993232727051,0.1556541919708252,0.11139321327209473,0.1694057136774063,0.17021894454956055,0.24591213464736938
called,0.3235960602760315,0.430266410112381,0.489897221326828,0.33549433946609497,0.29870352149009705,0.2858632802963257,0.1314423382282257,0.1776021122932434,0.1869044303894043,0.18963319063186646
independent,0.28752967715263367,0.19700974225997925,0.2927691638469696,0.14267615973949432,0.22318588197231293,0.19614122807979584,0.1433546245098114,0.21767279505729675,0.1521950662136078,0.11902587860822678
schools,0.1820785105228424,0.2022145688533783,0.22905772924423218,0.1905326247215271,0.2320515662431717,0.13943931460380554,0.15379375219345093,0.4158569872379303,0.7602541446685791,0.18349280953407288
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21599270403385162,0.4464869201183319,0.3581022024154663,0.2407594621181488,0.1899166703224182,0.27141863107681274,0.31091248989105225
but,0.5029441118240356,0.4106791317462921,0.4859698414802551,0.27162063121795654,0.45162561535835266,0.27760404348373413,0.16328158974647522,0.21809467673301697,0.20407751202583313,0.27921953797340393
since,0.29783400893211365,0.3567592203617096,0.4054957628250122,0.2175232321023941,0.36751601099967957,0.19151140749454498,0.11368606984615326,0.16034537553787231,0.19642391800880432,0.2876587212085724
some,0.4491020441055298,0.3038453459739685,0.4566698372364044,0.2455209344625473,0.4257155656814575,0.2864145338535309,0.148685485124588,0.23412339389324188,0.21059708297252655,0.2562315762042999
private,0.16778090596199036,0.1420905888080597,0.18291357159614563,0.08691766113042831,0.22242696583271027,0.14829891920089722,0.11058267951011658,1.0,0.3584248125553131,0.14389030635356903
schools,0.1820785105228424,0.2022145688533783,0.22905772924423218,0.1905326247215271,0.2320515662431717,0.13943931460380554,0.15379375219345093,0.4158569872379303,0.7602541446685791,0.18349280953407288
receive,0.20392422378063202,0.20318937301635742,0.2726488411426544,0.12480247020721436,0.31519460678100586,0.16254110634326935,0.13007773458957672,0.27802327275276184,0.12499108165502548,0.1652119904756546
financial,0.1900392472743988,0.1937110424041748,0.29952070116996765,0.16748566925525665,0.311439573764801,0.20953093469142914,0.14581432938575745,0.26591238379478455,0.15367117524147034,0.06444920599460602
