,what,animation,company,worked,on,some,of,the,reign,of,terror,episodes,?
the,0.42745697498321533,0.21901705861091614,0.26591673493385315,0.22615844011306763,0.5107308030128479,0.4566698372364044,0.733189046382904,1.0,0.2661008834838867,0.733189046382904,0.2993146777153015,0.1889590173959732,0.22068053483963013
missing,0.2628587484359741,0.17850972712039948,0.10829660296440125,0.12666745483875275,0.21545620262622833,0.2727319896221161,0.23175521194934845,0.2549445927143097,0.056115251034498215,0.23175521194934845,0.21900098025798798,0.2341614067554474,0.2695959508419037
episodes,0.15438014268875122,0.3658584952354431,0.12122441828250885,0.21214206516742706,0.25720518827438354,0.17201532423496246,0.19166667759418488,0.1889590173959732,0.17902280390262604,0.19166667759418488,0.2369815558195114,0.9999999403953552,0.21740183234214783
of,0.33290785551071167,0.2031644880771637,0.20467796921730042,0.2398757040500641,0.3966929316520691,0.4300730526447296,1.0,0.733189046382904,0.2783183157444,1.0,0.2489798218011856,0.19166667759418488,0.1826142966747284
the,0.42745697498321533,0.21901705861091614,0.26591673493385315,0.22615844011306763,0.5107308030128479,0.4566698372364044,0.733189046382904,1.0,0.2661008834838867,0.733189046382904,0.2993146777153015,0.1889590173959732,0.22068053483963013
reign,0.18227478861808777,0.1703614890575409,0.12380965054035187,0.13729284703731537,0.16319119930267334,0.1152438223361969,0.2783183157444,0.2661008834838867,0.9999999403953552,0.2783183157444,0.32787826657295227,0.17902280390262604,0.16399922966957092
of,0.33290785551071167,0.2031644880771637,0.20467796921730042,0.2398757040500641,0.3966929316520691,0.4300730526447296,1.0,0.733189046382904,0.2783183157444,1.0,0.2489798218011856,0.19166667759418488,0.1826142966747284
terror,0.2308731973171234,0.13391584157943726,0.13062545657157898,0.07521702349185944,0.26241162419319153,0.1985677182674408,0.2489798218011856,0.2993146777153015,0.32787826657295227,0.2489798218011856,0.9999998807907104,0.2369815558195114,0.14604267477989197
were,0.22298263013362885,0.1792609542608261,0.1783226877450943,0.2776108980178833,0.2774328887462616,0.4592604339122772,0.34038281440734863,0.3906462490558624,0.26631855964660645,0.34038281440734863,0.20470772683620453,0.17896170914173126,0.17890112102031708
animated,0.1981387585401535,0.7932004332542419,0.207563117146492,0.23357462882995605,0.17662712931632996,0.17586161196231842,0.2521522045135498,0.2584627568721771,0.14985248446464539,0.2521522045135498,0.2100004404783249,0.49787917733192444,0.19142872095108032
by,0.2455483376979828,0.22944775223731995,0.22328482568264008,0.20231559872627258,0.33887791633605957,0.306446373462677,0.3646814823150635,0.4408751428127289,0.21149565279483795,0.3646814823150635,0.2125130593776703,0.16738691926002502,0.17966607213020325
animation,0.22164176404476166,0.9999999403953552,0.29240819811820984,0.2277866154909134,0.1902080774307251,0.15945816040039062,0.2031644880771637,0.21901705861091614,0.1703614890575409,0.2031644880771637,0.13391584157943726,0.3658584952354431,0.16489346325397491
company,0.2333769053220749,0.29240819811820984,1.0,0.21854601800441742,0.23664942383766174,0.16175852715969086,0.20467796921730042,0.26591673493385315,0.12380965054035187,0.20467796921730042,0.13062545657157898,0.12122441828250885,0.12195809185504913
theta-sigma,0.2511692941188812,0.265181303024292,0.13482233881950378,0.1666949838399887,0.11013196408748627,0.24034574627876282,0.2329740971326828,0.20687617361545563,0.15280069410800934,0.2329740971326828,0.13754525780677795,0.14754635095596313,0.23116269707679749
",",0.3087472915649414,0.18403597176074982,0.2697763442993164,0.31017279624938965,0.49057599902153015,0.42400437593460083,0.4946078956127167,0.4933079481124878,0.21559560298919678,0.4946078956127167,0.21670322120189667,0.2131132036447525,0.31091248989105225
in,0.30808621644973755,0.1837698221206665,0.22141718864440918,0.28707414865493774,0.46853652596473694,0.4010399878025055,0.5696388483047485,0.6662389636039734,0.21262453496456146,0.5696388483047485,0.2762015163898468,0.17357411980628967,0.20430970191955566
collaboration,0.27454277873039246,0.22686311602592468,0.21534012258052826,0.3493906855583191,0.30318066477775574,0.17740240693092346,0.21243847906589508,0.2240220159292221,0.12377993762493134,0.21243847906589508,0.22086891531944275,0.19836391508579254,0.23211127519607544
with,0.2464839518070221,0.1427425891160965,0.24132338166236877,0.22196559607982635,0.40749499201774597,0.3924338221549988,0.41827285289764404,0.4223487675189972,0.20373009145259857,0.41827285289764404,0.18289098143577576,0.24692673981189728,0.2433311939239502
big,0.2788069546222687,0.12399742752313614,0.1937519758939743,0.15112441778182983,0.2596937119960785,0.2418704628944397,0.2513701021671295,0.308749794960022,0.16748182475566864,0.2513701021671295,0.15300484001636505,0.15349367260932922,0.20497842133045197
finish,0.21988750994205475,0.1981966346502304,0.2193506360054016,0.23692810535430908,0.1921798437833786,0.19857794046401978,0.13930197060108185,0.23846492171287537,0.13264526426792145,0.13930197060108185,0.1348494291305542,0.19593296945095062,0.11681990325450897
",",0.3087472915649414,0.18403597176074982,0.2697763442993164,0.31017279624938965,0.49057599902153015,0.42400437593460083,0.4946078956127167,0.4933079481124878,0.21559560298919678,0.4946078956127167,0.21670322120189667,0.2131132036447525,0.31091248989105225
and,0.31309178471565247,0.20416852831840515,0.23788511753082275,0.3093699514865875,0.4077630043029785,0.5337774157524109,0.5116966962814331,0.5171257257461548,0.1874586045742035,0.5116966962814331,0.23657767474651337,0.246442511677742,0.20544172823429108
became,0.1434093862771988,0.1680261641740799,0.16613920032978058,0.4022679924964905,0.19448097050189972,0.20055703818798065,0.3638904094696045,0.36325156688690186,0.28336116671562195,0.3638904094696045,0.08871704339981079,0.08387274295091629,0.11374033987522125
available,0.22032985091209412,0.19960780441761017,0.2740118205547333,0.19523096084594727,0.3133032023906708,0.31291311979293823,0.2416580766439438,0.26723232865333557,0.0958312377333641,0.2416580766439438,0.06628314405679703,0.23154427111148834,0.2501629889011383
for,0.3017193675041199,0.22220148146152496,0.25874319672584534,0.3048533797264099,0.36199691891670227,0.4257155656814575,0.4185989499092102,0.4739971458911896,0.18042120337486267,0.4185989499092102,0.1960884928703308,0.16166263818740845,0.264628142118454
purchase,0.1781352013349533,0.11494533717632294,0.38852834701538086,0.15708163380622864,0.22003348171710968,0.2561042904853821,0.21814467012882233,0.242343470454216,0.21785147488117218,0.21814467012882233,0.16023728251457214,0.15574043989181519,0.07106894254684448
in,0.30808621644973755,0.1837698221206665,0.22141718864440918,0.28707414865493774,0.46853652596473694,0.4010399878025055,0.5696388483047485,0.6662389636039734,0.21262453496456146,0.5696388483047485,0.2762015163898468,0.17357411980628967,0.20430970191955566
may,0.25739946961402893,0.1652294248342514,0.139988511800766,0.16391445696353912,0.3428080081939697,0.35431578755378723,0.26447007060050964,0.2694292366504669,0.17308688163757324,0.26447007060050964,0.156677708029747,0.25631093978881836,0.2768254578113556
2013,-0.3886653184890747,-0.13919197022914886,-0.1570166051387787,-0.019062500447034836,-0.3310580551624298,-0.44182610511779785,-0.2904720902442932,-0.38509321212768555,-0.15527041256427765,-0.2904720902442932,-0.21686038374900818,-0.2564735412597656,-0.2969330847263336
through,0.23167094588279724,0.24720486998558044,0.16661769151687622,0.12572337687015533,0.32785001397132874,0.2702731192111969,0.3647414743900299,0.44071322679519653,0.18452461063861847,0.3647414743900299,0.1425754278898239,0.18837817013263702,0.16913433372974396
amazon.com,0.25276637077331543,0.23984436690807343,0.2556270360946655,0.12877406179904938,0.28615885972976685,0.22877384722232819,0.3048512637615204,0.3114047348499298,0.17572543025016785,0.3048512637615204,0.17791511118412018,0.24771884083747864,0.2772463858127594
.,0.3567904531955719,0.2186311036348343,0.266353577375412,0.24987587332725525,0.49257001280784607,0.40663889050483704,0.5352458953857422,0.5934505462646484,0.18817713856697083,0.5352458953857422,0.2077924758195877,0.22130145132541656,0.4130953550338745
