,how,long,was,each,doctor,who,episode,in,the,2005,revival,series,(,including,ads,),?
the,0.33890387415885925,0.3075225353240967,0.48711544275283813,0.470844566822052,0.2820442318916321,0.3733934462070465,0.25342556834220886,0.6662389636039734,1.0,0.037273142486810684,0.30452626943588257,0.31376904249191284,0.33289089798927307,0.3738902807235718,0.18265272676944733,0.3456730246543884,0.22068053483963013
serial,0.16460876166820526,0.20238876342773438,0.1941850334405899,0.11782366037368774,0.2744404375553131,0.1957370638847351,0.260089248418808,0.20157626271247864,0.1900636851787567,0.10962321609258652,0.10295852273702621,0.35013672709465027,0.2218746691942215,0.19950376451015472,0.21034663915634155,0.22132092714309692,0.15233060717582703
format,0.21092310547828674,0.1390557587146759,0.1396103948354721,0.22029957175254822,0.05393149331212044,0.03323619067668915,0.19119031727313995,0.2023913413286209,0.21678368747234344,0.054129038006067276,0.10114463418722153,0.21377333998680115,0.24940770864486694,0.11221612989902496,0.26702478528022766,0.2580197751522064,0.2222042977809906
changed,0.26023972034454346,0.2340979427099228,0.3462000787258148,0.2539549469947815,0.12893733382225037,0.1328321397304535,0.08901263028383255,0.292167991399765,0.351829469203949,0.04177452623844147,0.2553912401199341,0.11580726504325867,0.2465810626745224,0.1838739514350891,0.21379756927490234,0.24951788783073425,0.21123318374156952
for,0.3308170735836029,0.2547193765640259,0.3863949179649353,0.3044290542602539,0.1556548923254013,0.37110671401023865,0.17981192469596863,0.4322226941585541,0.4739971458911896,0.04140647128224373,0.24443419277668,0.2715710699558258,0.3357032239437103,0.42507120966911316,0.2157432585954666,0.3639558255672455,0.264628142118454
the,0.33890387415885925,0.3075225353240967,0.48711544275283813,0.470844566822052,0.2820442318916321,0.3733934462070465,0.25342556834220886,0.6662389636039734,1.0,0.037273142486810684,0.30452626943588257,0.31376904249191284,0.33289089798927307,0.3738902807235718,0.18265272676944733,0.3456730246543884,0.22068053483963013
2005,0.03437461704015732,-0.05333302915096283,0.11356307566165924,-0.010684254579246044,0.07635467499494553,0.18423187732696533,0.04103194922208786,0.009931974112987518,0.037273142486810684,1.0,0.10179609805345535,0.04714697599411011,0.11327322572469711,0.0554877407848835,0.021107740700244904,0.12896914780139923,0.10709824413061142
revival,0.09671590477228165,0.16032129526138306,0.3003317415714264,0.12232659757137299,0.13733609020709991,0.1408388912677765,0.21943247318267822,0.2631177604198456,0.30452626943588257,0.10179609805345535,1.0,0.22159305214881897,0.16181129217147827,0.21313686668872833,0.08377764374017715,0.15965843200683594,0.09967152029275894
",",0.22659391164779663,0.3431144952774048,0.45456063747406006,0.207483172416687,0.20407600700855255,0.3365725874900818,0.18198037147521973,0.5201468467712402,0.4933079481124878,0.11050146818161011,0.2530691921710968,0.24060699343681335,0.6363511681556702,0.4127510190010071,0.20520423352718353,0.63033527135849,0.31091248989105225
with,0.3525622487068176,0.289187490940094,0.27411898970603943,0.4100050628185272,0.17277967929840088,0.3282766342163086,0.2304430603981018,0.4080928862094879,0.4223487675189972,-0.0030237799510359764,0.1361679881811142,0.17767351865768433,0.29503780603408813,0.37174999713897705,0.19044262170791626,0.3069596290588379,0.2433311939239502
each,0.4183253347873688,0.2636587917804718,0.14424845576286316,1.0,0.1160493865609169,0.27337536215782166,0.27611973881721497,0.30816060304641724,0.470844566822052,-0.010684254579246044,0.12232659757137299,0.19914524257183075,0.17427405714988708,0.25501370429992676,0.17221009731292725,0.18692907691001892,0.21173812448978424
