,where,were,the,lambing,flat,riots,?
although,0.2586391270160675,0.29094749689102173,0.3265823423862457,0.23524954915046692,0.19828344881534576,0.14883160591125488,0.15541206300258636
there,0.5016061663627625,0.4359818994998932,0.47025805711746216,0.2722328007221222,0.22297470271587372,0.24724170565605164,0.29405656456947327
was,0.20731619000434875,0.590133786201477,0.48711544275283813,0.3101847171783447,0.15906815230846405,0.22072094678878784,0.18412111699581146
some,0.39480453729629517,0.4592604339122772,0.4566698372364044,0.301145076751709,0.26773571968078613,0.2102014124393463,0.2562315762042999
racism,0.15636351704597473,0.2727017402648926,0.21960733830928802,0.2150546908378601,0.13676877319812775,0.306405246257782,0.19883809983730316
directed,0.18303066492080688,0.14666499197483063,0.21284286677837372,0.20022842288017273,0.1203598603606224,0.10322846472263336,0.1359327733516693
at,0.4402937591075897,0.2947486639022827,0.457212895154953,0.2349400371313095,0.19369691610336304,0.11323907226324081,0.21978627145290375
them,0.38025808334350586,0.4602346122264862,0.4788833558559418,0.31581661105155945,0.21202759444713593,0.17693577706813812,0.35435691475868225
",",0.3149496018886566,0.36755475401878357,0.4933079481124878,0.33504393696784973,0.1897800713777542,0.28226491808891296,0.31091248989105225
there,0.5016061663627625,0.4359818994998932,0.47025805711746216,0.2722328007221222,0.22297470271587372,0.24724170565605164,0.29405656456947327
was,0.20731619000434875,0.590133786201477,0.48711544275283813,0.3101847171783447,0.15906815230846405,0.22072094678878784,0.18412111699581146
not,0.3820744752883911,0.33318549394607544,0.4310511648654938,0.23253841698169708,0.19880200922489166,0.14226964116096497,0.41942933201789856
the,0.5003893971443176,0.3906462490558624,1.0,0.2995277941226959,0.23906926810741425,0.1932310312986374,0.22068053483963013
level,0.2663344740867615,0.1251252442598343,0.31442487239837646,0.18058721721172333,0.2255443036556244,0.04108110070228577,0.20528386533260345
of,0.38066378235816956,0.34038281440734863,0.733189046382904,0.25627806782722473,0.25367632508277893,0.18714481592178345,0.1826142966747284
anti-chinese,0.20591361820697784,0.2700093984603882,0.2911492884159088,0.34575992822647095,0.1738576889038086,0.2612359821796417,0.24238847196102142
violence,0.18779483437538147,0.22823014855384827,0.25465771555900574,0.2265648990869522,0.07244603335857391,0.4211932420730591,0.20634515583515167
that,0.4876193106174469,0.35517072677612305,0.5473989248275757,0.22737471759319305,0.28891509771347046,0.16533665359020233,0.32716336846351624
was,0.20731619000434875,0.590133786201477,0.48711544275283813,0.3101847171783447,0.15906815230846405,0.22072094678878784,0.18412111699581146
seen,0.25857648253440857,0.24900057911872864,0.3442007005214691,0.2722877264022827,0.20417813956737518,0.12490052729845047,0.2567344307899475
at,0.4402937591075897,0.2947486639022827,0.457212895154953,0.2349400371313095,0.19369691610336304,0.11323907226324081,0.21978627145290375
the,0.5003893971443176,0.3906462490558624,1.0,0.2995277941226959,0.23906926810741425,0.1932310312986374,0.22068053483963013
lambing,0.30818599462509155,0.30486637353897095,0.2995277941226959,0.9999999403953552,0.33958104252815247,0.3953457176685333,0.19065676629543304
flat,0.22931011021137238,0.20836441218852997,0.23906926810741425,0.33958104252815247,1.0000001192092896,0.14176736772060394,0.10332070291042328
riots,0.21304857730865479,0.231126070022583,0.1932310312986374,0.3953457176685333,0.14176736772060394,1.0000001192092896,0.1438814401626587
in,0.5344807505607605,0.3815755248069763,0.6662389636039734,0.28840774297714233,0.21475638449192047,0.2871037423610687,0.20430970191955566
new,0.26026442646980286,0.21711495518684387,0.3845241069793701,0.24711990356445312,0.16359540820121765,0.25601011514663696,0.14782847464084625
south,0.2539864182472229,0.258012980222702,0.3129390776157379,0.28915953636169434,0.213225856423378,0.26186099648475647,0.12336621433496475
wales,0.18642514944076538,0.18159276247024536,0.23852568864822388,0.3496279716491699,0.20669256150722504,0.18533237278461456,0.15627945959568024
.,0.41390106081962585,0.3378238379955292,0.5934505462646484,0.2822858989238739,0.2483377456665039,0.19573870301246643,0.4130953550338745
