,what,does,high,levels,of,inequality,do,to,growth,in,poor,countries,?
according,0.2776208221912384,0.22564846277236938,0.12603072822093964,0.13967692852020264,0.3307822346687317,0.26491740345954895,0.16328340768814087,0.28520727157592773,0.19464433193206787,0.29259276390075684,0.14606960117816925,0.1977016180753708,0.21173474192619324
to,0.455847829580307,0.4391997456550598,0.28947713971138,0.29053324460983276,0.41548454761505127,0.24361056089401245,0.38876664638519287,1.0,0.2701800763607025,0.45010748505592346,0.2869894206523895,0.3111797273159027,0.29463258385658264
work,0.3762225806713104,0.2975199520587921,0.1812952160835266,0.13091537356376648,0.23473061621189117,0.30602675676345825,0.3533625304698944,0.3482864499092102,0.24721252918243408,0.2753349542617798,0.30426862835884094,0.18919415771961212,0.2621155381202698
by,0.2455483376979828,0.143477201461792,0.2159195840358734,0.20695684850215912,0.3646814823150635,0.17648567259311676,0.1481526494026184,0.33534231781959534,0.1624399870634079,0.370934396982193,0.15843991935253143,0.2241220921278,0.17966607213020325
barro,0.1872328519821167,0.10506128519773483,0.14435680210590363,0.11844884604215622,0.20676353573799133,0.1177615076303482,0.20422141253948212,0.17916326224803925,0.004866259638220072,0.1924033761024475,0.08834344148635864,0.13694724440574646,0.18375037610530853
in,0.30808621644973755,0.214483380317688,0.2652597725391388,0.2418597936630249,0.5696388483047485,0.19402410089969635,0.23402775824069977,0.45010748505592346,0.2819603681564331,1.0,0.23408232629299164,0.3027990758419037,0.20430970191955566
1999,0.09112130105495453,-0.043145570904016495,0.058016568422317505,-0.04513600841164589,0.06211002916097641,0.07648526132106781,-0.05269920453429222,0.03205801546573639,-0.09243280440568924,-0.0026030326262116432,-0.038488924503326416,0.068278469145298,0.05416720360517502
and,0.31309178471565247,0.3461615741252899,0.2911888659000397,0.2956688106060028,0.5116966962814331,0.2590520679950714,0.276123583316803,0.48971283435821533,0.2731747627258301,0.4954058527946472,0.31649142503738403,0.37200918793678284,0.20544172823429108
2000,-0.10562582314014435,-0.014839278534054756,-0.08736269176006317,-0.11029702425003052,0.010344067588448524,-0.1467132419347763,-0.0837826281785965,-0.05413077399134636,-0.09468085318803787,-0.0435720756649971,0.030202392488718033,-0.15958665311336517,-0.0824366956949234
",",0.3087472915649414,0.28617382049560547,0.27938312292099,0.2284579873085022,0.4946078956127167,0.21822890639305115,0.3283645510673523,0.44245919585227966,0.2218456119298935,0.5201468467712402,0.24018602073192596,0.2966555655002594,0.31091248989105225
high,0.20466077327728271,0.2028418332338333,1.0,0.37835693359375,0.2803038954734802,0.22487330436706543,0.15005089342594147,0.28947713971138,0.2083626389503479,0.2652597725391388,0.29572054743766785,0.18718457221984863,0.11137914657592773
levels,0.21641245484352112,0.24911271035671234,0.37835693359375,0.9999998807907104,0.23668165504932404,0.24878159165382385,0.22495627403259277,0.29053324460983276,0.280769944190979,0.2418597936630249,0.20214404165744781,0.25373250246047974,0.1541307419538498
of,0.33290785551071167,0.3119818866252899,0.2803038954734802,0.23668165504932404,1.0,0.27910974621772766,0.26150479912757874,0.41548454761505127,0.2679378092288971,0.5696388483047485,0.23458099365234375,0.2800094783306122,0.1826142966747284
inequality,0.30072227120399475,0.24271976947784424,0.22487330436706543,0.24878159165382385,0.27910974621772766,1.0000001192092896,0.2117324322462082,0.24361056089401245,0.3248327970504761,0.19402410089969635,0.3267504870891571,0.2820434868335724,0.23619021475315094
reduce,0.18258237838745117,0.27093231678009033,0.24826619029045105,0.3766218423843384,0.26028934121131897,0.32493865489959717,0.2831265926361084,0.35182690620422363,0.31566423177719116,0.22053970396518707,0.31512749195098877,0.26061078906059265,0.1462220549583435
growth,0.1739405393600464,0.18474416434764862,0.2083626389503479,0.280769944190979,0.2679378092288971,0.3248327970504761,0.18957719206809998,0.2701800763607025,1.0000001192092896,0.2819603681564331,0.2721604108810425,0.18005292117595673,0.07547862827777863
in,0.30808621644973755,0.214483380317688,0.2652597725391388,0.2418597936630249,0.5696388483047485,0.19402410089969635,0.23402775824069977,0.45010748505592346,0.2819603681564331,1.0,0.23408232629299164,0.3027990758419037,0.20430970191955566
relatively,0.24081343412399292,0.2948732376098633,0.281430184841156,0.29979923367500305,0.2916591167449951,0.21849197149276733,0.19641050696372986,0.3473149538040161,0.34229138493537903,0.2696114182472229,0.3186814785003662,0.23339614272117615,0.1281091868877411
poor,0.2570318877696991,0.19849170744419098,0.29572054743766785,0.20214404165744781,0.23458099365234375,0.3267504870891571,0.1965416520833969,0.2869894206523895,0.2721604108810425,0.23408232629299164,1.0,0.25384774804115295,0.12937016785144806
countries,0.22319257259368896,0.2621564269065857,0.18718457221984863,0.25373250246047974,0.2800094783306122,0.2820434868335724,0.25890177488327026,0.3111797273159027,0.18005292117595673,0.3027990758419037,0.25384774804115295,0.9999999403953552,0.15128466486930847
