,what,studio,does,abc,own,at,1500,broadway,in,nyc,?
abc,0.1317344456911087,0.29244330525398254,0.1641341596841812,1.0000001192092896,0.23574505746364594,0.12953892350196838,-0.05785762518644333,0.35529398918151855,0.1697147786617279,0.1665857881307602,0.19065172970294952
also,0.42747777700424194,0.2273448407649994,0.4118025600910187,0.2030053734779358,0.36576277017593384,0.36980849504470825,0.004782991483807564,0.16530194878578186,0.5073733329772949,0.17179736495018005,0.21848613023757935
owns,0.1270528882741928,0.20876318216323853,0.2569397985935211,0.23212404549121857,0.36743292212486267,0.1749420017004013,0.0021773381158709526,0.18487520515918732,0.19753509759902954,0.1922989785671234,0.18703800439834595
the,0.42745697498321533,0.24831420183181763,0.35928019881248474,0.2068762183189392,0.334675133228302,0.457212895154953,-0.03235486149787903,0.18395566940307617,0.6662389636039734,0.19083283841609955,0.22068053483963013
times,0.21414996683597565,0.09335514158010483,0.23567602038383484,0.1631121188402176,0.1928550899028778,0.26909148693084717,-0.06540314108133316,0.19597947597503662,0.2427823841571808,0.24972033500671387,0.18880689144134521
square,0.12660330533981323,0.10429690778255463,0.14797891676425934,0.09751051664352417,0.06636983901262283,0.21245744824409485,-0.09628670662641525,0.2287626415491104,0.2193731665611267,0.269603431224823,0.1201515942811966
studios,0.15965642035007477,0.6479749083518982,0.13982270658016205,0.2829587459564209,0.19152648746967316,0.24949678778648376,-0.033961523324251175,0.30159226059913635,0.24788589775562286,0.18825122714042664,0.16383133828639984
at,0.2838611304759979,0.22992756962776184,0.17465277016162872,0.12953892350196838,0.20869451761245728,1.0,0.004157002549618483,0.2535601258277893,0.4374977946281433,0.21484485268592834,0.21978627145290375
1500,-0.06053812801837921,0.028446685522794724,0.0011000630911439657,-0.05785762518644333,-0.08179458230733871,0.004157002549618483,0.9999999403953552,0.010976643301546574,-0.03018064983189106,0.0294759813696146,0.08418000489473343
broadway,0.1423991322517395,0.25841236114501953,0.18310290575027466,0.35529398918151855,0.12415169179439545,0.2535601258277893,0.010976643301546574,0.9999999403953552,0.20252221822738647,0.3074643313884735,0.188872292637825
on,0.34226128458976746,0.2619023621082306,0.2568802833557129,0.2862928807735443,0.305448979139328,0.4806317389011383,-0.03529968857765198,0.25540560483932495,0.46853652596473694,0.17309041321277618,0.2714994251728058
