,what,role,in,economics,did,the,university,play,a,major,part,in,?
in,0.30808621644973755,0.243671715259552,1.0,0.19117838144302368,0.2593238651752472,0.6662389636039734,0.3201795518398285,0.24321173131465912,0.539380669593811,0.3249945342540741,0.4499994218349457,1.0,0.20430970191955566
economics,0.21107932925224304,0.1530091017484665,0.19117838144302368,0.9999999403953552,0.15973663330078125,0.17465341091156006,0.40750834345817566,0.15492834150791168,0.2117287665605545,0.19136087596416473,0.1484246850013733,0.19117838144302368,0.15849412977695465
",",0.3087472915649414,0.199491485953331,0.5201468467712402,0.25434449315071106,0.3015086054801941,0.4933079481124878,0.3017033040523529,0.2231253683567047,0.427140474319458,0.29355156421661377,0.3376222252845764,0.5201468467712402,0.31091248989105225
the,0.42745697498321533,0.26607486605644226,0.6662389636039734,0.17465341091156006,0.34736719727516174,1.0,0.263973206281662,0.24793598055839539,0.5829201340675354,0.31775903701782227,0.527681291103363,0.6662389636039734,0.22068053483963013
university,0.20256435871124268,0.12393464893102646,0.3201795518398285,0.40750834345817566,0.15114416182041168,0.263973206281662,1.0,0.17531955242156982,0.20256656408309937,0.167424276471138,0.24883095920085907,0.3201795518398285,0.11887256056070328
has,0.20338068902492523,0.17958451807498932,0.4173259735107422,0.1504102200269699,0.2124989777803421,0.4177538752555847,0.21257302165031433,0.17878887057304382,0.4670248031616211,0.2243996560573578,0.33699411153793335,0.4173259735107422,0.15994466841220856
played,0.14831039309501648,0.3676716685295105,0.27605336904525757,0.16342584788799286,0.19653649628162384,0.2603478729724884,0.2068624645471573,0.6030629277229309,0.2472371906042099,0.20760951936244965,0.20158123970031738,0.27605336904525757,0.14096300303936005
an,0.2821882665157318,0.23719340562820435,0.2605783939361572,0.13252700865268707,0.22598257660865784,0.4207492768764496,0.1648537814617157,0.1214400976896286,0.44552403688430786,0.14518070220947266,0.3128427565097809,0.2605783939361572,0.19793890416622162
important,0.31164905428886414,0.3086093068122864,0.3796374499797821,0.24581222236156464,0.22188524901866913,0.39348116517066956,0.20405744016170502,0.1567390114068985,0.2963852882385254,0.3877026438713074,0.39585626125335693,0.3796374499797821,0.17812499403953552
role,0.22614215314388275,0.9999998807907104,0.243671715259552,0.1530091017484665,0.16237343847751617,0.26607486605644226,0.12393464893102646,0.2634873688220978,0.22880133986473083,0.21057923138141632,0.30847007036209106,0.243671715259552,0.18676944077014923
in,0.30808621644973755,0.243671715259552,1.0,0.19117838144302368,0.2593238651752472,0.6662389636039734,0.3201795518398285,0.24321173131465912,0.539380669593811,0.3249945342540741,0.4499994218349457,1.0,0.20430970191955566
shaping,0.29613441228866577,0.24314485490322113,0.23360124230384827,0.2529095411300659,0.18054749071598053,0.24173405766487122,0.11098459362983704,0.14388731122016907,0.24639861285686493,0.18436074256896973,0.2204088419675827,0.23360124230384827,0.19439823925495148
ideas,0.42330971360206604,0.22701942920684814,0.24198658764362335,0.3095771372318268,0.3357154428958893,0.22381870448589325,0.2155005782842636,0.18946653604507446,0.2439810186624527,0.1295630782842636,0.2559293210506439,0.24198658764362335,0.2857283353805542
about,0.47976887226104736,0.15488481521606445,0.39797019958496094,0.15641917288303375,0.28723078966140747,0.37995871901512146,0.21539568901062012,0.17319072782993317,0.34171196818351746,0.17507396638393402,0.31749680638313293,0.39797019958496094,0.302409827709198
