,how,are,the,forces,derived,from,fields,treated,similarly,to,?
however,0.45072782039642334,0.44812726974487305,0.49814513325691223,0.28173768520355225,0.24125748872756958,0.33656248450279236,0.21784788370132446,0.437210351228714,0.470104843378067,0.5474119186401367,0.2152075469493866
",",0.22659391164779663,0.4062570035457611,0.4933079481124878,0.2544684410095215,0.19508518278598785,0.39760664105415344,0.2786177098751068,0.24914546310901642,0.31510427594184875,0.44245919585227966,0.31091248989105225
the,0.33890387415885925,0.40399202704429626,1.0,0.3134811818599701,0.26961472630500793,0.40150508284568787,0.16397054493427277,0.26177066564559937,0.33859682083129883,0.535392165184021,0.22068053483963013
potentials,0.3114120364189148,0.3672924041748047,0.2821430265903473,0.2295393943786621,0.187346950173378,0.24114663898944855,0.25687354803085327,0.21959711611270905,0.33702561259269714,0.3654095232486725,0.18962641060352325
v,0.15972670912742615,0.07239489257335663,0.18580520153045654,0.16321487724781036,0.13593359291553497,0.13980557024478912,0.15387341380119324,-0.0042826770804822445,0.14786574244499207,0.2109750658273697,0.28677162528038025
(,0.1676948219537735,0.23263892531394958,0.33289089798927307,0.19082732498645782,0.1835828274488449,0.25806233286857605,0.16631509363651276,0.11494027078151703,0.1912478506565094,0.30882009863853455,0.40561532974243164
x,0.1568639576435089,0.14163224399089813,0.20980626344680786,0.06601372361183167,0.1754269152879715,0.16927196085453033,0.10364308208227158,0.1091354489326477,0.22289630770683289,0.21431612968444824,0.23304535448551178
",",0.22659391164779663,0.4062570035457611,0.4933079481124878,0.2544684410095215,0.19508518278598785,0.39760664105415344,0.2786177098751068,0.24914546310901642,0.31510427594184875,0.44245919585227966,0.31091248989105225
y,0.16871768236160278,0.08573997020721436,0.1503237932920456,0.10114629566669464,0.15679235756397247,0.12303977459669113,0.14240947365760803,0.15927362442016602,0.17977440357208252,0.20773886144161224,0.2510884404182434
",",0.22659391164779663,0.4062570035457611,0.4933079481124878,0.2544684410095215,0.19508518278598785,0.39760664105415344,0.2786177098751068,0.24914546310901642,0.31510427594184875,0.44245919585227966,0.31091248989105225
z,0.19413530826568604,0.10580581426620483,0.17444150149822235,0.16243186593055725,0.1512758731842041,0.1636853963136673,0.10914097726345062,0.033426180481910706,0.17989447712898254,0.14101378619670868,0.26213106513023376
),0.17939934134483337,0.2373749315738678,0.3456730246543884,0.20263166725635529,0.17495816946029663,0.2672361731529236,0.1406276524066925,0.11673977971076965,0.20700663328170776,0.31236231327056885,0.42300865054130554
or,0.3378981947898865,0.5374364256858826,0.4174870550632477,0.17726115882396698,0.2603827118873596,0.31242018938064575,0.25209224224090576,0.37180227041244507,0.4222131371498108,0.38921234011650085,0.32389625906944275
fields,0.21759624779224396,0.19811008870601654,0.16397054493427277,0.14171886444091797,0.12233199179172516,0.12092243134975433,0.9999999403953552,0.15587814152240753,0.22046376764774323,0.24277333915233612,0.1411406248807907
",",0.22659391164779663,0.4062570035457611,0.4933079481124878,0.2544684410095215,0.19508518278598785,0.39760664105415344,0.2786177098751068,0.24914546310901642,0.31510427594184875,0.44245919585227966,0.31091248989105225
from,0.22939439117908478,0.2674213647842407,0.40150508284568787,0.15575696527957916,0.315938800573349,1.0,0.12092243134975433,0.21626204252243042,0.272614449262619,0.4069952368736267,0.19969791173934937
which,0.4852597713470459,0.42922598123550415,0.6521818041801453,0.2267666757106781,0.3389825224876404,0.38755592703819275,0.20002226531505585,0.30449292063713074,0.48172226548194885,0.5345056653022766,0.25814583897590637
the,0.33890387415885925,0.40399202704429626,1.0,0.3134811818599701,0.26961472630500793,0.40150508284568787,0.16397054493427277,0.26177066564559937,0.33859682083129883,0.535392165184021,0.22068053483963013
forces,0.17453457415103912,0.22039441764354706,0.3134811818599701,1.0,0.14158426225185394,0.15575696527957916,0.14171886444091797,0.18400312960147858,0.21209490299224854,0.2581802308559418,0.16984491050243378
generally,0.35949206352233887,0.5254502892494202,0.41466525197029114,0.23568183183670044,0.2661956548690796,0.28208622336387634,0.17392250895500183,0.26136648654937744,0.4447469115257263,0.3871513605117798,0.23411904275417328
can,0.49246567487716675,0.5408529043197632,0.312528520822525,0.15958181023597717,0.15686163306236267,0.2516351342201233,0.19597917795181274,0.345088928937912,0.3674009442329407,0.4979398250579834,0.3226337134838104
be,0.4158933162689209,0.5556803941726685,0.4248143136501312,0.17733727395534515,0.18554693460464478,0.3107333183288574,0.25505945086479187,0.4257298409938812,0.39588695764541626,0.4972836375236511,0.3324260413646698
derived,0.15047717094421387,0.21504636108875275,0.26961472630500793,0.14158426225185394,0.9999998807907104,0.315938800573349,0.12233199179172516,0.23113517463207245,0.3207860291004181,0.16948232054710388,0.1241099163889885
",",0.22659391164779663,0.4062570035457611,0.4933079481124878,0.2544684410095215,0.19508518278598785,0.39760664105415344,0.2786177098751068,0.24914546310901642,0.31510427594184875,0.44245919585227966,0.31091248989105225
are,0.311818927526474,1.0,0.40399202704429626,0.22039441764354706,0.21504636108875275,0.2674213647842407,0.19811008870601654,0.32262903451919556,0.4371143579483032,0.3504326641559601,0.24591213464736938
treated,0.3463605046272278,0.32262903451919556,0.26177066564559937,0.18400312960147858,0.23113517463207245,0.21626204252243042,0.15587814152240753,0.9999999403953552,0.31891563534736633,0.3292844891548157,0.20855045318603516
