,james,hutton,published,a,2,volume,version,of,his,theories,in,what,year,?
hutton,0.3156675696372986,0.9999998807907104,0.19662217795848846,0.2356003224849701,0.014525305479764938,0.171426922082901,0.10656262189149857,0.18316355347633362,0.21995028853416443,0.24521471560001373,0.2178497314453125,0.19595399498939514,0.09884139895439148,0.1513788402080536
published,0.18902958929538727,0.19662217795848846,1.0,0.1993555724620819,0.02945476584136486,0.3547068238258362,0.2710597515106201,0.23023100197315216,0.2540745139122009,0.22777454555034637,0.26697060465812683,0.20457668602466583,0.18425042927265167,0.16280238330364227
a,0.19130736589431763,0.2356003224849701,0.1993555724620819,1.0,-0.05323360115289688,0.16873154044151306,0.27132871747016907,0.5052502155303955,0.3497250974178314,0.19848357141017914,0.539380669593811,0.3320399522781372,0.29350247979164124,0.23916715383529663
two-volume,0.15380984544754028,0.26267677545547485,0.41327446699142456,0.24186226725578308,-0.00548653956502676,0.9342178702354431,0.23762977123260498,0.32052329182624817,0.22648018598556519,0.235891655087471,0.25696784257888794,0.22253262996673584,0.22992455959320068,0.23446457087993622
version,0.19098684191703796,0.10656262189149857,0.2710597515106201,0.27132871747016907,0.04344789683818817,0.17439226806163788,1.0000001192092896,0.14166875183582306,0.15563099086284637,0.1689589023590088,0.19599339365959167,0.20755547285079956,0.19092321395874023,0.2573966085910797
of,0.18323110044002533,0.18316355347633362,0.23023100197315216,0.5052502155303955,-0.013777675107121468,0.27775493264198303,0.14166875183582306,1.0,0.38364991545677185,0.25074607133865356,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.1826142966747284
his,0.30549123883247375,0.21995028853416443,0.2540745139122009,0.3497250974178314,0.0003525891515891999,0.1721196472644806,0.15563099086284637,0.38364991545677185,0.9999998807907104,0.285927951335907,0.3598145842552185,0.26976513862609863,0.255428284406662,0.18075084686279297
ideas,0.20138704776763916,0.21288268268108368,0.2630027234554291,0.2439810186624527,-0.05439728498458862,0.1476084142923355,0.2432386726140976,0.22676146030426025,0.33019760251045227,0.5853672027587891,0.24198658764362335,0.42330971360206604,0.15589329600334167,0.2857283353805542
in,0.1994210183620453,0.2178497314453125,0.26697060465812683,0.539380669593811,0.01447046548128128,0.19778774678707123,0.19599339365959167,0.5696388483047485,0.3598145842552185,0.1867285519838333,1.0,0.30808621644973755,0.3359307050704956,0.20430970191955566
1795,0.01490030623972416,0.001184295630082488,0.12290769815444946,0.02082172967493534,-0.03151106461882591,0.10269981622695923,0.07179558277130127,0.12389922142028809,0.004710743669420481,0.13126136362552643,0.08922814577817917,0.08444327861070633,0.11372699588537216,0.1257336139678955
(,0.21817751228809357,0.23094862699508667,0.18344631791114807,0.3206180930137634,-0.012299480848014355,0.21936368942260742,0.2838994860649109,0.35032153129577637,0.16098198294639587,0.13408048450946808,0.3087427020072937,0.2411840260028839,0.2556702494621277,0.40561532974243164
vol,0.20919577777385712,0.1856870949268341,0.3062596023082733,0.10386466234922409,0.049084924161434174,0.48702818155288696,0.12881213426589966,0.21376322209835052,0.1489448845386505,0.17744101583957672,0.17589552700519562,0.1329158991575241,0.06926804780960083,0.137680321931839
.,0.2421826720237732,0.28310081362724304,0.23857341706752777,0.50484299659729,-0.037111926823854446,0.2695035934448242,0.2754054665565491,0.5352458953857422,0.3119256794452667,0.18147483468055725,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.4130953550338745
