,how,much,did,san,francisco,get,for,providing,services,for,the,super,bowl,?
san,0.11613621562719345,0.0992736965417862,0.1785750538110733,0.9999999403953552,0.8108479976654053,0.1305130273103714,0.21004900336265564,0.18726354837417603,0.16080959141254425,0.21004900336265564,0.2858080565929413,0.15279507637023926,0.18508543074131012,0.10952327400445938
francisco,0.13850292563438416,0.11665723472833633,0.1959451586008072,0.8108479976654053,1.0,0.13235948979854584,0.2142373025417328,0.1582295298576355,0.1488845944404602,0.2142373025417328,0.25086042284965515,0.1658499836921692,0.20152677595615387,0.1020219698548317
city,0.12024712562561035,0.16522060334682465,0.12266099452972412,0.32193511724472046,0.26995041966438293,0.1543910801410675,0.18687109649181366,0.08934315294027328,0.18645629286766052,0.18687109649181366,0.35769423842430115,0.14329007267951965,0.18699099123477936,0.13423943519592285
supervisor,0.16926789283752441,0.16675607860088348,0.21912047266960144,0.27299872040748596,0.28419169783592224,0.164763942360878,0.30380451679229736,0.26522111892700195,0.31943875551223755,0.30380451679229736,0.1879754215478897,0.2874670922756195,0.1610952466726303,0.0980292558670044
jane,0.17849545180797577,0.1425824910402298,0.2011299580335617,0.08675535768270493,0.14684514701366425,0.20054416358470917,0.20891249179840088,0.12732036411762238,0.12687717378139496,0.20891249179840088,0.18294748663902283,0.14944246411323547,0.10390816628932953,0.14947275817394257
kim,0.11260992288589478,0.0984048992395401,0.131334587931633,0.17282411456108093,0.15439718961715698,0.12331918627023697,0.10905645042657852,0.10718017816543579,0.11422131210565567,0.10905645042657852,0.16643309593200684,0.13772384822368622,0.13090352714061737,0.1720227748155594
unsuccessfully,0.1988055557012558,0.14203748106956482,0.3109230101108551,0.16607388854026794,0.2063143253326416,0.22694621980190277,0.2733110785484314,0.15465985238552094,0.12624451518058777,0.2733110785484314,0.25118717551231384,0.13281382620334625,0.19870536029338837,0.11042703688144684
lobbied,0.21755386888980865,0.15746651589870453,0.31271106004714966,0.23130805790424347,0.2570071220397949,0.25178584456443787,0.32389456033706665,0.2186209112405777,0.3331490755081177,0.32389456033706665,0.32966166734695435,0.16318193078041077,0.21969074010849,0.13561487197875977
for,0.3308170735836029,0.2994346022605896,0.318512886762619,0.21004900336265564,0.2142373025417328,0.342695415019989,0.9999999403953552,0.44196924567222595,0.36779820919036865,0.9999999403953552,0.4739971458911896,0.22938419878482819,0.24430087208747864,0.264628142118454
the,0.33890387415885925,0.35023224353790283,0.34736719727516174,0.2858080565929413,0.25086042284965515,0.29667025804519653,0.4739971458911896,0.29839932918548584,0.2381475418806076,0.4739971458911896,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
nfl,0.09207417815923691,0.10144446790218353,0.16524574160575867,0.225969135761261,0.24973660707473755,0.13559606671333313,0.23749186098575592,0.14108921587467194,0.11658120155334473,0.23749186098575592,0.15305201709270477,0.319060355424881,0.48354101181030273,0.10610254108905792
