,when,was,tesla,brought,to,gospic,?
on,0.37706470489501953,0.3909217119216919,0.16159376502037048,0.2436620593070984,0.41031414270401,0.26833611726760864,0.2714994251728058
24,-0.04070616886019707,-0.06428006291389465,-0.04952831566333771,-0.041371382772922516,-0.038588933646678925,-0.12980559468269348,0.016154835000634193
march,0.22895319759845734,0.4297752380371094,0.1457514613866806,0.21261359751224518,0.2274535447359085,0.21959881484508514,0.2802562415599823
1879,-0.027351202443242073,0.086683489382267,-0.045758847147226334,0.03951391950249672,-0.0397687628865242,-0.08901827782392502,0.057432834059000015
",",0.36674630641937256,0.45456063747406006,0.20599327981472015,0.30810219049453735,0.44245919585227966,0.33991190791130066,0.31091248989105225
tesla,0.1504557579755783,0.16455206274986267,0.9999999403953552,0.09128429740667343,0.17548894882202148,0.18164220452308655,0.10250775516033173
was,0.37326499819755554,1.0000001192092896,0.16455206274986267,0.35886916518211365,0.3636345863342285,0.2748537063598633,0.18412111699581146
returned,0.28365370631217957,0.4257400631904602,0.0423017218708992,0.41323474049568176,0.30012887716293335,0.18402530252933502,0.07695316523313522
to,0.5423505902290344,0.3636345863342285,0.17548894882202148,0.35361579060554504,1.0,0.2824999690055847,0.29463258385658264
gospić,0.2131928652524948,0.2684362530708313,0.28443384170532227,0.20808351039886475,0.2624954581260681,0.74547278881073,0.15864557027816772
under,0.3172987401485443,0.2672741413116455,0.122123122215271,0.2873131036758423,0.27177539467811584,0.21322035789489746,0.18233340978622437
police,0.25831544399261475,0.2523312270641327,0.18494682013988495,0.1592448204755783,0.27044278383255005,0.27970656752586365,0.1765819936990738
guard,0.2669609785079956,0.21039271354675293,0.13322049379348755,0.20395061373710632,0.20678597688674927,0.21855372190475464,0.11036597937345505
for,0.43402108550071716,0.3863949179649353,0.13983871042728424,0.2740367650985718,0.4451248347759247,0.20998062193393707,0.264628142118454
not,0.4799930453300476,0.2888734042644501,0.12018213421106339,0.20921888947486877,0.5149973034858704,0.20987775921821594,0.41942933201789856
having,0.4296937882900238,0.2792723774909973,0.09314358234405518,0.3524104654788971,0.3992697596549988,0.2495911568403244,0.22418256103992462
a,0.44397395849227905,0.4508470594882965,0.2211925983428955,0.2422461211681366,0.45503583550453186,0.22361163794994354,0.23916715383529663
residence,0.13373388350009918,0.23680193722248077,0.12319853901863098,0.1548936665058136,0.17364612221717834,0.24778276681900024,0.08006593585014343
permit,0.3151383101940155,0.1386057436466217,0.14899393916130066,0.2307446449995041,0.38876909017562866,0.16084863245487213,0.17485858500003815
.,0.475719153881073,0.40146201848983765,0.17949827015399933,0.31484454870224,0.4645031690597534,0.26635870337486267,0.4130953550338745
