,when,did,the,earliest,examples,of,civil,disobedience,as,a,whole,occur,?
the,0.5091903209686279,0.34736719727516174,1.0,0.32825469970703125,0.30092597007751465,0.733189046382904,0.2477465271949768,0.30963727831840515,0.48381632566452026,0.5829201340675354,0.4517841339111328,0.26611819863319397,0.22068053483963013
earliest,0.1827615648508072,0.23505623638629913,0.32825469970703125,1.0,0.29689455032348633,0.33267632126808167,0.1108841672539711,0.2281191051006317,0.25896963477134705,0.21276333928108215,0.2114892601966858,0.22741107642650604,0.139415442943573
recorded,0.19460174441337585,0.26971957087516785,0.2759207487106323,0.2965225279331207,0.12800349295139313,0.21896186470985413,0.16028788685798645,0.14983052015304565,0.20423541963100433,0.21145537495613098,0.14654621481895447,0.27877670526504517,0.19213420152664185
incidents,0.23224280774593353,0.2733459174633026,0.2520020306110382,0.14599642157554626,0.2881953716278076,0.22766171395778656,0.20756378769874573,0.2842676043510437,0.1973850280046463,0.195003479719162,0.1903088241815567,0.34321850538253784,0.17067353427410126
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.33267632126808167,0.3054686188697815,1.0,0.24698495864868164,0.31932318210601807,0.3886612355709076,0.5052502155303955,0.4001069962978363,0.24223870038986206,0.1826142966747284
collective,0.18696531653404236,0.12631861865520477,0.27278316020965576,0.22637830674648285,0.25578001141548157,0.3373034596443176,0.13898104429244995,0.25562170147895813,0.26281896233558655,0.27772119641304016,0.20805460214614868,0.16478541493415833,0.18214865028858185
civil,0.14899945259094238,0.17288750410079956,0.2477465271949768,0.1108841672539711,0.12049136310815811,0.24698495864868164,1.0,0.5442691445350647,0.18100082874298096,0.21693918108940125,0.15412499010562897,0.14095847308635712,0.1494513899087906
disobedience,0.2761690020561218,0.32217419147491455,0.30963727831840515,0.2281191051006317,0.1826075315475464,0.31932318210601807,0.5442691445350647,1.0,0.25773370265960693,0.25352153182029724,0.23540908098220825,0.2276705503463745,0.19890835881233215
took,0.25529301166534424,0.42470768094062805,0.31657639145851135,0.18655192852020264,0.14427407085895538,0.2766268849372864,0.17563877999782562,0.2132847011089325,0.2319253534078598,0.18697012960910797,0.24097894132137299,0.18956530094146729,0.14109265804290771
place,0.23831914365291595,0.24020224809646606,0.4179787337779999,0.1671864539384842,0.2693869173526764,0.2685627043247223,0.14840812981128693,0.17862099409103394,0.24125029146671295,0.3079278767108917,0.2675061523914337,0.2647521495819092,0.2455766350030899
during,0.46721696853637695,0.30679523944854736,0.4838213622570038,0.2385512888431549,0.18901178240776062,0.3869180977344513,0.2953299880027771,0.3262510895729065,0.29671990871429443,0.30341604351997375,0.31742948293685913,0.29609251022338867,0.1325719803571701
the,0.5091903209686279,0.34736719727516174,1.0,0.32825469970703125,0.30092597007751465,0.733189046382904,0.2477465271949768,0.30963727831840515,0.48381632566452026,0.5829201340675354,0.4517841339111328,0.26611819863319397,0.22068053483963013
roman,0.1767279952764511,0.1483525037765503,0.2862859070301056,0.2494395673274994,0.1153395026922226,0.31028008460998535,0.2065703272819519,0.23174075782299042,0.22062699496746063,0.18130378425121307,0.15736033022403717,0.10745762288570404,0.1663191318511963
empire,0.18422111868858337,0.18850058317184448,0.32532164454460144,0.18275904655456543,0.14042411744594574,0.30522286891937256,0.21297308802604675,0.20652562379837036,0.21108263731002808,0.1900206059217453,0.19978179037570953,0.06295081228017807,0.14909450709819794
[,0.07002913951873779,0.030549485236406326,0.07130392640829086,-0.026648173108696938,0.07774191349744797,0.010817250236868858,0.03367530554533005,0.021624822169542313,0.018050309270620346,0.03893941268324852,0.015320965088903904,0.07139645516872406,0.011015460826456547
citation,0.19754578173160553,0.18243058025836945,0.2536581754684448,0.09061526507139206,0.16895440220832825,0.22959956526756287,0.1559026539325714,0.261855810880661,0.19104808568954468,0.24621744453907013,0.20788505673408508,0.17162160575389862,0.3382055461406708
needed,0.3670521080493927,0.40049824118614197,0.3064746856689453,0.14340825378894806,0.2989886999130249,0.27215874195098877,0.1810653656721115,0.19774167239665985,0.2788996696472168,0.2915569543838501,0.3261685371398926,0.188189297914505,0.2863257825374603
],-0.0009315960924141109,0.024806415662169456,-0.04779602214694023,0.04118725657463074,0.11513910442590714,-0.035044461488723755,-0.029140548780560493,-0.0568564347922802,-0.03319411352276802,-0.049516137689352036,-0.06823161244392395,-0.0663069635629654,-0.0022520492784678936
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.21521835029125214,0.28905922174453735,0.5352458953857422,0.2541380822658539,0.2603943943977356,0.515582263469696,0.50484299659729,0.29110342264175415,0.21290622651576996,0.4130953550338745
