,a,complete,loss,of,rainforest,cover,may,be,caused,by,what,type,of,emissions,?
one,0.4910551905632019,0.34202226996421814,0.23399928212165833,0.4999135136604309,0.2546979784965515,0.22352686524391174,0.2514621615409851,0.4154875874519348,0.22115907073020935,0.29445651173591614,0.376489520072937,0.2377735823392868,0.4999135136604309,0.2239597588777542,0.2673267424106598
computer,0.2548043727874756,0.2211722433567047,0.13907134532928467,0.18559479713439941,0.16432307660579681,0.09136006981134415,0.22451436519622803,0.25427141785621643,0.1446658968925476,0.20605696737766266,0.26911869645118713,0.21081416308879852,0.18559479713439941,0.18396006524562836,0.20203553140163422
model,0.29218459129333496,0.09682995080947876,0.08480889350175858,0.18271391093730927,0.15805865824222565,0.15255209803581238,0.1329871416091919,0.1368791162967682,0.10176186263561249,0.12459231913089752,0.2303347885608673,0.19148899614810944,0.18271391093730927,0.14273789525032043,0.14843042194843292
of,0.5052502155303955,0.3009350895881653,0.26357072591781616,1.0,0.22522282600402832,0.26416900753974915,0.26447007060050964,0.33904364705085754,0.29665443301200867,0.3646814823150635,0.33290785551071167,0.18112817406654358,1.0,0.240469291806221,0.1826142966747284
future,0.16284751892089844,0.192653089761734,0.19802342355251312,0.25455814599990845,0.09010060876607895,0.1116907000541687,0.2740321457386017,0.32757890224456787,0.2093682885169983,0.17252910137176514,0.29700374603271484,0.04995714873075485,0.25455814599990845,0.251106858253479,0.3367180824279785
climate,0.1805623322725296,0.12785585224628448,0.21694818139076233,0.25840428471565247,0.4462570548057556,0.17827929556369781,0.138997420668602,0.17534734308719635,0.24975024163722992,0.13604430854320526,0.2854173183441162,0.23705290257930756,0.25840428471565247,0.3462984561920166,0.19998492300510406
change,0.3047741651535034,0.21964994072914124,0.2671118974685669,0.2569013833999634,0.1487647444009781,0.1605502814054489,0.2796947658061981,0.4429277777671814,0.2528924345970154,0.2329561412334442,0.3690716028213501,0.2358139455318451,0.2569013833999634,0.22145235538482666,0.24115969240665436
caused,0.22472180426120758,0.09028663486242294,0.3778317868709564,0.29665443301200867,0.2313433289527893,0.13391442596912384,0.2750105857849121,0.22316482663154602,1.0000001192092896,0.30491310358047485,0.22264783084392548,0.1759801208972931,0.29665443301200867,0.264981746673584,0.20679491758346558
by,0.32094135880470276,0.16281484067440033,0.19461268186569214,0.3646814823150635,0.16387821733951569,0.20553752779960632,0.1970296949148178,0.43158695101737976,0.30491310358047485,1.0000001192092896,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.2316247671842575,0.17966607213020325
greenhouse,0.2077552080154419,0.12794546782970428,0.21158698201179504,0.2204664796590805,0.3517635464668274,0.17609663307666779,0.2789297103881836,0.26106154918670654,0.2502768635749817,0.16174159944057465,0.18998095393180847,0.14658837020397186,0.2204664796590805,0.4828691780567169,0.17256315052509308
gas,0.26485589146614075,0.21536676585674286,0.0751810148358345,0.21246914565563202,0.22264611721038818,0.1241544708609581,0.15962132811546326,0.2750326097011566,0.20840303599834442,0.1669413298368454,0.20887799561023712,0.15206468105316162,0.21246914565563202,0.44838792085647583,0.1582372784614563
emissions,0.25515544414520264,0.21955658495426178,0.2303657978773117,0.240469291806221,0.28217390179634094,0.1563311070203781,0.22533121705055237,0.27206796407699585,0.264981746673584,0.2316247671842575,0.2559395730495453,0.25073984265327454,0.240469291806221,1.0,0.19590985774993896
shows,0.3360818326473236,0.2889726161956787,0.14642319083213806,0.3410852253437042,0.17266510426998138,0.23350995779037476,0.18453530967235565,0.24676766991615295,0.14369800686836243,0.21424074470996857,0.30282244086265564,0.16132859885692596,0.3410852253437042,0.235586479306221,0.2040930688381195
that,0.47537946701049805,0.30512917041778564,0.26437413692474365,0.41498205065727234,0.22076080739498138,0.24846096336841583,0.4234136641025543,0.6036020517349243,0.33201703429222107,0.37496164441108704,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.2977752387523651,0.32716336846351624
the,0.5829201340675354,0.277624249458313,0.27898719906806946,0.733189046382904,0.2571161389350891,0.26727065443992615,0.2694292366504669,0.4248143136501312,0.24990202486515045,0.4408751428127289,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24195483326911926,0.22068053483963013
