,how,long,was,the,broadcast,delay,the,first,time,the,series,premiered,?
it,0.36714982986450195,0.34568047523498535,0.4577186405658722,0.6251175999641418,0.24714356660842896,0.2143334448337555,0.6251175999641418,0.3491429388523102,0.3375589847564697,0.6251175999641418,0.20531252026557922,0.27528926730155945,0.25732165575027466
has,0.26820555329322815,0.2952231168746948,0.40313825011253357,0.4177538752555847,0.17970146238803864,0.13389690220355988,0.4177538752555847,0.28288596868515015,0.25164222717285156,0.4177538752555847,0.16834278404712677,0.13089430332183838,0.15994466841220856
been,0.26456597447395325,0.3324016332626343,0.518218457698822,0.3563927710056305,0.18831424415111542,0.23748835921287537,0.3563927710056305,0.32745984196662903,0.3667145073413849,0.3563927710056305,0.24386771023273468,0.19914869964122772,0.24354910850524902
claimed,0.13862073421478271,0.1532471477985382,0.32895320653915405,0.2761930227279663,0.19262492656707764,0.1657322347164154,0.2761930227279663,0.24460621178150177,0.25433099269866943,0.2761930227279663,0.12136606872081757,0.19333237409591675,0.2083493024110794
that,0.557814359664917,0.34424030780792236,0.33670201897621155,0.5473989248275757,0.267183780670166,0.34386560320854187,0.5473989248275757,0.3482176661491394,0.388528436422348,0.5473989248275757,0.24595457315444946,0.20893624424934387,0.32716336846351624
the,0.33890387415885925,0.3075225353240967,0.48711544275283813,1.0,0.2713715434074402,0.2607918381690979,1.0,0.49448907375335693,0.43061500787734985,1.0,0.31376904249191284,0.2763466238975525,0.22068053483963013
transmission,0.2645879089832306,0.2131146788597107,0.1702040582895279,0.26124435663223267,0.327177494764328,0.289958655834198,0.26124435663223267,0.24909992516040802,0.2507856786251068,0.26124435663223267,0.2518768906593323,0.2037733942270279,0.16372337937355042
of,0.2480744868516922,0.2567519545555115,0.4069072902202606,0.733189046382904,0.20155203342437744,0.19660267233848572,0.733189046382904,0.3536086082458496,0.35127586126327515,0.733189046382904,0.22268271446228027,0.17575117945671082,0.1826142966747284
the,0.33890387415885925,0.3075225353240967,0.48711544275283813,1.0,0.2713715434074402,0.2607918381690979,1.0,0.49448907375335693,0.43061500787734985,1.0,0.31376904249191284,0.2763466238975525,0.22068053483963013
first,0.27731001377105713,0.23231349885463715,0.5022147297859192,0.49448907375335693,0.2604263722896576,0.22215960919857025,0.49448907375335693,1.0,0.4013477563858032,0.49448907375335693,0.3264976441860199,0.3443596065044403,0.18701928853988647
episode,0.20521073043346405,0.1578792929649353,0.1706574261188507,0.25342556834220886,0.3553028106689453,0.24347448348999023,0.25342556834220886,0.24243572354316711,0.28294599056243896,0.25342556834220886,0.4687832295894623,0.48305678367614746,0.23978739976882935
was,0.16678167879581451,0.1968146562576294,1.0000001192092896,0.48711544275283813,0.24068336188793182,0.22715745866298676,0.48711544275283813,0.5022147297859192,0.3641340136528015,0.48711544275283813,0.2261398285627365,0.3313652276992798,0.18412111699581146
delayed,0.2028224915266037,0.24560216069221497,0.32329967617988586,0.32091420888900757,0.28230974078178406,0.7504567503929138,0.32091420888900757,0.29601481556892395,0.2825455367565155,0.32091420888900757,0.22262603044509888,0.2967521846294403,0.12875154614448547
by,0.34370526671409607,0.17269869148731232,0.4752357602119446,0.4408751428127289,0.22584840655326843,0.24634143710136414,0.4408751428127289,0.3877052962779999,0.26502725481987,0.4408751428127289,0.267352432012558,0.25732770562171936,0.17966607213020325
ten,0.26821833848953247,0.257926881313324,0.27622097730636597,0.3256247341632843,0.2124667763710022,0.20578980445861816,0.3256247341632843,0.2795242965221405,0.2587283253669739,0.3256247341632843,0.2091251015663147,0.2317424714565277,0.14471080899238586
minutes,0.2050236165523529,0.3457551598548889,0.18689095973968506,0.20313966274261475,0.3106328845024109,0.36974552273750305,0.20313966274261475,0.2134740650653839,0.3830539584159851,0.20313966274261475,0.18069061636924744,0.255979984998703,0.14419560134410858
due,0.19407185912132263,0.18088287115097046,0.29011407494544983,0.22577603161334991,0.14409776031970978,0.33404210209846497,0.22577603161334991,0.16485638916492462,0.20518282055854797,0.22577603161334991,0.16627788543701172,0.21251896023750305,0.10954997688531876
to,0.44169697165489197,0.30218687653541565,0.3636345863342285,0.535392165184021,0.2326623648405075,0.3099154531955719,0.535392165184021,0.3792489171028137,0.3679993152618408,0.535392165184021,0.19879554212093353,0.1805678755044937,0.29463258385658264
extended,0.1505790501832962,0.2646813690662384,0.23736250400543213,0.3160722553730011,0.1487886756658554,0.3187551498413086,0.3160722553730011,0.2124635875225067,0.2526990473270416,0.3160722553730011,0.11568979918956757,0.1895977258682251,0.17568568885326385
news,0.18786205351352692,0.1194859966635704,0.1809975951910019,0.2294066995382309,0.4630478620529175,0.2198268473148346,0.2294066995382309,0.19526633620262146,0.2204277217388153,0.2294066995382309,0.21841728687286377,0.22432784736156464,0.1899169683456421
