,what,is,the,eukaryotic,parasite,responsible,for,malaria,known,as,?
some,0.4491020441055298,0.3038453459739685,0.4566698372364044,0.281566321849823,0.23659828305244446,0.23173010349273682,0.4257155656814575,0.31758126616477966,0.29982712864875793,0.4293700158596039,0.2562315762042999
examples,0.26665759086608887,0.29282552003860474,0.30092597007751465,0.27779632806777954,0.22347301244735718,0.22973565757274628,0.3848060369491577,0.23342928290367126,0.300639271736145,0.325487345457077,0.19976599514484406
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2760854661464691,0.1924804300069809,0.37070101499557495,0.4185989499092102,0.26847997307777405,0.35814476013183594,0.3886612355709076,0.1826142966747284
intracellular,0.22688700258731842,0.23824672400951385,0.28458255529403687,0.6315608024597168,0.5385209918022156,0.2597074508666992,0.23643425107002258,0.42542675137519836,0.22212211787700653,0.20716533064842224,0.18181154131889343
pathogens,0.24503889679908752,0.19907276332378387,0.23115308582782745,0.5921899676322937,0.6411092281341553,0.27721941471099854,0.194688081741333,0.5648609399795532,0.21632184088230133,0.22061175107955933,0.21364152431488037
include,0.1535889357328415,0.28863582015037537,0.2951717972755432,0.2371494024991989,0.23977237939834595,0.1871393620967865,0.39020416140556335,0.17749559879302979,0.323519766330719,0.3469957113265991,0.14925788342952728
viruses,0.22483296692371368,0.19504015147686005,0.22837135195732117,0.5665625333786011,0.5815915465354919,0.23922978341579437,0.22105172276496887,0.4660128653049469,0.20092643797397614,0.15003585815429688,0.2074798345565796
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21652963757514954,0.20657896995544434,0.2192283272743225,0.4464869201183319,0.25952762365341187,0.3604377806186676,0.48816442489624023,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.21435415744781494,0.18775367736816406,0.3305104374885559,0.4739971458911896,0.2339317500591278,0.3624623417854309,0.48381632566452026,0.22068053483963013
food,0.23540689051151276,0.20563258230686188,0.3025728166103363,0.20071780681610107,0.3125562369823456,0.26172977685928345,0.3431052565574646,0.271650493144989,0.17334704101085663,0.22014351189136505,0.15376032888889313
poisoning,0.24842742085456848,0.18555288016796112,0.20804230868816376,0.2175121009349823,0.3733489513397217,0.2841814160346985,0.21466106176376343,0.4084175229072571,0.24588795006275177,0.20487283170223236,0.1484118103981018
bacterium,0.16779913008213043,0.19884376227855682,0.17066331207752228,0.5860444903373718,0.5659392476081848,0.178469717502594,0.14890243113040924,0.4800962209701538,0.21508681774139404,0.18557009100914001,0.15626735985279083
salmonella,0.1998356282711029,0.2290792614221573,0.28165924549102783,0.44164589047431946,0.5575829744338989,0.2559831440448761,0.21183833479881287,0.5055896639823914,0.1903214007616043,0.25398075580596924,0.15411792695522308
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.23479881882667542,0.21324129402637482,0.29945531487464905,0.5064792633056641,0.21336786448955536,0.3468935489654541,0.49487000703811646,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,1.0,0.21435415744781494,0.18775367736816406,0.3305104374885559,0.4739971458911896,0.2339317500591278,0.3624623417854309,0.48381632566452026,0.22068053483963013
eukaryotic,0.22978590428829193,0.19955050945281982,0.21435415744781494,1.0,0.49150723218917847,0.23659896850585938,0.2278643250465393,0.3454492688179016,0.24993285536766052,0.2548963725566864,0.1899385005235672
parasites,0.14318375289440155,0.15738041698932648,0.18347518146038055,0.5401807427406311,0.9273231625556946,0.23618094623088837,0.21719686686992645,0.5614442229270935,0.1854555755853653,0.2248806357383728,0.19514422118663788
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.27855080366134644,0.21171920001506805,0.3398503065109253,0.4137635827064514,0.25194063782691956,0.20813259482383728,0.4735107421875,0.32716336846351624
cause,0.24883218109607697,0.218277707695961,0.2551237642765045,0.2346082627773285,0.3546229302883148,0.30413275957107544,0.255321204662323,0.3397424519062042,0.17415671050548553,0.22159208357334137,0.240532785654068
malaria,0.22301892936229706,0.19805718958377838,0.2339317500591278,0.3454492688179016,0.5632867813110352,0.13904926180839539,0.26200011372566223,1.0,0.22480279207229614,0.20545774698257446,0.2527943551540375
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.18827217817306519,0.16076160967350006,0.1511021852493286,0.3357032239437103,0.17539799213409424,0.2843264043331146,0.32029855251312256,0.40561532974243164
plasmodium,0.16936452686786652,0.2554321587085724,0.2353251576423645,0.52706378698349,0.6309689879417419,0.22414395213127136,0.21146421134471893,0.6431409120559692,0.23073618113994598,0.1762191653251648,0.18686768412590027
