,how,many,phases,was,the,metro,opened,in,between,1980,and,1984,?
it,0.36714982986450195,0.39615920186042786,0.25639453530311584,0.4577186405658722,0.6251175999641418,0.21758104860782623,0.3010956048965454,0.5130809545516968,0.311247855424881,0.044329479336738586,0.40957894921302795,-0.008501476608216763,0.25732165575027466
was,0.16678167879581451,0.260356068611145,0.19506077468395233,1.0000001192092896,0.48711544275283813,0.20401166379451752,0.31916534900665283,0.45514053106307983,0.24048170447349548,-0.1616545468568802,0.3740963041782379,0.06351601332426071,0.18412111699581146
opened,0.12807206809520721,0.17347609996795654,0.16630788147449493,0.31916534900665283,0.28544309735298157,0.2779727280139923,1.0,0.2972770035266876,0.20216943323612213,0.024654537439346313,0.22545495629310608,0.060453541576862335,0.1934700310230255
in,0.2601168751716614,0.41474202275276184,0.25332507491111755,0.45514053106307983,0.6662389636039734,0.22130531072616577,0.2972770035266876,1.0,0.41100412607192993,-0.03510594367980957,0.4954058527946472,0.006334475241601467,0.20430970191955566
five,0.20553050935268402,0.41084155440330505,0.27823585271835327,0.310379296541214,0.41977158188819885,0.17429663240909576,0.16565382480621338,0.3634254038333893,0.28508028388023376,0.048652179539203644,0.33081334829330444,0.027940813452005386,0.18342848122119904
phases,0.3220127522945404,0.270582914352417,1.0000001192092896,0.19506077468395233,0.3307623267173767,0.18810780346393585,0.16630788147449493,0.25332507491111755,0.3311842978000641,0.11693960428237915,0.2951827645301819,-0.12278223782777786,0.13561929762363434
between,0.2747800648212433,0.29423660039901733,0.3311842978000641,0.24048170447349548,0.39067012071609497,0.12567082047462463,0.20216943323612213,0.41100412607192993,0.9999999403953552,0.09496532380580902,0.40645647048950195,0.008771602064371109,0.12887074053287506
1980,0.03929821401834488,0.010592021048069,0.11693960428237915,-0.1616545468568802,0.020048053935170174,-0.0013988163555040956,0.024654537439346313,-0.03510594367980957,0.09496532380580902,1.0000001192092896,0.011456938460469246,0.30343034863471985,0.033455219119787216
and,0.33647966384887695,0.5296266674995422,0.2951827645301819,0.3740963041782379,0.5171257257461548,0.20572388172149658,0.22545495629310608,0.4954058527946472,0.40645647048950195,0.011456938460469246,1.0,0.01118233148008585,0.20544172823429108
1984,-0.13373258709907532,-0.045313511043787,-0.12278223782777786,0.06351601332426071,-0.007670710328966379,0.06856529414653778,0.060453541576862335,0.006334475241601467,0.008771602064371109,0.30343034863471985,0.01118233148008585,1.0,0.07765956968069077
",",0.22659391164779663,0.40610817074775696,0.1794710010290146,0.45456063747406006,0.4933079481124878,0.23480990529060364,0.24598844349384308,0.5201468467712402,0.27714940905570984,-0.002026396105065942,0.6633074283599854,0.1623975932598114,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.2951827645301819,0.3740963041782379,0.5171257257461548,0.20572388172149658,0.22545495629310608,0.4954058527946472,0.40645647048950195,0.011456938460469246,1.0,0.01118233148008585,0.20544172823429108
was,0.16678167879581451,0.260356068611145,0.19506077468395233,1.0000001192092896,0.48711544275283813,0.20401166379451752,0.31916534900665283,0.45514053106307983,0.24048170447349548,-0.1616545468568802,0.3740963041782379,0.06351601332426071,0.18412111699581146
britain,0.21808192133903503,0.31913602352142334,0.1749691218137741,0.27792006731033325,0.29784059524536133,0.22403612732887268,0.16614946722984314,0.26246872544288635,0.23831592500209808,0.09818493574857712,0.3187123239040375,0.14599908888339996,0.1268460750579834
's,-0.026164190843701363,0.01698932610452175,0.029749572277069092,0.008974763564765453,-0.01540423184633255,0.0579783171415329,-0.006441329140216112,-0.037580832839012146,0.006096371449530125,0.08458440005779266,0.06895173341035843,0.06487888097763062,-0.023395681753754616
first,0.27731001377105713,0.2931244373321533,0.27776461839675903,0.5022147297859192,0.49448907375335693,0.18287643790245056,0.2630454897880554,0.4127444326877594,0.2911831736564636,-0.021088475361466408,0.3167642652988434,0.030499061569571495,0.18701928853988647
