,how,were,the,mongol,garrison,families,earning,money,?
the,0.33890387415885925,0.3906462490558624,1.0,0.2924198508262634,0.251071572303772,0.26391902565956116,0.29019618034362793,0.2699695825576782,0.22068053483963013
average,0.2824462950229645,0.17036251723766327,0.27058175206184387,0.10757558047771454,0.038014642894268036,0.2241257280111313,0.3035111725330353,0.21623267233371735,0.21764592826366425
mongol,0.11711648851633072,0.21221880614757538,0.2924198508262634,1.0000001192092896,0.33763477206230164,0.14972557127475739,0.17294232547283173,0.20863653719425201,0.12849251925945282
garrison,0.07152768969535828,0.24260924756526947,0.251071572303772,0.33763477206230164,1.0,0.15639977157115936,0.10061219334602356,0.199882373213768,0.1271563321352005
family,0.19348680973052979,0.19354695081710815,0.2394849956035614,0.15453436970710754,0.11977005749940872,0.6758413910865784,0.15126794576644897,0.2674424648284912,0.15222905576229095
of,0.2480744868516922,0.34038281440734863,0.733189046382904,0.22712039947509766,0.17924772202968597,0.2529911398887634,0.2474178522825241,0.23114095628261566,0.1826142966747284
the,0.33890387415885925,0.3906462490558624,1.0,0.2924198508262634,0.251071572303772,0.26391902565956116,0.29019618034362793,0.2699695825576782,0.22068053483963013
yuan,0.19823622703552246,0.19657303392887115,0.2548272907733917,0.5039428472518921,0.19331981241703033,0.13725830614566803,0.22222967445850372,0.2605736255645752,0.12871281802654266
dynasty,0.20248688757419586,0.195143923163414,0.26267939805984497,0.5123041272163391,0.27019497752189636,0.2021574079990387,0.15764786303043365,0.17015889286994934,0.15884074568748474
seems,0.3843667805194855,0.15473484992980957,0.29218462109565735,0.1675289273262024,0.17550784349441528,0.1688125729560852,0.13121144473552704,0.18972960114479065,0.43843233585357666
to,0.44169697165489197,0.31913647055625916,0.535392165184021,0.2125127911567688,0.21971097588539124,0.23536086082458496,0.21145428717136383,0.3124290704727173,0.29463258385658264
have,0.4370637536048889,0.5193349123001099,0.40389683842658997,0.21585817635059357,0.09662828594446182,0.29489269852638245,0.18268544971942902,0.26669734716415405,0.32991164922714233
lived,0.1416093111038208,0.34083670377731323,0.2897515296936035,0.17493192851543427,0.21574026346206665,0.2841312289237976,0.10134545713663101,0.16422075033187866,0.1798510104417801
a,0.29312583804130554,0.17203083634376526,0.5829201340675354,0.15921570360660553,0.16039404273033142,0.2146027833223343,0.2576780915260315,0.2777978479862213,0.23916715383529663
life,0.24822278320789337,0.1938122808933258,0.23528170585632324,0.10225646197795868,0.13162042200565338,0.26727768778800964,0.2528666853904724,0.238373801112175,0.21677987277507782
of,0.2480744868516922,0.34038281440734863,0.733189046382904,0.22712039947509766,0.17924772202968597,0.2529911398887634,0.2474178522825241,0.23114095628261566,0.1826142966747284
decaying,0.24270237982273102,0.24237842857837677,0.29364562034606934,0.10077884793281555,0.12384478747844696,0.2259541153907776,0.16432227194309235,0.23197448253631592,0.18448179960250854
rural,0.14898420870304108,0.18318510055541992,0.18905460834503174,0.1386515200138092,0.2117893099784851,0.23662428557872772,0.17774739861488342,0.1957145482301712,0.11320571601390839
leisure,0.18291354179382324,0.16021735966205597,0.21807710826396942,0.053037773817777634,0.10422038286924362,0.207972452044487,0.26993077993392944,0.2956373691558838,0.1190187856554985
",",0.22659391164779663,0.36755475401878357,0.4933079481124878,0.2229510098695755,0.25367769598960876,0.2466374635696411,0.2609005570411682,0.24156853556632996,0.31091248989105225
with,0.3525622487068176,0.3179011940956116,0.4223487675189972,0.1917596012353897,0.15508119761943817,0.2121099829673767,0.26989346742630005,0.2095198929309845,0.2433311939239502
income,0.24416807293891907,0.20246681571006775,0.23699946701526642,0.14619383215904236,0.16054637730121613,0.36973726749420166,0.4228678345680237,0.4695529341697693,0.14935168623924255
from,0.22939439117908478,0.29991888999938965,0.40150508284568787,0.2123146951198578,0.19118015468120575,0.1680830866098404,0.2025626301765442,0.24181504547595978,0.19969791173934937
the,0.33890387415885925,0.3906462490558624,1.0,0.2924198508262634,0.251071572303772,0.26391902565956116,0.29019618034362793,0.2699695825576782,0.22068053483963013
harvests,0.23759295046329498,0.26509401202201843,0.274941623210907,0.14887820184230804,0.12777090072631836,0.2878008186817169,0.20097403228282928,0.25877127051353455,0.18003247678279877
of,0.2480744868516922,0.34038281440734863,0.733189046382904,0.22712039947509766,0.17924772202968597,0.2529911398887634,0.2474178522825241,0.23114095628261566,0.1826142966747284
