,what,is,the,low,end,of,the,temperature,range,in,summer,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.21458278596401215,0.28539085388183594,0.5696388483047485,0.6662389636039734,0.269207626581192,0.2084861844778061,1.0,0.31081318855285645,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.2544175982475281,0.39658910036087036,0.733189046382904,1.0,0.27585095167160034,0.2311336100101471,0.6662389636039734,0.2685571610927582,0.22068053483963013
summers,0.16697873175144196,0.26448455452919006,0.23460958898067474,0.23922039568424225,0.1657795011997223,0.2109280824661255,0.23460958898067474,0.35848233103752136,0.13640521466732025,0.24247559905052185,0.6392847299575806,0.1530487835407257
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.25131091475486755,0.25448864698410034,0.4946078956127167,0.4933079481124878,0.2439086139202118,0.2808356285095215,0.5201468467712402,0.269391804933548,0.31091248989105225
temperature,0.26338207721710205,0.2979726195335388,0.27585095167160034,0.3774601221084595,0.1970648467540741,0.21649840474128723,0.27585095167160034,1.0000001192092896,0.28628867864608765,0.269207626581192,0.2718096077442169,0.2011885941028595
ranges,0.20017047226428986,0.26551249623298645,0.2618407607078552,0.2136656492948532,0.19236735999584198,0.25018027424812317,0.2618407607078552,0.3037571609020233,0.7761017680168152,0.19038642942905426,0.11261031776666641,0.10840721428394318
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.23422758281230927,0.18067817389965057,0.39081433415412903,0.40399202704429626,0.2518121302127838,0.31786245107650757,0.3841303884983063,0.15601176023483276,0.24591213464736938
90-60,-0.04768076911568642,0.20091785490512848,0.12734699249267578,0.018568338826298714,0.04934655874967575,0.12232907861471176,0.12734699249267578,0.11339028179645538,0.07203409075737,0.2403126060962677,0.19184578955173492,0.09138769656419754
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.08605270087718964,0.030466308817267418,-0.03817026689648628,-0.01540423184633255,0.029818275943398476,-0.008888337761163712,-0.037580832839012146,-0.004993056878447533,-0.023395681753754616
while,0.35511791706085205,0.2713196575641632,0.39804592728614807,0.23218342661857605,0.22818423807621002,0.3366928696632385,0.39804592728614807,0.13355524837970734,0.1806631237268448,0.3399278521537781,0.22064636647701263,0.21076419949531555
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.22321817278862,0.23417671024799347,0.3886612355709076,0.48381632566452026,0.16889309883117676,0.22109805047512054,0.3887844979763031,0.1789223700761795,0.27043893933296204
winters,0.14106787741184235,0.2521657645702362,0.24098941683769226,0.2592927813529968,0.1635175198316574,0.19831275939941406,0.24098941683769226,0.4066072702407837,0.1617426723241806,0.27563002705574036,0.6151092052459717,0.17052674293518066
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.23422758281230927,0.18067817389965057,0.39081433415412903,0.40399202704429626,0.2518121302127838,0.31786245107650757,0.3841303884983063,0.15601176023483276,0.24591213464736938
70-50,0.1851179152727127,0.1327923834323883,0.12240254133939743,0.09609243273735046,0.06507676839828491,0.14007456600666046,0.12240254133939743,0.09881025552749634,0.1403757631778717,0.1042218878865242,0.0695544108748436,0.1635938286781311
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.08605270087718964,0.030466308817267418,-0.03817026689648628,-0.01540423184633255,0.029818275943398476,-0.008888337761163712,-0.037580832839012146,-0.004993056878447533,-0.023395681753754616
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.25131091475486755,0.25448864698410034,0.4946078956127167,0.4933079481124878,0.2439086139202118,0.2808356285095215,0.5201468467712402,0.269391804933548,0.31091248989105225
usually,0.32521089911460876,0.4230746626853943,0.36782920360565186,0.30861696600914,0.2075396031141281,0.33931583166122437,0.36782920360565186,0.2818778157234192,0.25176918506622314,0.28848564624786377,0.1845063716173172,0.19435347616672516
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.2480742484331131,0.31533852219581604,0.42798417806625366,0.4860881567001343,0.2060769945383072,0.26612791419029236,0.3335905969142914,0.2125106304883957,0.29575422406196594
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.27171993255615234,0.2215006798505783,1.0,0.733189046382904,0.21649840474128723,0.234999418258667,0.5696388483047485,0.2329561412334442,0.1826142966747284
southern,0.18679563701152802,0.2419366091489792,0.3282862603664398,0.18287603557109833,0.15436379611492157,0.31933003664016724,0.3282862603664398,0.17683392763137817,0.21163228154182434,0.3190481662750244,0.24161557853221893,0.11225555837154388
california,0.1811584085226059,0.20727038383483887,0.2750805914402008,0.17144781351089478,0.1481773555278778,0.24929828941822052,0.2750805914402008,0.17742691934108734,0.22007867693901062,0.2772824168205261,0.21805952489376068,0.1409905105829239
have,0.39808809757232666,0.3613572418689728,0.40389683842658997,0.2958303987979889,0.24015727639198303,0.3802283704280853,0.40389683842658997,0.22338318824768066,0.2598983347415924,0.36843645572662354,0.23493139445781708,0.32991164922714233
mediterranean,0.18149876594543457,0.20570845901966095,0.33625227212905884,0.19938048720359802,0.20535102486610413,0.272215873003006,0.33625227212905884,0.2854762375354767,0.22364382445812225,0.23178455233573914,0.3478460907936096,0.15430885553359985
climate,0.2854173183441162,0.26601269841194153,0.2693597674369812,0.2671022117137909,0.14828702807426453,0.25840428471565247,0.2693597674369812,0.509895384311676,0.21665093302726746,0.24209141731262207,0.3477296531200409,0.19998492300510406
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2639716863632202,0.26526886224746704,0.5352458953857422,0.5934505462646484,0.2795942425727844,0.25816646218299866,0.5591574311256409,0.29990968108177185,0.4130953550338745
