,what,will,the,prime,minister,have,power,over,?
the,0.42745697498321533,0.3635469079017639,1.0,0.19960100948810577,0.19297581911087036,0.40389683842658997,0.2647338807582855,0.39856547117233276,0.22068053483963013
new,0.2130378633737564,0.2898024320602417,0.3845241069793701,0.15977969765663147,0.13289228081703186,0.2689777910709381,0.20792555809020996,0.24427951872348785,0.14782847464084625
office,0.12159775197505951,0.11046445369720459,0.27314993739128113,0.3137882649898529,0.3809065818786621,0.10453679412603378,0.24328158795833588,0.23785270750522614,0.16497313976287842
of,0.33290785551071167,0.2473582625389099,0.733189046382904,0.23935265839099884,0.23343199491500854,0.3802283704280853,0.25273123383522034,0.36136594414711,0.1826142966747284
the,0.42745697498321533,0.3635469079017639,1.0,0.19960100948810577,0.19297581911087036,0.40389683842658997,0.2647338807582855,0.39856547117233276,0.22068053483963013
pm,0.14240477979183197,0.21176846325397491,0.12994462251663208,0.2267986387014389,0.16409189999103546,0.14850758016109467,0.11765552312135696,0.1619291454553604,0.1601153314113617
will,0.3510494530200958,1.0,0.3635469079017639,0.15580779314041138,0.13358211517333984,0.4443284869194031,0.19713377952575684,0.27833864092826843,0.35046905279159546
have,0.39808809757232666,0.4443284869194031,0.40389683842658997,0.1710582673549652,0.1477801650762558,0.9999999403953552,0.20906804502010345,0.41283175349235535,0.32991164922714233
power,0.22216427326202393,0.19713377952575684,0.2647338807582855,0.20877327024936676,0.17766699194908142,0.20906804502010345,1.0000001192092896,0.2579299211502075,0.15304024517536163
and,0.31309178471565247,0.35983073711395264,0.5171257257461548,0.21528048813343048,0.24971023201942444,0.4711785912513733,0.27496716380119324,0.4021143913269043,0.20544172823429108
authority,0.23046736419200897,0.20064836740493774,0.2645063102245331,0.15778255462646484,0.24623222649097443,0.2106427103281021,0.3530186414718628,0.27238568663597107,0.18404170870780945
to,0.455847829580307,0.5091033577919006,0.535392165184021,0.2015804797410965,0.17637476325035095,0.4544740617275238,0.27001675963401794,0.38635820150375366,0.29463258385658264
co-ordinate,0.2828114926815033,0.30956506729125977,0.28805282711982727,0.20744527876377106,0.1919303834438324,0.3046528995037079,0.20515167713165283,0.1828930824995041,0.242258682847023
and,0.31309178471565247,0.35983073711395264,0.5171257257461548,0.21528048813343048,0.24971023201942444,0.4711785912513733,0.27496716380119324,0.4021143913269043,0.20544172823429108
supervise,0.2805338203907013,0.2843572795391083,0.21134978532791138,0.12125988304615021,0.21555495262145996,0.2576085329055786,0.08910421282052994,0.25586122274398804,0.20844393968582153
the,0.42745697498321533,0.3635469079017639,1.0,0.19960100948810577,0.19297581911087036,0.40389683842658997,0.2647338807582855,0.39856547117233276,0.22068053483963013
functions,0.22357098758220673,0.23561622202396393,0.2567043900489807,0.14086468517780304,0.131540909409523,0.3498230278491974,0.19890569150447845,0.20888502895832062,0.13745930790901184
of,0.33290785551071167,0.2473582625389099,0.733189046382904,0.23935265839099884,0.23343199491500854,0.3802283704280853,0.25273123383522034,0.36136594414711,0.1826142966747284
the,0.42745697498321533,0.3635469079017639,1.0,0.19960100948810577,0.19297581911087036,0.40389683842658997,0.2647338807582855,0.39856547117233276,0.22068053483963013
