,when,the,rhine,emerges,from,lake,constance,which,way,does,it,flow,?
the,0.5091903209686279,1.0,0.30735138058662415,0.31405022740364075,0.40150508284568787,0.24325428903102875,0.23177717626094818,0.6521818041801453,0.36217406392097473,0.35928019881248474,0.6251175999641418,0.314039409160614,0.22068053483963013
rhine,0.13750529289245605,0.30735138058662415,1.0,0.12692593038082123,0.2181936800479889,0.22246339917182922,0.33406126499176025,0.18744276463985443,0.17141522467136383,0.13532963395118713,0.17693428695201874,0.20253489911556244,0.13754533231258392
emerges,0.2831249535083771,0.31405022740364075,0.12692593038082123,1.0000001192092896,0.22451725602149963,0.21355454623699188,0.04979810118675232,0.30479860305786133,0.20320434868335724,0.21080607175827026,0.22619155049324036,0.3138720989227295,0.10154369473457336
from,0.405669629573822,0.40150508284568787,0.2181936800479889,0.22451725602149963,1.0,0.1707027703523636,0.13637632131576538,0.38755592703819275,0.2694782316684723,0.1777622550725937,0.325604110956192,0.21963053941726685,0.19969791173934937
lake,0.1681411862373352,0.24325428903102875,0.22246339917182922,0.21355454623699188,0.1707027703523636,1.0000001192092896,0.30982735753059387,0.2097730040550232,0.1635236293077469,0.10660015791654587,0.21701118350028992,0.283983439207077,0.07226386666297913
constance,0.21570254862308502,0.23177717626094818,0.33406126499176025,0.04979810118675232,0.13637632131576538,0.30982735753059387,1.0,0.12851473689079285,0.1763843595981598,0.08125069737434387,0.15667074918746948,0.2329467087984085,0.1427515298128128
",",0.36674630641937256,0.4933079481124878,0.167837992310524,0.20277588069438934,0.39760664105415344,0.2802521586418152,0.3135715425014496,0.3658004403114319,0.2861018478870392,0.28617382049560547,0.48329564929008484,0.23027558624744415,0.31091248989105225
flows,0.1873738020658493,0.32405155897140503,0.2871347963809967,0.3226756155490875,0.247153639793396,0.4263954162597656,0.25149771571159363,0.24550573527812958,0.2024494707584381,0.23165354132652283,0.30584630370140076,0.6895013451576233,0.11636040359735489
generally,0.38531962037086487,0.41466525197029114,0.15703576803207397,0.18545258045196533,0.28208622336387634,0.12112592905759811,0.10535047203302383,0.5185179114341736,0.36364659667015076,0.38465455174446106,0.43426820635795593,0.25359684228897095,0.23411904275417328
westward,0.2569642663002014,0.30838510394096375,0.2743622064590454,0.24911488592624664,0.22624392807483673,0.24026253819465637,0.19965772330760956,0.2178724706172943,0.2530781328678131,0.090976782143116,0.30359283089637756,0.31369537115097046,0.12436557561159134
",",0.36674630641937256,0.4933079481124878,0.167837992310524,0.20277588069438934,0.39760664105415344,0.2802521586418152,0.3135715425014496,0.3658004403114319,0.2861018478870392,0.28617382049560547,0.48329564929008484,0.23027558624744415,0.31091248989105225
as,0.4437963366508484,0.48381632566452026,0.18380387127399445,0.162440687417984,0.3251767158508301,0.20241601765155792,0.2623209059238434,0.41006597876548767,0.3409440517425537,0.31202155351638794,0.4461488723754883,0.16389882564544678,0.27043893933296204
the,0.5091903209686279,1.0,0.30735138058662415,0.31405022740364075,0.40150508284568787,0.24325428903102875,0.23177717626094818,0.6521818041801453,0.36217406392097473,0.35928019881248474,0.6251175999641418,0.314039409160614,0.22068053483963013
hochrhein,0.16701146960258484,0.31283074617385864,0.5604863166809082,0.11226069927215576,0.16726303100585938,0.31361785531044006,0.400712788105011,0.2852432429790497,0.20450586080551147,0.1991036832332611,0.2456342875957489,0.2152976542711258,0.23659135401248932
