,in,what,types,of,organisms,did,the,adaptive,immune,system,first,evolve,?
the,0.6662389636039734,0.42745697498321533,0.23509301245212555,0.733189046382904,0.22463196516036987,0.34736719727516174,1.0,0.25968632102012634,0.21364226937294006,0.3233085572719574,0.49448907375335693,0.2571829855442047,0.22068053483963013
adaptive,0.22990182042121887,0.22806508839130402,0.24636167287826538,0.18422213196754456,0.4542718529701233,0.16779272258281708,0.25968632102012634,1.0000001192092896,0.4945787191390991,0.31361085176467896,0.26671352982521057,0.4299827218055725,0.12147218734025955
immune,0.14682820439338684,0.2410416603088379,0.2538298964500427,0.16620753705501556,0.3922001123428345,0.22016388177871704,0.21364226937294006,0.4945787191390991,1.0,0.3962631821632385,0.12267449498176575,0.30611419677734375,0.16080476343631744
system,0.21978288888931274,0.23557309806346893,0.2489754855632782,0.25597915053367615,0.2424149215221405,0.1967303454875946,0.3233085572719574,0.31361085176467896,0.3962631821632385,1.0000001192092896,0.19536277651786804,0.2655165493488312,0.15556083619594574
evolved,0.2083703726530075,0.18389853835105896,0.2822837829589844,0.2530018985271454,0.46044376492500305,0.20691414177417755,0.28945574164390564,0.42779630422592163,0.30302733182907104,0.2749675512313843,0.22469934821128845,0.8124511241912842,0.1599971204996109
in,1.0,0.30808621644973755,0.18516337871551514,0.5696388483047485,0.21345661580562592,0.2593238651752472,0.6662389636039734,0.22990182042121887,0.14682820439338684,0.21978288888931274,0.4127444326877594,0.16849663853645325,0.20430970191955566
early,0.34672921895980835,0.2454567849636078,0.2393096387386322,0.30937549471855164,0.20902566611766815,0.32047218084335327,0.34442198276519775,0.2829402685165405,0.14544281363487244,0.23241575062274933,0.4007106125354767,0.3139340281486511,0.15272949635982513
vertebrates,0.2620749771595001,0.21643035113811493,0.2854319214820862,0.2946195900440216,0.5730746984481812,0.13877765834331512,0.3000766634941101,0.45574235916137695,0.44061943888664246,0.30950847268104553,0.14739561080932617,0.44729629158973694,0.19819197058677673
and,0.4954058527946472,0.31309178471565247,0.3014242649078369,0.5116966962814331,0.2444908618927002,0.34479495882987976,0.5171257257461548,0.16619820892810822,0.14400269091129303,0.231138214468956,0.3167642652988434,0.23748697340488434,0.20544172823429108
allows,0.21322472393512726,0.1957017332315445,0.29025718569755554,0.2623075544834137,0.2791377305984497,0.2811696529388428,0.2995605766773224,0.292574405670166,0.3103422224521637,0.31209179759025574,0.2322469800710678,0.2855716645717621,0.16094227135181427
