,what,does,the,wg,i,summary,for,policymakers,report,say,human,activities,are,doing,to,greenhouse,gases,?
the,0.42745697498321533,0.35928019881248474,1.0,0.15458931028842926,0.26687872409820557,0.18884122371673584,0.4739971458911896,0.28423207998275757,0.2556745111942291,0.3200206458568573,0.3103327453136444,0.2626894414424896,0.40399202704429626,0.29305580258369446,0.535392165184021,0.24104130268096924,0.25194600224494934,0.22068053483963013
executive,0.13765592873096466,0.19015201926231384,0.2402946650981903,0.2197779268026352,0.15243028104305267,0.2563498914241791,0.12237442284822464,0.356406569480896,0.21650905907154083,0.14181537926197052,0.1784929633140564,0.19734524190425873,0.12328927963972092,0.15077047049999237,0.20976532995700836,0.1625707447528839,0.09125865995883942,0.12134998291730881
summary,0.3055417239665985,0.2751876413822174,0.18884122371673584,0.31916993856430054,0.2501904368400574,1.0,0.1656910628080368,0.438309907913208,0.3882492184638977,0.28117695450782776,0.19025814533233643,0.2087024599313736,0.15400069952011108,0.25966405868530273,0.23262755572795868,0.11352917551994324,0.12772412598133087,0.35667136311531067
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.08974659442901611,0.25849398970603943,0.14881475269794464,0.4185989499092102,0.25868871808052063,0.22992923855781555,0.30290520191192627,0.3083189129829407,0.23520112037658691,0.39081433415412903,0.25269845128059387,0.41548454761505127,0.2204664796590805,0.217218816280365,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,1.0,0.15458931028842926,0.26687872409820557,0.18884122371673584,0.4739971458911896,0.28423207998275757,0.2556745111942291,0.3200206458568573,0.3103327453136444,0.2626894414424896,0.40399202704429626,0.29305580258369446,0.535392165184021,0.24104130268096924,0.25194600224494934,0.22068053483963013
wg,0.18047291040420532,0.20255500078201294,0.15458931028842926,1.0,0.25678372383117676,0.31916993856430054,0.208085298538208,0.3278309106826782,0.32964351773262024,0.1717735081911087,0.11991682648658752,0.10652665793895721,0.03920864686369896,0.16429539024829865,0.1762857288122177,0.07063431292772293,0.055017635226249695,0.3537094295024872
i,0.4411132335662842,0.2994098961353302,0.26687872409820557,0.25678372383117676,0.9999999403953552,0.2501904368400574,0.257647842168808,0.3111335337162018,0.21879704296588898,0.4448245167732239,0.16192224621772766,0.12427069246768951,0.21339178085327148,0.4379684031009674,0.3140375316143036,0.13931933045387268,0.17129357159137726,0.4695145785808563
summary,0.3055417239665985,0.2751876413822174,0.18884122371673584,0.31916993856430054,0.2501904368400574,1.0,0.1656910628080368,0.438309907913208,0.3882492184638977,0.28117695450782776,0.19025814533233643,0.2087024599313736,0.15400069952011108,0.25966405868530273,0.23262755572795868,0.11352917551994324,0.12772412598133087,0.35667136311531067
for,0.3017193675041199,0.35159170627593994,0.4739971458911896,0.208085298538208,0.257647842168808,0.1656910628080368,0.9999999403953552,0.3394396901130676,0.2216007560491562,0.2911834120750427,0.2089424729347229,0.34456658363342285,0.3895993232727051,0.38482627272605896,0.4451248347759247,0.21598491072654724,0.21186786890029907,0.264628142118454
policymakers,0.3889789879322052,0.29219311475753784,0.28423207998275757,0.3278309106826782,0.3111335337162018,0.438309907913208,0.3394396901130676,1.0,0.45479339361190796,0.34509676694869995,0.24162524938583374,0.399568110704422,0.2663073241710663,0.3751656711101532,0.3457461893558502,0.2989479601383209,0.2386871725320816,0.32786715030670166
