,along,with,mills,and,mines,",",in,what,industrial,locations,did,steam,drive,machines,?
steam,0.22119560837745667,0.21801024675369263,0.34476423263549805,0.24133789539337158,0.2542871832847595,0.2264556586742401,0.19852672517299652,0.15672586858272552,0.31459638476371765,0.14848703145980835,0.19902050495147705,1.0000001192092896,0.33172407746315,0.4200895428657532,0.113324373960495
engines,0.10451225191354752,0.21779674291610718,0.22531642019748688,0.21148960292339325,0.27977606654167175,0.20245449244976044,0.18084456026554108,0.1634974628686905,0.3049415349960327,0.21281543374061584,0.20473016798496246,0.4903687536716461,0.3353032171726227,0.3918200731277466,0.18940703570842743
can,0.17559465765953064,0.3572797477245331,0.1748655140399933,0.3675691485404968,0.20932060480117798,0.3139454126358032,0.26527702808380127,0.34502777457237244,0.1515394002199173,0.2908288538455963,0.32383522391319275,0.20162075757980347,0.23474064469337463,0.378614604473114,0.3226337134838104
be,0.21169698238372803,0.36101722717285156,0.19463135302066803,0.41766801476478577,0.1414298266172409,0.39254459738731384,0.3481820821762085,0.3929833769798279,0.15788275003433228,0.2794824540615082,0.22657383978366852,0.22586002945899963,0.23604391515254974,0.32421979308128357,0.3324260413646698
said,0.23959052562713623,0.28060880303382874,0.08982016146183014,0.2940692901611328,0.10439520329236984,0.34496036171913147,0.23461468517780304,0.3951668441295624,0.10973799228668213,0.08855462074279785,0.5119821429252625,0.1818692535161972,0.10316618531942368,0.1803494393825531,0.28991883993148804
to,0.2976071536540985,0.4239959120750427,0.18819287419319153,0.48971283435821533,0.21737906336784363,0.44245919585227966,0.45010748505592346,0.455847829580307,0.23145946860313416,0.29775765538215637,0.4452643394470215,0.22894427180290222,0.291306734085083,0.2695792019367218,0.29463258385658264
have,0.2685122489929199,0.48046383261680603,0.1919964849948883,0.4711785912513733,0.1798422634601593,0.3541618287563324,0.36843645572662354,0.39808809757232666,0.16391263902187347,0.2670346796512604,0.3783526122570038,0.15978071093559265,0.22011132538318634,0.24137671291828156,0.32991164922714233
been,0.235473170876503,0.2804456949234009,0.20041897892951965,0.3424558639526367,0.22712072730064392,0.34873589873313904,0.3515113592147827,0.2567804455757141,0.15432368218898773,0.24116256833076477,0.2835664749145508,0.175981804728508,0.19064398109912872,0.2134949415922165,0.24354910850524902
the,0.39495137333869934,0.4223487675189972,0.19292980432510376,0.5171257257461548,0.23820319771766663,0.4933079481124878,0.6662389636039734,0.42745697498321533,0.30435431003570557,0.3575807511806488,0.34736719727516174,0.23105813562870026,0.2083187699317932,0.22618883848190308,0.22068053483963013
moving,0.3025561273097992,0.24742330610752106,0.19389007985591888,0.30970147252082825,0.13513390719890594,0.28020262718200684,0.2693832814693451,0.3154623508453369,0.14958199858665466,0.2723384201526642,0.22342470288276672,0.2609701454639435,0.312838613986969,0.2882991135120392,0.21667467057704926
force,0.1683117151260376,0.15703244507312775,0.16012078523635864,0.24372100830078125,0.18773426115512848,0.22091743350028992,0.21744468808174133,0.16915984451770782,0.17223505675792694,0.19605687260627747,0.1680130809545517,0.19658277928829193,0.16622959077358246,0.15803414583206177,0.1650998443365097
behind,0.30130502581596375,0.3182232677936554,0.14480625092983246,0.3094099164009094,0.13225699961185455,0.27367478609085083,0.3174246549606323,0.1959938108921051,0.1470068395137787,0.18630531430244446,0.216286301612854,0.16184890270233154,0.20853261649608612,0.1762896031141281,0.19274599850177765
the,0.39495137333869934,0.4223487675189972,0.19292980432510376,0.5171257257461548,0.23820319771766663,0.4933079481124878,0.6662389636039734,0.42745697498321533,0.30435431003570557,0.3575807511806488,0.34736719727516174,0.23105813562870026,0.2083187699317932,0.22618883848190308,0.22068053483963013
industrial,0.1981627345085144,0.21039023995399475,0.37924161553382874,0.3274568021297455,0.39654064178466797,0.28774935007095337,0.3118434548377991,0.16054853796958923,1.0,0.1846235990524292,0.10647612810134888,0.31459638476371765,0.16127149760723114,0.3681654930114746,0.08039500564336777
revolution,0.13894911110401154,0.17262804508209229,0.21808883547782898,0.21575188636779785,0.2212338000535965,0.26235419511795044,0.23010264337062836,0.1946869045495987,0.3976142108440399,0.06120177358388901,0.21807503700256348,0.22190643846988678,0.10793840140104294,0.22894605994224548,0.1727980077266693
