,how,many,successors,of,kublai,was,toghun,the,last,of,?
after,0.23871733248233795,0.2586410939693451,0.21975645422935486,0.3867455720901489,0.31932923197746277,0.49306565523147583,0.16416199505329132,0.4565047025680542,0.38612499833106995,0.3867455720901489,0.16608688235282898
the,0.33890387415885925,0.4335206151008606,0.20207785069942474,0.733189046382904,0.32886171340942383,0.48711544275283813,0.270424485206604,1.0,0.3698786795139313,0.733189046382904,0.22068053483963013
death,0.19782234728336334,0.16836200654506683,0.26439183950424194,0.23778599500656128,0.226277694106102,0.28516459465026855,0.1552698165178299,0.21438048779964447,0.28327223658561707,0.23778599500656128,0.21149799227714539
of,0.2480744868516922,0.37253960967063904,0.19462554156780243,1.0,0.231930211186409,0.4069072902202606,0.2873504161834717,0.733189046382904,0.3052992522716522,1.0,0.1826142966747284
tugh,0.2374228686094284,0.2366783767938614,0.2497398853302002,0.2661905288696289,0.3310297429561615,0.2578143775463104,0.4406002163887024,0.2538721263408661,0.19102145731449127,0.2661905288696289,0.2607990801334381
temür,0.24690347909927368,0.22456616163253784,0.18892109394073486,0.31823858618736267,0.4129662811756134,0.3291587233543396,0.39955708384513855,0.3494127094745636,0.2414107471704483,0.31823858618736267,0.17946790158748627
in,0.2601168751716614,0.41474202275276184,0.18772046267986298,0.5696388483047485,0.2070179283618927,0.45514053106307983,0.2642333507537842,0.6662389636039734,0.30714505910873413,0.5696388483047485,0.20430970191955566
1332,0.13486716151237488,0.12548576295375824,0.18103906512260437,0.17244639992713928,0.2855830192565918,0.21476563811302185,0.05165191739797592,0.2557274401187897,0.2472618818283081,0.17244639992713928,0.11227733641862869
and,0.33647966384887695,0.5296266674995422,0.19702008366584778,0.5116966962814331,0.25078991055488586,0.3740963041782379,0.22120755910873413,0.5171257257461548,0.25967320799827576,0.5116966962814331,0.20544172823429108
subsequent,0.2477182298898697,0.1944819688796997,0.15170368552207947,0.1740972250699997,0.2606465816497803,0.20916680991649628,0.21060416102409363,0.2562725245952606,0.14572173357009888,0.1740972250699997,0.13111010193824768
death,0.19782234728336334,0.16836200654506683,0.26439183950424194,0.23778599500656128,0.226277694106102,0.28516459465026855,0.1552698165178299,0.21438048779964447,0.28327223658561707,0.23778599500656128,0.21149799227714539
of,0.2480744868516922,0.37253960967063904,0.19462554156780243,1.0,0.231930211186409,0.4069072902202606,0.2873504161834717,0.733189046382904,0.3052992522716522,1.0,0.1826142966747284
rinchinbal,0.2818441689014435,0.24962182343006134,0.29750365018844604,0.2821158766746521,0.3989696800708771,0.24017401039600372,0.41516369581222534,0.23897552490234375,0.2024347484111786,0.2821158766746521,0.29905715584754944
(,0.1676948219537735,0.1455259770154953,0.08689162135124207,0.35032153129577637,0.18629640340805054,0.2980341613292694,0.23982663452625275,0.33289089798927307,0.290768563747406,0.35032153129577637,0.40561532974243164
emperor,0.1337691843509674,0.14269791543483734,0.22217756509780884,0.2615426778793335,0.4727574288845062,0.2147601991891861,0.30412057042121887,0.2871226370334625,0.25426870584487915,0.2615426778793335,0.19661661982536316
ningzong,0.18233290314674377,0.22122043371200562,0.26410916447639465,0.31806841492652893,0.5684146881103516,0.303575724363327,0.5821026563644409,0.32899293303489685,0.26924043893814087,0.31806841492652893,0.2255663275718689
),0.17939934134483337,0.16602720320224762,0.07400432974100113,0.3680361211299896,0.21268317103385925,0.3267642855644226,0.24103815853595734,0.3456730246543884,0.30915912985801697,0.3680361211299896,0.42300865054130554
the,0.33890387415885925,0.4335206151008606,0.20207785069942474,0.733189046382904,0.32886171340942383,0.48711544275283813,0.270424485206604,1.0,0.3698786795139313,0.733189046382904,0.22068053483963013
same,0.28913575410842896,0.3821374177932739,0.19566042721271515,0.3808329105377197,0.17385748028755188,0.27172183990478516,0.18556079268455505,0.4583131968975067,0.27277278900146484,0.3808329105377197,0.22649677097797394
