,under,normal,conditions,",",t,cells,and,antibodies,produce,what,kind,of,peptides,?
under,0.9999999403953552,0.14075390994548798,0.3370656967163086,0.24875585734844208,0.16758625209331512,0.12510432302951813,0.3005301356315613,0.13579092919826508,0.12855109572410583,0.20154598355293274,0.09037460386753082,0.32766106724739075,0.17205356061458588,0.18233340978622437
normal,0.14075390994548798,0.9999999403953552,0.32656168937683105,0.25911128520965576,0.26149001717567444,0.3492223918437958,0.3120298683643341,0.24792976677417755,0.29648062586784363,0.32813265919685364,0.360343873500824,0.2300747036933899,0.2185029685497284,0.19617988169193268
circumstances,0.34473350644111633,0.30703380703926086,0.4415976405143738,0.24038511514663696,0.2234792858362198,0.23354752361774445,0.2569654881954193,0.28322628140449524,0.18837547302246094,0.3794362545013428,0.26966962218284607,0.24628110229969025,0.2564283311367035,0.25984445214271545
",",0.24875585734844208,0.25911128520965576,0.17239321768283844,1.0000001192092896,0.31002363562583923,0.20582014322280884,0.6633074283599854,0.16660167276859283,0.19927625358104706,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.20355398952960968,0.31091248989105225
many,0.21268652379512787,0.31589123606681824,0.3021313548088074,0.40610817074775696,0.24967147409915924,0.2433140128850937,0.5296266674995422,0.24955233931541443,0.28314530849456787,0.36131182312965393,0.3219348192214966,0.37253960967063904,0.2607642710208893,0.2124512493610382
t,0.16758625209331512,0.26149001717567444,0.18722747266292572,0.31002363562583923,0.9999999403953552,0.25527921319007874,0.25205641984939575,0.2528749704360962,0.22578568756580353,0.37454068660736084,0.24463781714439392,0.14617829024791718,0.20006687939167023,0.4954066574573517
cells,0.12510432302951813,0.3492223918437958,0.2701455354690552,0.20582014322280884,0.25527921319007874,1.0,0.24033623933792114,0.5935070514678955,0.38649609684944153,0.1758001297712326,0.24291619658470154,0.21305565536022186,0.5672042369842529,0.1898086667060852
and,0.3005301356315613,0.3120298683643341,0.252461701631546,0.6633074283599854,0.25205641984939575,0.24033623933792114,1.0,0.22919999063014984,0.2701570689678192,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.2519870698451996,0.20544172823429108
antibodies,0.13579092919826508,0.24792976677417755,0.2637771666049957,0.16660167276859283,0.2528749704360962,0.5935070514678955,0.22919999063014984,1.0000001192092896,0.4169938862323761,0.2190079689025879,0.22331783175468445,0.24495436251163483,0.655860960483551,0.2315049171447754
react,0.0998338833451271,0.27869275212287903,0.2627792954444885,0.18221674859523773,0.24000708758831024,0.3283446133136749,0.24750031530857086,0.40025439858436584,0.34524068236351013,0.3432673215866089,0.24414534866809845,0.13058997690677643,0.38542890548706055,0.22840015590190887
with,0.2667143940925598,0.3020731210708618,0.2560398578643799,0.4120737314224243,0.1978532373905182,0.2187740057706833,0.5477725267410278,0.21223419904708862,0.3382980525493622,0.2464839518070221,0.2680599093437195,0.41827285289764404,0.2577117383480072,0.2433311939239502
``,-0.001388426753692329,0.08614228665828705,0.051184263080358505,0.09681109338998795,0.07243925333023071,0.1241510808467865,0.036644238978624344,0.1854790896177292,0.0022560202050954103,0.008517155423760414,-0.040448643267154694,0.06780257821083069,0.21018442511558533,0.0685480609536171
self,0.11224029958248138,0.17799527943134308,0.14855803549289703,0.15860484540462494,0.1863575279712677,0.17783845961093903,0.18197248876094818,0.22266557812690735,0.17103920876979828,0.24097146093845367,0.1726788580417633,0.16502705216407776,0.2342708706855774,0.13157562911510468
'',0.07581566274166107,-0.04049557074904442,-0.01879417710006237,-0.037358131259679794,0.10404617339372635,-0.04999896138906479,0.021612688899040222,-0.02337583154439926,0.028994271531701088,0.08143015950918198,0.01890246570110321,0.13035868108272552,-0.044173166155815125,0.018684765323996544
peptides,0.17205356061458588,0.2185029685497284,0.31317880749702454,0.20355398952960968,0.20006687939167023,0.5672042369842529,0.2519870698451996,0.655860960483551,0.41588902473449707,0.18130765855312347,0.2322119027376175,0.23201556503772736,1.0,0.12387491762638092
.,0.2901604175567627,0.2961207330226898,0.17719176411628723,0.6812511086463928,0.3410096764564514,0.2868211269378662,0.588965117931366,0.24115599691867828,0.2587496340274811,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.22694501280784607,0.4130953550338745
