,when,have,humans,started,impacting,the,delta,?
since,0.42774689197540283,0.47784632444381714,0.2360180914402008,0.3278532326221466,0.299067884683609,0.4054957628250122,0.19836899638175964,0.2876587212085724
~3000,0.05328710749745369,-0.027474842965602875,-0.07192043960094452,-0.010859237983822823,-0.06516646593809128,0.12430446594953537,-0.05238255113363266,0.05122622847557068
yr,0.19114133715629578,0.20413373410701752,0.21426819264888763,0.14051216840744019,0.11917002499103546,0.09380238503217697,0.12035971879959106,0.36382460594177246
bp,0.06523815542459488,0.1734190434217453,0.2011515349149704,0.12315111607313156,0.2629733383655548,0.11876378208398819,0.20531661808490753,0.14202015101909637
(,0.2459595799446106,0.23072676360607147,0.1629457026720047,0.15955166518688202,0.1828623116016388,0.33289089798927307,0.15024615824222565,0.40561532974243164
=,-0.00605643168091774,0.04754137247800827,0.00761821074411273,-0.05401957407593727,0.042502276599407196,-0.01352626271545887,-0.017829278483986855,-0.005643122363835573
years,0.3409145474433899,0.31441381573677063,0.2551265060901642,0.28413546085357666,0.22400087118148804,0.2912273406982422,0.12878762185573578,0.1914375126361847
before,0.5650408267974854,0.3593204617500305,0.2513321340084076,0.4692937731742859,0.27697858214378357,0.45900648832321167,0.1282150000333786,0.2507109045982361
present,0.20709340274333954,0.23713251948356628,0.21105745434761047,0.13669902086257935,0.17135222256183624,0.2829846143722534,0.18200616538524628,0.21759982407093048
),0.2538422644138336,0.22866283357143402,0.1322329044342041,0.19399096071720123,0.18900753557682037,0.3456730246543884,0.1587669551372528,0.42300865054130554
",",0.36674630641937256,0.3541618287563324,0.2653752565383911,0.32632124423980713,0.2813255190849304,0.4933079481124878,0.2192559540271759,0.31091248989105225
human,0.2192842811346054,0.2910007834434509,0.6982435584068298,0.07207714766263962,0.2454318255186081,0.3103327453136444,0.08095382153987885,0.19748784601688385
impact,0.1764514297246933,0.31931746006011963,0.2156771868467331,0.1702384501695633,0.7456005811691284,0.22336715459823608,0.18731658160686493,0.18429921567440033
is,0.3471449911594391,0.3613572418689728,0.24904371798038483,0.21546094119548798,0.18042153120040894,0.5823672413825989,0.22409643232822418,0.22961433231830597
seen,0.26541221141815186,0.379041463136673,0.272960364818573,0.18028895556926727,0.3476346731185913,0.3442007005214691,0.1309337019920349,0.2567344307899475
in,0.4431333839893341,0.36843645572662354,0.23748517036437988,0.3199414014816284,0.21403691172599792,0.6662389636039734,0.21061979234218597,0.20430970191955566
the,0.5091903209686279,0.40389683842658997,0.29565489292144775,0.3222070634365082,0.28581464290618896,1.0,0.22022446990013123,0.22068053483963013
delta,0.1836346685886383,0.19880861043930054,0.07959973812103271,0.1376136839389801,0.2042965441942215,0.22022446990013123,1.0000001192092896,0.14208948612213135
.,0.475719153881073,0.41614407300949097,0.2638982832431793,0.3230702877044678,0.28929707407951355,0.5934505462646484,0.20923152565956116,0.4130953550338745
