,what,does,paramylon,store,?
euglenophyte,0.24951304495334625,0.24103866517543793,0.3998781740665436,0.18312416970729828,0.194740891456604
chloroplasts,0.2524593770503998,0.22598832845687866,0.41574543714523315,0.23769770562648773,0.13049766421318054
have,0.39808809757232666,0.3709583580493927,0.278068482875824,0.22500605881214142,0.32991164922714233
a,0.3320399522781372,0.38201746344566345,0.2519453465938568,0.25129345059394836,0.23916715383529663
pyrenoid,0.27786195278167725,0.2824555039405823,0.43621182441711426,0.20918510854244232,0.2425837367773056
and,0.31309178471565247,0.3461615741252899,0.32178112864494324,0.24101662635803223,0.20544172823429108
thylakoids,0.18655724823474884,0.1946195662021637,0.4345650374889374,0.19956879317760468,0.17522360384464264
stacked,0.22121833264827728,0.14915040135383606,0.2946301996707916,0.2074640393257141,0.15377801656723022
in,0.30808621644973755,0.214483380317688,0.22101853787899017,0.3481425344944,0.20430970191955566
groups,0.23137421905994415,0.1172703430056572,0.22695870697498322,0.09261158853769302,0.14349548518657684
of,0.33290785551071167,0.3119818866252899,0.2158249318599701,0.21870145201683044,0.1826142966747284
three,0.24888746440410614,0.1872161626815796,0.21330450475215912,0.13327717781066895,0.20928427577018738
.,0.3567904531955719,0.3022993505001068,0.30143454670906067,0.2638673484325409,0.4130953550338745
