,which,border,does,the,rhine,flow,from,the,south,?
the,0.6521818041801453,0.2856229841709137,0.35928019881248474,1.0,0.30735138058662415,0.314039409160614,0.40150508284568787,1.0,0.3129390776157379,0.22068053483963013
rhine,0.18744276463985443,0.32308438420295715,0.13532963395118713,0.30735138058662415,1.0,0.20253489911556244,0.2181936800479889,0.30735138058662415,0.33047187328338623,0.13754533231258392
flows,0.24550573527812958,0.3902747631072998,0.23165354132652283,0.32405155897140503,0.2871347963809967,0.6895013451576233,0.247153639793396,0.32405155897140503,0.3285887837409973,0.11636040359735489
into,0.4405161738395691,0.19515858590602875,0.22312942147254944,0.39493247866630554,0.1991104632616043,0.26189538836479187,0.3410196900367737,0.39493247866630554,0.21210846304893494,0.15662476420402527
it,0.616637647151947,0.2761725187301636,0.34188351035118103,0.6251175999641418,0.17693428695201874,0.30727410316467285,0.325604110956192,0.6251175999641418,0.28465771675109863,0.25732165575027466
from,0.38755592703819275,0.2206592857837677,0.1777622550725937,0.40150508284568787,0.2181936800479889,0.21963053941726685,1.0,0.40150508284568787,0.308648020029068,0.19969791173934937
the,0.6521818041801453,0.2856229841709137,0.35928019881248474,1.0,0.30735138058662415,0.314039409160614,0.40150508284568787,1.0,0.3129390776157379,0.22068053483963013
south,0.24635352194309235,0.3324122130870819,0.11284814029932022,0.3129390776157379,0.33047187328338623,0.22286836802959442,0.308648020029068,0.3129390776157379,1.0000001192092896,0.12336621433496475
following,0.342348575592041,0.16051895916461945,0.22666849195957184,0.39779382944107056,0.12851348519325256,0.13751831650733948,0.2566845118999481,0.39779382944107056,0.13130585849285126,0.1555173695087433
the,0.6521818041801453,0.2856229841709137,0.35928019881248474,1.0,0.30735138058662415,0.314039409160614,0.40150508284568787,1.0,0.3129390776157379,0.22068053483963013
swiss-austrian,0.22187863290309906,0.2011278122663498,0.13754361867904663,0.2632595896720886,0.404801607131958,0.1124018207192421,0.17080242931842804,0.2632595896720886,0.12348311394453049,0.12778812646865845
border,0.2530149221420288,0.9999998807907104,0.17243514955043793,0.2856229841709137,0.32308438420295715,0.22860214114189148,0.2206592857837677,0.2856229841709137,0.3324122130870819,0.1706928312778473
.,0.45942068099975586,0.26349708437919617,0.3022993505001068,0.5934505462646484,0.2089352011680603,0.191733717918396,0.41536515951156616,0.5934505462646484,0.2798699140548706,0.4130953550338745
