,the,idea,of,acquired,immunity,in,jawed,vertebrates,is,the,basis,of,what,medical,treatment,?
this,0.6274310946464539,0.46331271529197693,0.45148900151252747,0.1792677342891693,0.27140793204307556,0.45205554366111755,0.19081047177314758,0.2989361584186554,0.480927973985672,0.6274310946464539,0.3589327335357666,0.45148900151252747,0.5489566326141357,0.22871895134449005,0.31422948837280273,0.3155723512172699
process,0.264274537563324,0.40672242641448975,0.23962904512882233,0.20711664855480194,0.2541548013687134,0.19851736724376678,0.18085148930549622,0.2546144723892212,0.21762968599796295,0.264274537563324,0.36156266927719116,0.23962904512882233,0.3466717302799225,0.10668802261352539,0.2712092995643616,0.2460896074771881
of,0.733189046382904,0.2342950403690338,1.0,0.20385384559631348,0.17778201401233673,0.5696388483047485,0.21173660457134247,0.2946195900440216,0.4854315221309662,0.733189046382904,0.282950758934021,1.0,0.33290785551071167,0.2826511859893799,0.2632577419281006,0.1826142966747284
acquired,0.22202405333518982,0.15200091898441315,0.20385384559631348,1.0,0.2292994260787964,0.20108897984027863,0.1778467744588852,0.20487245917320251,0.10823270678520203,0.22202405333518982,0.19756300747394562,0.20385384559631348,0.15010768175125122,0.2271653264760971,0.21307748556137085,0.09366346150636673
immunity,0.25992491841316223,0.24470748007297516,0.17778201401233673,0.2292994260787964,1.0000001192092896,0.16387996077537537,0.248742938041687,0.3667666018009186,0.15477107465267181,0.25992491841316223,0.19272184371948242,0.17778201401233673,0.21864116191864014,0.22579100728034973,0.35157474875450134,0.16423189640045166
is,0.5823672413825989,0.21963010728359222,0.4854315221309662,0.10823270678520203,0.15477107465267181,0.5394441485404968,0.16367657482624054,0.22236958146095276,1.0,0.5823672413825989,0.2811574637889862,0.4854315221309662,0.28837618231773376,0.22198186814785004,0.20538249611854553,0.22961433231830597
the,1.0,0.2839161455631256,0.733189046382904,0.22202405333518982,0.25992491841316223,0.6662389636039734,0.20447887480258942,0.3000766634941101,0.5823672413825989,1.0,0.2758672833442688,0.733189046382904,0.42745697498321533,0.2398311346769333,0.2350214421749115,0.22068053483963013
basis,0.2758672833442688,0.40229532122612,0.282950758934021,0.19756300747394562,0.19272184371948242,0.24894960224628448,0.21362915635108948,0.280892014503479,0.2811574637889862,0.2758672833442688,1.0000001192092896,0.282950758934021,0.27055948972702026,0.1918502300977707,0.30616679787635803,0.14255106449127197
of,0.733189046382904,0.2342950403690338,1.0,0.20385384559631348,0.17778201401233673,0.5696388483047485,0.21173660457134247,0.2946195900440216,0.4854315221309662,0.733189046382904,0.282950758934021,1.0,0.33290785551071167,0.2826511859893799,0.2632577419281006,0.1826142966747284
vaccination,0.19237637519836426,0.3420783579349518,0.1953464299440384,0.29027530550956726,0.466124564409256,0.19506871700286865,0.24776211380958557,0.35622280836105347,0.16436927020549774,0.19237637519836426,0.29527735710144043,0.1953464299440384,0.2781207263469696,0.4314500093460083,0.570618212223053,0.2296753078699112
.,0.5934505462646484,0.26084083318710327,0.5352458953857422,0.17389816045761108,0.20537415146827698,0.5591574311256409,0.2343483865261078,0.26288262009620667,0.4569662809371948,0.5934505462646484,0.2657107412815094,0.5352458953857422,0.3567904531955719,0.21294285356998444,0.27064111828804016,0.4130953550338745
