,what,relative,of,doctor,who,traveled,with,him,in,the,early,episodes,?
the,0.42745697498321533,0.24540278315544128,0.733189046382904,0.2820442318916321,0.3733934462070465,0.27879613637924194,0.4223487675189972,0.39213326573371887,0.6662389636039734,1.0,0.34442198276519775,0.1889590173959732,0.22068053483963013
doctor,0.20870667695999146,0.1442606896162033,0.16895952820777893,0.9999999403953552,0.3504868149757385,0.22288407385349274,0.17277967929840088,0.28966546058654785,0.25567495822906494,0.2820442318916321,0.11427591741085052,0.2920081615447998,0.1462511420249939
's,0.02692362666130066,-0.023081103339791298,-0.03817026689648628,0.031664930284023285,0.05599616840481758,0.056648384779691696,-0.04624466598033905,0.004161491058766842,-0.037580832839012146,-0.01540423184633255,0.03384959325194359,-0.013447972945868969,-0.023395681753754616
first,0.28086137771606445,0.18837742507457733,0.3536086082458496,0.27244147658348083,0.39065709710121155,0.2687600255012512,0.2691199779510498,0.27283504605293274,0.4127444326877594,0.49448907375335693,0.4007106125354767,0.21580514311790466,0.18701928853988647
companions,0.18120864033699036,0.23452898859977722,0.23670142889022827,0.4105963706970215,0.35028961300849915,0.30236297845840454,0.22898033261299133,0.3855123221874237,0.16088806092739105,0.25117260217666626,0.17272937297821045,0.2721068561077118,0.14333169162273407
seen,0.3087027072906494,0.21037955582141876,0.28639769554138184,0.15965870022773743,0.2593136131763458,0.2576095461845398,0.20747044682502747,0.17442694306373596,0.28402701020240784,0.3442007005214691,0.23517318069934845,0.22108499705791473,0.2567344307899475
on,0.34226128458976746,0.1463312804698944,0.3966929316520691,0.1636410653591156,0.2340552806854248,0.24597226083278656,0.40749499201774597,0.2697460651397705,0.46853652596473694,0.5107308030128479,0.2426261156797409,0.25720518827438354,0.2714994251728058
screen,0.2579151391983032,0.18362487852573395,0.1909627914428711,0.21385470032691956,0.19978530704975128,0.11262475699186325,0.24614962935447693,0.19691172242164612,0.14476974308490753,0.2616176903247833,0.15733708441257477,0.26015323400497437,0.1954205334186554
were,0.22298263013362885,0.12351024895906448,0.34038281440734863,0.11412792652845383,0.3188014328479767,0.23278594017028809,0.3179011940956116,0.289580374956131,0.3815755248069763,0.3906462490558624,0.39198037981987,0.17896170914173126,0.17890112102031708
his,0.26976513862609863,0.2121017873287201,0.38364991545677185,0.2365143597126007,0.44966956973075867,0.3228369653224945,0.33836179971694946,0.6629161238670349,0.3598145842552185,0.4394008219242096,0.30639806389808655,0.216537207365036,0.18075084686279297
granddaughter,0.1623878926038742,0.23038096725940704,0.2563479244709015,0.3007976710796356,0.3652888834476471,0.2715075612068176,0.14491242170333862,0.34726518392562866,0.1679343432188034,0.19782285392284393,0.15779918432235718,0.12618473172187805,0.14228150248527527
susan,0.17920079827308655,0.07478321343660355,0.09889765828847885,0.15850844979286194,0.19297325611114502,0.16487252712249756,0.12436657398939133,0.20454241335391998,0.1138414815068245,0.13988924026489258,0.1722131073474884,0.13950274884700775,0.12975265085697174
foreman,0.1912759691476822,0.1097695603966713,0.19210343062877655,0.2917719781398773,0.3892987370491028,0.16507026553153992,0.23337812721729279,0.31638965010643005,0.20455802977085114,0.2552563548088074,0.21684451401233673,0.16509868204593658,0.20037853717803955
