,mohammad,iqbal,was,what,type,of,father,to,the,state,of,pakistan,?
the,0.21050898730754852,0.1828971952199936,0.48711544275283813,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24010279774665833,0.535392165184021,1.0,0.3097178041934967,0.733189046382904,0.2717324197292328,0.22068053483963013
views,0.11418890953063965,0.224028080701828,0.16854728758335114,0.32671356201171875,0.08027710020542145,0.1923438459634781,0.12804603576660156,0.27688995003700256,0.23137402534484863,0.13937075436115265,0.1923438459634781,0.19943003356456757,0.19388815760612488
of,0.20559412240982056,0.17434294521808624,0.4069072902202606,0.33290785551071167,0.18112817406654358,1.0,0.22142449021339417,0.41548454761505127,0.733189046382904,0.34253445267677307,1.0,0.26013073325157166,0.1826142966747284
ali,0.6699209809303284,0.5064619779586792,0.2125740945339203,0.1344982534646988,0.05582191050052643,0.16050739586353302,0.2361023724079132,0.1743808537721634,0.21759866178035736,0.16845697164535522,0.16050739586353302,0.42606985569000244,0.12320320308208466
shariati,0.4202575385570526,0.4639250934123993,0.2097613513469696,0.20700101554393768,0.13363656401634216,0.24810166656970978,0.2961154282093048,0.22336971759796143,0.2535809874534607,0.16091401875019073,0.24810166656970978,0.37153205275535583,0.21579571068286896
",",0.20386433601379395,0.21315646171569824,0.45456063747406006,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.30597206950187683,0.44245919585227966,0.4933079481124878,0.29481780529022217,0.4946078956127167,0.2179376631975174,0.31091248989105225
ideologue,0.2426140308380127,0.30983757972717285,0.23104719817638397,0.23143531382083893,0.0437651127576828,0.20951610803604126,0.1987868696451187,0.18215882778167725,0.21841691434383392,0.15666066110134125,0.20951610803604126,0.2510153353214264,0.21131348609924316
of,0.20559412240982056,0.17434294521808624,0.4069072902202606,0.33290785551071167,0.18112817406654358,1.0,0.22142449021339417,0.41548454761505127,0.733189046382904,0.34253445267677307,1.0,0.26013073325157166,0.1826142966747284
the,0.21050898730754852,0.1828971952199936,0.48711544275283813,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24010279774665833,0.535392165184021,1.0,0.3097178041934967,0.733189046382904,0.2717324197292328,0.22068053483963013
iranian,0.5194878578186035,0.32377830147743225,0.203793466091156,0.1183423325419426,0.07211579382419586,0.19742776453495026,0.16702242195606232,0.11043429374694824,0.21625958383083344,0.14289528131484985,0.19742776453495026,0.44841262698173523,0.13520781695842743
revolution,0.18872518837451935,0.1675950288772583,0.3365444839000702,0.1946869045495987,0.08191893249750137,0.27144062519073486,0.24504724144935608,0.18777814507484436,0.276140034198761,0.18441449105739594,0.27144062519073486,0.1396414041519165,0.1727980077266693
",",0.20386433601379395,0.21315646171569824,0.45456063747406006,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.30597206950187683,0.44245919585227966,0.4933079481124878,0.29481780529022217,0.4946078956127167,0.2179376631975174,0.31091248989105225
had,0.1523735076189041,0.22109590470790863,0.5927209258079529,0.23849567770957947,0.11302465945482254,0.37755560874938965,0.27924787998199463,0.37984350323677063,0.3875846862792969,0.14948096871376038,0.37755560874938965,0.1304260790348053,0.20728366076946259
resemblance,0.11580082774162292,0.06794482469558716,0.2529791295528412,0.26617148518562317,0.2958661615848541,0.2490781843662262,0.23184379935264587,0.23514385521411896,0.2747744023799896,0.13612793385982513,0.2490781843662262,0.12324357777833939,0.1501987725496292
with,0.08243916183710098,0.16555845737457275,0.27411898970603943,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.17124000191688538,0.4239959120750427,0.4223487675189972,0.2062043994665146,0.41827285289764404,0.1293427050113678,0.2433311939239502
mohammad,1.0,0.5984299182891846,0.2611331641674042,0.19056081771850586,0.08320064097642899,0.20559412240982056,0.23800495266914368,0.1529897302389145,0.21050898730754852,0.18087297677993774,0.20559412240982056,0.47273048758506775,0.12592719495296478
iqbal,0.5984299182891846,1.0000001192092896,0.31416603922843933,0.26565322279930115,0.06579326838254929,0.17434294521808624,0.3274841904640198,0.21185679733753204,0.1828971952199936,0.2241142839193344,0.17434294521808624,0.46760132908821106,0.18507060408592224
",",0.20386433601379395,0.21315646171569824,0.45456063747406006,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.30597206950187683,0.44245919585227966,0.4933079481124878,0.29481780529022217,0.4946078956127167,0.2179376631975174,0.31091248989105225
ideological,0.16286933422088623,0.31821098923683167,0.20204338431358337,0.30338922142982483,0.06805482506752014,0.29073479771614075,0.13999319076538086,0.2172296941280365,0.23999729752540588,0.20753175020217896,0.29073479771614075,0.2490236461162567,0.1390949934720993
father,0.23800495266914368,0.3274841904640198,0.3492507338523865,0.21527598798274994,0.07023082673549652,0.22142449021339417,1.0,0.2544635832309723,0.24010279774665833,0.17329145967960358,0.22142449021339417,0.13638116419315338,0.14826634526252747
