,what,is,the,lowest,ranking,one,of,the,counties,could,have,in,terms,of,most,populous,counties,in,the,united,states,?
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.23611898720264435,0.21444128453731537,0.42848992347717285,0.48690423369407654,0.559237003326416,0.18885838985443115,0.22975394129753113,0.3852778375148773,0.3793783485889435,0.23987792432308197,0.48690423369407654,0.32324016094207764,0.39262327551841736,0.18885838985443115,0.3793783485889435,0.559237003326416,0.25747814774513245,0.2691997289657593,0.15103481709957123
counties,0.18263769149780273,0.19452480971813202,0.23370873928070068,0.2314164787530899,0.19749733805656433,0.18550936877727509,0.2559657096862793,0.23370873928070068,1.0,0.15309575200080872,0.17950494587421417,0.26787781715393066,0.24559466540813446,0.2559657096862793,0.12402977794408798,0.4358086585998535,1.0,0.26787781715393066,0.23370873928070068,0.3086705207824707,0.36398062109947205,0.09521792083978653
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2680990993976593,0.2959146499633789,0.4999135136604309,1.0,0.733189046382904,0.2559657096862793,0.29043012857437134,0.3802283704280853,0.5696388483047485,0.2767748534679413,1.0,0.4178851246833801,0.3670322299003601,0.2559657096862793,0.5696388483047485,0.733189046382904,0.3187655806541443,0.30884552001953125,0.1826142966747284
los,0.12322991341352463,0.17008589208126068,0.2502395510673523,0.14294299483299255,0.1534569263458252,0.19896627962589264,0.17343297600746155,0.2502395510673523,0.15060237050056458,0.12794159352779388,0.15787723660469055,0.2795681953430176,0.11635692417621613,0.17343297600746155,0.20435473322868347,0.15872564911842346,0.15060237050056458,0.2795681953430176,0.2502395510673523,0.2349139302968979,0.2500098645687103,0.15495611727237701
angeles,0.10702074319124222,0.1558004766702652,0.24588194489479065,0.1535094529390335,0.1715724617242813,0.19455188512802124,0.16643567383289337,0.24588194489479065,0.17358089983463287,0.15292544662952423,0.17562218010425568,0.23927895724773407,0.10540961474180222,0.16643567383289337,0.20661821961402893,0.15873296558856964,0.17358089983463287,0.23927895724773407,0.24588194489479065,0.253493070602417,0.27101314067840576,0.16139166057109833
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2272098958492279,0.2863360047340393,0.3696635365486145,0.4946078956127167,0.4933079481124878,0.2766191363334656,0.27399855852127075,0.3541618287563324,0.5201468467712402,0.26854002475738525,0.4946078956127167,0.3636029064655304,0.3247142732143402,0.2766191363334656,0.5201468467712402,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.31091248989105225
orange,0.18341036140918732,0.20677390694618225,0.20814983546733856,0.03895360603928566,0.1104407012462616,0.1336253136396408,0.2509242296218872,0.20814983546733856,0.2865590453147888,0.10774805396795273,0.2182014435529709,0.20098833739757538,0.04620683938264847,0.2509242296218872,0.1263180375099182,0.1658581644296646,0.2865590453147888,0.20098833739757538,0.20814983546733856,0.2384549081325531,0.20921820402145386,0.1066059097647667
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2272098958492279,0.2863360047340393,0.3696635365486145,0.4946078956127167,0.4933079481124878,0.2766191363334656,0.27399855852127075,0.3541618287563324,0.5201468467712402,0.26854002475738525,0.4946078956127167,0.3636029064655304,0.3247142732143402,0.2766191363334656,0.5201468467712402,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.31091248989105225
san,0.19375550746917725,0.1594623327255249,0.2858080565929413,0.11192289739847183,0.13946300745010376,0.2074461579322815,0.25237205624580383,0.2858080565929413,0.17207099497318268,0.18907353281974792,0.1570361703634262,0.2617562413215637,0.08274340629577637,0.25237205624580383,0.19508418440818787,0.1893279254436493,0.17207099497318268,0.2617562413215637,0.2858080565929413,0.22077731788158417,0.2095007300376892,0.10952327400445938
diego,0.16958405077457428,0.1608497053384781,0.20885010063648224,0.12397284805774689,0.15650016069412231,0.15237301588058472,0.1941702961921692,0.20885010063648224,0.15851709246635437,0.14428067207336426,0.13668768107891083,0.2255222201347351,0.10635724663734436,0.1941702961921692,0.1866137683391571,0.13782332837581635,0.15851709246635437,0.2255222201347351,0.20885010063648224,0.22123965620994568,0.21433125436306,0.11438121646642685
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2272098958492279,0.2863360047340393,0.3696635365486145,0.4946078956127167,0.4933079481124878,0.2766191363334656,0.27399855852127075,0.3541618287563324,0.5201468467712402,0.26854002475738525,0.4946078956127167,0.3636029064655304,0.3247142732143402,0.2766191363334656,0.5201468467712402,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.31091248989105225
san,0.19375550746917725,0.1594623327255249,0.2858080565929413,0.11192289739847183,0.13946300745010376,0.2074461579322815,0.25237205624580383,0.2858080565929413,0.17207099497318268,0.18907353281974792,0.1570361703634262,0.2617562413215637,0.08274340629577637,0.25237205624580383,0.19508418440818787,0.1893279254436493,0.17207099497318268,0.2617562413215637,0.2858080565929413,0.22077731788158417,0.2095007300376892,0.10952327400445938
