,what,does,a,high,tide,risk,near,lands,?
this,0.5489566326141357,0.4166489243507385,0.5422310829162598,0.23107047379016876,0.17557185888290405,0.27443569898605347,0.18316566944122314,0.22436539828777313,0.3155723512172699
meant,0.40698376297950745,0.3013940155506134,0.3386867940425873,0.17487168312072754,0.1697031557559967,0.24148409068584442,0.149629145860672,0.25080955028533936,0.28817421197891235
that,0.6297725439071655,0.4764937460422516,0.47537946701049805,0.2400680035352707,0.20705285668373108,0.2734156847000122,0.1848522126674652,0.1969892978668213,0.32716336846351624
high,0.20466077327728271,0.2028418332338333,0.22865821421146393,1.0,0.2983277142047882,0.2654072642326355,0.19834794104099274,0.06485874950885773,0.11137914657592773
tide,0.1574261337518692,0.1637377142906189,0.19179654121398926,0.2983277142047882,1.0,0.24188728630542755,0.21876822412014008,0.1414375752210617,0.11802483350038528
formed,0.15451857447624207,0.060901425778865814,0.21948496997356415,0.11747858673334122,0.18130415678024292,0.10244826972484589,0.2042413055896759,0.1969955861568451,0.09686966985464096
a,0.3320399522781372,0.38201746344566345,1.0,0.22865821421146393,0.19179654121398926,0.2041822075843811,0.25033900141716003,0.20153474807739258,0.23916715383529663
serious,0.3481818735599518,0.25031471252441406,0.2764679193496704,0.21546341478824615,0.14066164195537567,0.4476942718029022,0.11988353729248047,0.11198759078979492,0.23093265295028687
risk,0.26548051834106445,0.2390352040529251,0.2041822075843811,0.2654072642326355,0.24188728630542755,1.0000001192092896,0.1567109227180481,0.11073693633079529,0.22318896651268005
because,0.46729007363319397,0.4424310624599457,0.42230045795440674,0.2518891990184784,0.24672874808311462,0.3083861768245697,0.23858441412448883,0.234079971909523,0.2528740465641022
strong,0.19839218258857727,0.2526887357234955,0.3321513831615448,0.30653223395347595,0.2027834802865982,0.17604444921016693,0.14486129581928253,0.07426381856203079,0.11990999430418015
tidal,0.1302003264427185,0.17951278388500214,0.20317816734313965,0.24403654038906097,0.6212957501411438,0.1923530399799347,0.2737911343574524,0.17502401769161224,0.10142207890748978
currents,0.2076863795518875,0.2668878436088562,0.19016359746456146,0.27061352133750916,0.410490483045578,0.22773553431034088,0.2939727008342743,0.22688816487789154,0.07452256232500076
could,0.4188697934150696,0.46317359805107117,0.3736826181411743,0.19430626928806305,0.21356382966041565,0.2907496392726898,0.164994478225708,0.1778487116098404,0.3411986827850342
tear,0.2369452714920044,0.19420389831066132,0.26370084285736084,0.15676826238632202,0.18784655630588531,0.22421930730342865,0.21312403678894043,0.16670571267604828,0.16272446513175964
huge,0.2735622227191925,0.19100916385650635,0.3352465033531189,0.2793833911418915,0.24200570583343506,0.19272500276565552,0.22417302429676056,0.15642210841178894,0.13631469011306763
areas,0.23739881813526154,0.19766740500926971,0.24730755388736725,0.261473685503006,0.16692198812961578,0.1927279680967331,0.288653701543808,0.3802560865879059,0.1273590475320816
of,0.33290785551071167,0.3119818866252899,0.5052502155303955,0.2803038954734802,0.16206330060958862,0.2274734228849411,0.2651676535606384,0.2730972170829773,0.1826142966747284
land,0.23411516845226288,0.20495885610580444,0.247930645942688,0.1355471909046173,0.27944764494895935,0.08963882178068161,0.26854586601257324,0.6447227001190186,0.1432059109210968
into,0.2180619090795517,0.22312942147254944,0.3461161255836487,0.14017035067081451,0.21423447132110596,0.19881853461265564,0.27234160900115967,0.26670709252357483,0.15662476420402527
the,0.42745697498321533,0.35928019881248474,0.5829201340675354,0.28034812211990356,0.18781600892543793,0.2011675238609314,0.2879819869995117,0.3190511167049408,0.22068053483963013
sea,0.19525039196014404,0.12523514032363892,0.17038485407829285,0.17861974239349365,0.46361029148101807,0.172702819108963,0.2699112892150879,0.22383373975753784,0.15551945567131042
.,0.3567904531955719,0.3022993505001068,0.50484299659729,0.24301011860370636,0.19219522178173065,0.19891688227653503,0.2532462477684021,0.21775345504283905,0.4130953550338745
,what,does,a,high,tide,risk,near,lands,?
the,0.42745697498321533,0.35928019881248474,0.5829201340675354,0.28034812211990356,0.18781600892543793,0.2011675238609314,0.2879819869995117,0.3190511167049408,0.22068053483963013
rhine-meuse,0.20504072308540344,0.18929140269756317,0.20099006593227386,0.1304168701171875,0.18677423894405365,0.17991960048675537,0.31237104535102844,0.2916906177997589,0.23498749732971191
delta,0.11423289775848389,0.1373838186264038,0.20749913156032562,0.12342336773872375,0.24003614485263824,0.10092618316411972,0.27986568212509155,0.16845132410526276,0.14208948612213135
is,0.28837618231773376,0.4403602182865143,0.658733606338501,0.2383800595998764,0.12510262429714203,0.1508130580186844,0.25453904271125793,0.1926896721124649,0.22961433231830597
a,0.3320399522781372,0.38201746344566345,1.0,0.22865821421146393,0.19179654121398926,0.2041822075843811,0.25033900141716003,0.20153474807739258,0.23916715383529663
tidal,0.1302003264427185,0.17951278388500214,0.20317816734313965,0.24403654038906097,0.6212957501411438,0.1923530399799347,0.2737911343574524,0.17502401769161224,0.10142207890748978
delta,0.11423289775848389,0.1373838186264038,0.20749913156032562,0.12342336773872375,0.24003614485263824,0.10092618316411972,0.27986568212509155,0.16845132410526276,0.14208948612213135
",",0.3087472915649414,0.28617382049560547,0.427140474319458,0.27938312292099,0.16918285191059113,0.2123156040906906,0.3141826391220093,0.24265161156654358,0.31091248989105225
shaped,0.19420893490314484,0.18174763023853302,0.3383263349533081,0.11948030441999435,0.1293700486421585,0.056750088930130005,0.18065862357616425,0.15494486689567566,0.11317497491836548
not,0.5449194312095642,0.6355478763580322,0.3791346549987793,0.2040453404188156,0.18668238818645477,0.3147277235984802,0.1304771453142166,0.1529565006494522,0.41942933201789856
only,0.41415658593177795,0.45203697681427,0.47549712657928467,0.24038386344909668,0.1601264476776123,0.2502490282058716,0.15029849112033844,0.2027253359556198,0.2767370045185089
by,0.2455483376979828,0.143477201461792,0.32094135880470276,0.2159195840358734,0.19764474034309387,0.2392452508211136,0.10611382126808167,0.23103667795658112,0.17966607213020325
the,0.42745697498321533,0.35928019881248474,0.5829201340675354,0.28034812211990356,0.18781600892543793,0.2011675238609314,0.2879819869995117,0.3190511167049408,0.22068053483963013
sedimentation,0.22759993374347687,0.17218373715877533,0.2670274078845978,0.13559472560882568,0.28349003195762634,0.25869378447532654,0.17947149276733398,0.15271347761154175,0.17398139834403992
of,0.33290785551071167,0.3119818866252899,0.5052502155303955,0.2803038954734802,0.16206330060958862,0.2274734228849411,0.2651676535606384,0.2730972170829773,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,0.5829201340675354,0.28034812211990356,0.18781600892543793,0.2011675238609314,0.2879819869995117,0.3190511167049408,0.22068053483963013
rivers,0.14092835783958435,0.17477521300315857,0.1459617167711258,0.09456638991832733,0.2780379354953766,0.15573309361934662,0.331880658864975,0.1901189237833023,0.15866327285766602
",",0.3087472915649414,0.28617382049560547,0.427140474319458,0.27938312292099,0.16918285191059113,0.2123156040906906,0.3141826391220093,0.24265161156654358,0.31091248989105225
but,0.5029441118240356,0.4353378415107727,0.44750767946243286,0.20612826943397522,0.19053499400615692,0.262353777885437,0.1911310851573944,0.24334049224853516,0.27921953797340393
also,0.42747777700424194,0.4118025600910187,0.5149940252304077,0.29454025626182556,0.21150054037570953,0.23833635449409485,0.23091714084148407,0.20484548807144165,0.21848613023757935
by,0.2455483376979828,0.143477201461792,0.32094135880470276,0.2159195840358734,0.19764474034309387,0.2392452508211136,0.10611382126808167,0.23103667795658112,0.17966607213020325
tidal,0.1302003264427185,0.17951278388500214,0.20317816734313965,0.24403654038906097,0.6212957501411438,0.1923530399799347,0.2737911343574524,0.17502401769161224,0.10142207890748978
currents,0.2076863795518875,0.2668878436088562,0.19016359746456146,0.27061352133750916,0.410490483045578,0.22773553431034088,0.2939727008342743,0.22688816487789154,0.07452256232500076
.,0.3567904531955719,0.3022993505001068,0.50484299659729,0.24301011860370636,0.19219522178173065,0.19891688227653503,0.2532462477684021,0.21775345504283905,0.4130953550338745
