,when,did,tesla,attain,his,electrical,transmitter,patent,?
in,0.4431333839893341,0.2593238651752472,0.17097744345664978,0.16588452458381653,0.3598145842552185,0.2146623730659485,0.16943570971488953,0.18244080245494843,0.20430970191955566
1900,0.055429618805646896,0.01588265411555767,0.14594212174415588,0.04255007579922676,0.051969870924949646,0.14093460142612457,0.16822071373462677,0.02990240417420864,0.12663045525550842
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.21641060709953308,0.3378419280052185,0.24516360461711884,0.17490538954734802,0.20812061429023743,0.31091248989105225
tesla,0.1504557579755783,0.09757418930530548,0.9999999403953552,0.23897488415241241,0.1580733060836792,0.45727142691612244,0.24534501135349274,0.3651154637336731,0.10250775516033173
was,0.37326499819755554,0.41399896144866943,0.16455206274986267,0.15991374850273132,0.4405253231525421,0.2032313495874405,0.14626336097717285,0.13812966644763947,0.18412111699581146
granted,0.20104466378688812,0.23486477136611938,0.23514078557491302,0.2848361134529114,0.2550535202026367,0.15206624567508698,0.10021562874317169,0.40747252106666565,0.22870221734046936
patents,0.21851512789726257,0.19803202152252197,0.352291464805603,0.12682795524597168,0.1780233383178711,0.3430591821670532,0.3310457766056061,0.8816136121749878,0.1148110032081604
for,0.43402108550071716,0.318512886762619,0.13983871042728424,0.24336008727550507,0.39312878251075745,0.20076188445091248,0.24252666532993317,0.23913012444972992,0.264628142118454
a,0.44397395849227905,0.2552328109741211,0.2211925983428955,0.2652985751628876,0.3497250974178314,0.2779098153114319,0.24712444841861725,0.23810072243213654,0.23916715383529663
``,0.07174111902713776,-0.029888948425650597,0.04274534806609154,0.03544588387012482,0.008275155909359455,0.012026671320199966,0.013966457918286324,-0.002420688048005104,0.0685480609536171
system,0.27706024050712585,0.1967303454875946,0.18243813514709473,0.20664151012897491,0.15711051225662231,0.27420902252197266,0.2921246886253357,0.1489793211221695,0.15556083619594574
of,0.3757161796092987,0.2513895630836487,0.18837453424930573,0.27881741523742676,0.38364991545677185,0.23057208955287933,0.2015746533870697,0.1616990715265274,0.1826142966747284
transmitting,0.2915230989456177,0.12921853363513947,0.22912690043449402,0.22780781984329224,0.12101137638092041,0.45981940627098083,0.9099835753440857,0.23978394269943237,0.16731256246566772
electrical,0.29064828157424927,0.12294142693281174,0.45727142691612244,0.1764773577451706,0.17698267102241516,1.0000001192092896,0.47951316833496094,0.2788543701171875,0.10923371464014053
energy,0.24666637182235718,0.14123573899269104,0.28722304105758667,0.23911799490451813,0.15422320365905762,0.45783519744873047,0.3337845504283905,0.15758343040943146,0.14860127866268158
'',-0.07688097655773163,0.01978493109345436,0.048713020980358124,0.04056594893336296,0.016508836299180984,0.0419921949505806,0.02279486134648323,0.04531673341989517,0.018684765323996544
and,0.4716290831565857,0.34479495882987976,0.19560420513153076,0.30253857374191284,0.4234102666378021,0.24563585221767426,0.2085125595331192,0.13321366906166077,0.20544172823429108
``,0.07174111902713776,-0.029888948425650597,0.04274534806609154,0.03544588387012482,0.008275155909359455,0.012026671320199966,0.013966457918286324,-0.002420688048005104,0.0685480609536171
an,0.33026179671287537,0.22598257660865784,0.13714656233787537,0.1343679428100586,0.24025635421276093,0.19800212979316711,0.20838652551174164,0.1411449909210205,0.19793890416622162
electrical,0.29064828157424927,0.12294142693281174,0.45727142691612244,0.1764773577451706,0.17698267102241516,1.0000001192092896,0.47951316833496094,0.2788543701171875,0.10923371464014053
transmitter,0.23190952837467194,0.10939421504735947,0.24534501135349274,0.19402575492858887,0.08723535388708115,0.47951316833496094,1.0,0.26724347472190857,0.13397978246212006
.,0.475719153881073,0.35288307070732117,0.17949827015399933,0.23961491882801056,0.3119256794452667,0.2174808531999588,0.205808624625206,0.19082264602184296,0.4130953550338745
'',-0.07688097655773163,0.01978493109345436,0.048713020980358124,0.04056594893336296,0.016508836299180984,0.0419921949505806,0.02279486134648323,0.04531673341989517,0.018684765323996544
