,what,cells,are,the,second,arm,of,the,innate,immune,system,?
leukocytes,0.19061218202114105,0.7595602869987488,0.37580686807632446,0.23712603747844696,0.12378059327602386,0.24435167014598846,0.27625513076782227,0.23712603747844696,0.5555042624473572,0.5794634222984314,0.3203384280204773,0.18717224895954132
(,0.2411840260028839,0.2060161978006363,0.23263892531394958,0.33289089798927307,0.27435752749443054,0.15204982459545135,0.35032153129577637,0.33289089798927307,0.16644489765167236,0.08545625954866409,0.15626809000968933,0.40561532974243164
white,0.1410645991563797,0.2878720462322235,0.17937533557415009,0.25492873787879944,0.11714375019073486,0.19432996213436127,0.23826628923416138,0.25492873787879944,0.25020843744277954,0.20553424954414368,0.1434335708618164,0.124679796397686
blood,0.15800324082374573,0.4241664409637451,0.21018937230110168,0.2815113961696625,0.16598498821258545,0.20136314630508423,0.2294820100069046,0.2815113961696625,0.3113948702812195,0.3497171700000763,0.16065409779548645,0.156274676322937
cells,0.1758001297712326,1.0,0.2908284366130829,0.19095487892627716,0.1151030957698822,0.17613822221755981,0.21305565536022186,0.19095487892627716,0.5340849757194519,0.5300963521003723,0.29856014251708984,0.1898086667060852
),0.26259949803352356,0.17987960577011108,0.2373749315738678,0.3456730246543884,0.29819294810295105,0.1543399542570114,0.3680361211299896,0.3456730246543884,0.15244530141353607,0.052535902708768845,0.15207810699939728,0.42300865054130554
act,0.2622668445110321,0.1418844312429428,0.22266654670238495,0.28682878613471985,0.14854536950588226,0.18117165565490723,0.2802577316761017,0.28682878613471985,0.2495909035205841,0.16497139632701874,0.22195035219192505,0.1482519507408142
like,0.4320242702960968,0.21203181147575378,0.4686352014541626,0.32912567257881165,0.17264120280742645,0.19733846187591553,0.3244853615760803,0.32912567257881165,0.2461828738451004,0.2237885743379593,0.1939726322889328,0.3268813192844391
independent,0.28752967715263367,0.1316026747226715,0.1716575026512146,0.2927691638469696,0.16975091397762299,0.11335992068052292,0.30508819222450256,0.2927691638469696,0.15289592742919922,0.11849487572908401,0.1420293152332306,0.11902587860822678
",",0.3087472915649414,0.20582014322280884,0.4062570035457611,0.4933079481124878,0.29927265644073486,0.1692921221256256,0.4946078956127167,0.4933079481124878,0.16148243844509125,0.15102852880954742,0.18439900875091553,0.31091248989105225
single-celled,0.28802716732025146,0.31881171464920044,0.2679211497306824,0.286213755607605,0.30024874210357666,0.17439164221286774,0.26407572627067566,0.286213755607605,0.32613879442214966,0.1833386868238449,0.18072503805160522,0.26320698857307434
organisms,0.22214920818805695,0.5751051306724548,0.3114190697669983,0.22463196516036987,0.08793967217206955,0.15200556814670563,0.23870134353637695,0.22463196516036987,0.44892990589141846,0.3922001123428345,0.2424149215221405,0.22621455788612366
and,0.31309178471565247,0.24033623933792114,0.48576638102531433,0.5171257257461548,0.2743909955024719,0.2107696235179901,0.5116966962814331,0.5171257257461548,0.22914032638072968,0.14400269091129303,0.231138214468956,0.20544172823429108
are,0.29724663496017456,0.2908284366130829,1.0,0.40399202704429626,0.13331100344657898,0.153136745095253,0.39081433415412903,0.40399202704429626,0.2676650285720825,0.23878547549247742,0.21917270123958588,0.24591213464736938
the,0.42745697498321533,0.19095487892627716,0.40399202704429626,1.0,0.4620301127433777,0.2214433252811432,0.733189046382904,1.0,0.2196919023990631,0.21364226937294006,0.3233085572719574,0.22068053483963013
second,0.19948028028011322,0.1151030957698822,0.13331100344657898,0.4620301127433777,1.0,0.14446452260017395,0.353416383266449,0.4620301127433777,0.09745554625988007,0.06785526871681213,0.17045217752456665,0.17239587008953094
arm,0.1625373512506485,0.17613822221755981,0.153136745095253,0.2214433252811432,0.14446452260017395,1.0,0.17655016481876373,0.2214433252811432,0.18094442784786224,0.18257802724838257,0.1658577024936676,0.12539196014404297
of,0.33290785551071167,0.21305565536022186,0.39081433415412903,0.733189046382904,0.353416383266449,0.17655016481876373,1.0,0.733189046382904,0.255485475063324,0.16620753705501556,0.25597915053367615,0.1826142966747284
the,0.42745697498321533,0.19095487892627716,0.40399202704429626,1.0,0.4620301127433777,0.2214433252811432,0.733189046382904,1.0,0.2196919023990631,0.21364226937294006,0.3233085572719574,0.22068053483963013
innate,0.2683543860912323,0.5340849757194519,0.2676650285720825,0.2196919023990631,0.09745554625988007,0.18094442784786224,0.255485475063324,0.2196919023990631,1.0000001192092896,0.6130988597869873,0.3689802289009094,0.16386382281780243
immune,0.2410416603088379,0.5300963521003723,0.23878547549247742,0.21364226937294006,0.06785526871681213,0.18257802724838257,0.16620753705501556,0.21364226937294006,0.6130988597869873,1.0,0.3962631821632385,0.16080476343631744
system,0.23557309806346893,0.29856014251708984,0.21917270123958588,0.3233085572719574,0.17045217752456665,0.1658577024936676,0.25597915053367615,0.3233085572719574,0.3689802289009094,0.3962631821632385,1.0000001192092896,0.15556083619594574
.,0.3567904531955719,0.2868211269378662,0.3452940285205841,0.5934505462646484,0.346034437417984,0.20812642574310303,0.5352458953857422,0.5934505462646484,0.2064800262451172,0.18267881870269775,0.2277725487947464,0.4130953550338745
