,how,many,private,schools,existed,in,new,zealand,in,april,2014,?
as,0.33782753348350525,0.4070141911506653,0.22101859748363495,0.21233005821704865,0.19728398323059082,0.3887844979763031,0.24585270881652832,0.18826773762702942,0.3887844979763031,0.24483075737953186,0.21246016025543213,0.27043893933296204
of,0.2480744868516922,0.37253960967063904,0.18706899881362915,0.265506386756897,0.2990404963493347,0.5696388483047485,0.343457967042923,0.1794917732477188,0.5696388483047485,0.18706536293029785,0.0493064783513546,0.1826142966747284
april,0.10604981333017349,0.12375425547361374,0.19129225611686707,0.15921804308891296,0.14569133520126343,0.2882915735244751,0.24175630509853363,0.20840208232402802,0.2882915735244751,0.9999999403953552,0.20372895896434784,0.25704094767570496
2014,0.06244484707713127,-0.02496628649532795,-0.012680906802415848,-0.07876225560903549,-0.067247673869133,0.13996225595474243,0.06295159459114075,0.09655669331550598,0.13996225595474243,0.20372895896434784,1.0000001192092896,0.058127544820308685
",",0.22659391164779663,0.40610817074775696,0.1899166703224182,0.2760516405105591,0.24464987218379974,0.5201468467712402,0.36073189973831177,0.25323209166526794,0.5201468467712402,0.4403347671031952,0.19350162148475647,0.31091248989105225
there,0.3328511416912079,0.4993700683116913,0.1829933375120163,0.2900838851928711,0.391314834356308,0.5361666083335876,0.26218199729919434,0.1600300520658493,0.5361666083335876,0.21783733367919922,-0.043540820479393005,0.29405656456947327
are,0.311818927526474,0.5655534863471985,0.1694057136774063,0.30816179513931274,0.2740200161933899,0.3841303884983063,0.1899496167898178,0.15959401428699493,0.3841303884983063,0.08702158182859421,-0.012596084736287594,0.24591213464736938
88,-0.06487582623958588,-0.09002693742513657,0.01849149726331234,-0.03645576164126396,0.0695718303322792,-0.07498844712972641,-0.06522294133901596,-0.124491848051548,-0.07498844712972641,-0.03069683536887169,-0.033317681401968,0.0018956762505695224
private,0.08935344964265823,0.2148355096578598,1.0,0.4158569872379303,0.07704956084489822,0.21135757863521576,0.15541495382785797,0.1425226330757141,0.21135757863521576,0.19129225611686707,-0.012680906802415848,0.14389030635356903
schools,0.12874440848827362,0.3108086585998535,0.4158569872379303,1.0,0.1897551417350769,0.2632134258747101,0.13635335862636566,0.1286637783050537,0.2632134258747101,0.15921804308891296,-0.07876225560903549,0.18349280953407288
in,0.2601168751716614,0.41474202275276184,0.21135757863521576,0.2632134258747101,0.2661771774291992,1.0,0.3758552670478821,0.2644186019897461,1.0,0.2882915735244751,0.13996225595474243,0.20430970191955566
new,0.20832711458206177,0.2992318272590637,0.15541495382785797,0.13635335862636566,0.22846272587776184,0.3758552670478821,0.9999999403953552,0.5071729421615601,0.3758552670478821,0.24175630509853363,0.06295159459114075,0.14782847464084625
zealand,0.12121080607175827,0.20437674224376678,0.1425226330757141,0.1286637783050537,0.13435529172420502,0.2644186019897461,0.5071729421615601,0.9999999403953552,0.2644186019897461,0.20840208232402802,0.09655669331550598,0.07086749374866486
",",0.22659391164779663,0.40610817074775696,0.1899166703224182,0.2760516405105591,0.24464987218379974,0.5201468467712402,0.36073189973831177,0.25323209166526794,0.5201468467712402,0.4403347671031952,0.19350162148475647,0.31091248989105225
catering,0.2299785017967224,0.31093496084213257,0.27418047189712524,0.25946882367134094,0.13726484775543213,0.230123832821846,0.23866145312786102,0.1526530385017395,0.230123832821846,0.16780118644237518,-0.003128540702164173,0.255033403635025
for,0.3308170735836029,0.40972793102264404,0.22242696583271027,0.2320515662431717,0.17577916383743286,0.4322226941585541,0.2700757384300232,0.19785170257091522,0.4322226941585541,0.29502245783805847,-0.029771532863378525,0.264628142118454
around,0.3297552764415741,0.4112928509712219,0.14923639595508575,0.21455352008342743,0.25242769718170166,0.41294145584106445,0.23326291143894196,0.12179521471261978,0.41294145584106445,0.21247705817222595,0.03615759313106537,0.14729668200016022
"28,000",0.0489511676132679,0.004897859878838062,0.0029749716632068157,-0.05763944238424301,0.05591180548071861,0.07891881465911865,-0.100471131503582,-0.054598573595285416,0.07891881465911865,0.07388440519571304,0.165592759847641,0.07293245941400528
students,0.25370386242866516,0.2713872492313385,0.35454505681991577,0.6169943809509277,0.08992188423871994,0.2676171064376831,0.19169281423091888,0.11349768936634064,0.2676171064376831,0.18363846838474274,-0.02035689167678356,0.18017297983169556
or,0.3378981947898865,0.36905089020729065,0.21888144314289093,0.23524631559848785,0.2504364848136902,0.3586423695087433,0.1627417951822281,0.16910114884376526,0.3586423695087433,0.09176356345415115,-0.026373421773314476,0.32389625906944275
3.7,0.0704462081193924,0.11311265081167221,0.1359679400920868,0.13995672762393951,0.15899571776390076,0.28348952531814575,0.13088592886924744,0.16459393501281738,0.28348952531814575,0.15156085789203644,-0.07137748599052429,0.10568435490131378
%,0.1237400695681572,0.24948352575302124,0.14337216317653656,0.177998885512352,0.12574534118175507,0.19465309381484985,0.12995213270187378,0.12510153651237488,0.19465309381484985,0.14055797457695007,0.01825324073433876,0.21441808342933655
of,0.2480744868516922,0.37253960967063904,0.18706899881362915,0.265506386756897,0.2990404963493347,0.5696388483047485,0.343457967042923,0.1794917732477188,0.5696388483047485,0.18706536293029785,0.0493064783513546,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.18291357159614563,0.22905772924423218,0.32677435874938965,0.6662389636039734,0.3845241069793701,0.18368712067604065,0.6662389636039734,0.23232673108577728,0.059490643441677094,0.22068053483963013
entire,0.2951267957687378,0.296248197555542,0.20161007344722748,0.16722406446933746,0.2452656477689743,0.3347092568874359,0.24857181310653687,0.08124597370624542,0.3347092568874359,0.14116546511650085,-0.04230177029967308,0.17068447172641754
student,0.22541755437850952,0.18084076046943665,0.3240567743778229,0.41530340909957886,0.07713780552148819,0.254856139421463,0.15977053344249725,0.07118391990661621,0.254856139421463,0.23161162436008453,0.098530612885952,0.13282090425491333
population,0.1651063710451126,0.2201971709728241,0.1066690981388092,0.2563742697238922,0.16544106602668762,0.3268454372882843,0.14427055418491364,0.09022867679595947,0.3268454372882843,0.14986126124858856,0.037611741572618484,0.14449454843997955
.,0.3287222981452942,0.3974229395389557,0.2534593939781189,0.2752705216407776,0.2577754259109497,0.5591574311256409,0.35031336545944214,0.22469598054885864,0.5591574311256409,0.32346561551094055,0.14509223401546478,0.4130953550338745
