,what,other,aspect,of,luther,'s,life,was,affected,by,his,health,?
his,0.26976513862609863,0.23453344404697418,0.1258329451084137,0.38364991545677185,0.27093374729156494,0.047556519508361816,0.37379691004753113,0.4405253231525421,0.23838599026203156,0.3107621967792511,0.9999998807907104,0.25097307562828064,0.18075084686279297
poor,0.2570318877696991,0.1883959323167801,0.2051914483308792,0.23458099365234375,0.15004777908325195,0.07552039623260498,0.20231187343597412,0.23301246762275696,0.26946842670440674,0.15843991935253143,0.2804878056049347,0.3499755859375,0.12937016785144806
physical,0.27895045280456543,0.32369017601013184,0.3702225387096405,0.3124530017375946,0.09395226091146469,0.0012879690621048212,0.28419312834739685,0.15173566341400146,0.2902849018573761,0.20059843361377716,0.1997232735157013,0.3495875298976898,0.11781801283359528
health,0.21460163593292236,0.226736381649971,0.21628333628177643,0.28076469898223877,0.17949983477592468,0.018505536019802094,0.36240121722221375,0.2006305307149887,0.30889877676963806,0.15055210888385773,0.25097307562828064,1.0000001192092896,0.16094304621219635
made,0.23419176042079926,0.2986699640750885,0.10997068136930466,0.33167365193367004,0.15519264340400696,0.08483956009149551,0.1889101266860962,0.3433256447315216,0.22946271300315857,0.34175434708595276,0.29201897978782654,0.11163143813610077,0.17218779027462006
him,0.34912991523742676,0.3014329969882965,0.11840575933456421,0.2764812409877777,0.25429821014404297,0.004161491058766842,0.24785535037517548,0.3675798773765564,0.1589425653219223,0.29878008365631104,0.6629161238670349,0.216893270611763,0.23943768441677094
short-tempered,0.23517467081546783,0.2711332440376282,0.24501484632492065,0.30704954266548157,0.17717163264751434,0.06615042686462402,0.280563622713089,0.28158441185951233,0.3063252568244934,0.2684902846813202,0.34606698155403137,0.26335951685905457,0.2237992137670517
and,0.31309178471565247,0.5504306554794312,0.2093125432729721,0.5116966962814331,0.20796556770801544,0.06895173341035843,0.26095253229141235,0.3740963041782379,0.3552402853965759,0.4289871156215668,0.4234102666378021,0.3215619623661041,0.20544172823429108
even,0.40872135758399963,0.4545271396636963,0.2993951737880707,0.34735506772994995,0.13474266231060028,0.0353488028049469,0.2763756811618805,0.27441510558128357,0.35498467087745667,0.2642922103404999,0.2842361330986023,0.2509666383266449,0.30082517862319946
harsher,0.3465219736099243,0.2969622015953064,0.25101205706596375,0.21791879832744598,0.22396565973758698,0.10175126045942307,0.20784269273281097,0.18563967943191528,0.2735380530357361,0.17778387665748596,0.20110070705413818,0.27800294756889343,0.21320539712905884
in,0.30808621644973755,0.39989137649536133,0.16113883256912231,0.5696388483047485,0.20523880422115326,-0.037580832839012146,0.27054134011268616,0.45514053106307983,0.33125343918800354,0.370934396982193,0.3598145842552185,0.2500189542770386,0.20430970191955566
his,0.26976513862609863,0.23453344404697418,0.1258329451084137,0.38364991545677185,0.27093374729156494,0.047556519508361816,0.37379691004753113,0.4405253231525421,0.23838599026203156,0.3107621967792511,0.9999998807907104,0.25097307562828064,0.18075084686279297
writings,0.31019967794418335,0.2406190186738968,0.25625714659690857,0.24593348801136017,0.32714858651161194,0.029720310121774673,0.32629910111427307,0.21465790271759033,0.14707304537296295,0.21732479333877563,0.3246472179889679,0.24864867329597473,0.1770159751176834
and,0.31309178471565247,0.5504306554794312,0.2093125432729721,0.5116966962814331,0.20796556770801544,0.06895173341035843,0.26095253229141235,0.3740963041782379,0.3552402853965759,0.4289871156215668,0.4234102666378021,0.3215619623661041,0.20544172823429108
comments,0.34725841879844666,0.2523878216743469,0.213033065199852,0.1341107338666916,0.1768287569284439,0.04164452850818634,0.1858140230178833,0.19956475496292114,0.18385745584964752,0.22967104613780975,0.2170773148536682,0.17969201505184174,0.3595547676086426
.,0.3567904531955719,0.41511186957359314,0.21891406178474426,0.5352458953857422,0.24907569587230682,-0.003708066651597619,0.3029138445854187,0.40146201848983765,0.30342021584510803,0.3936232924461365,0.3119256794452667,0.25832483172416687,0.4130953550338745
