,which,episode,featured,the,return,of,william,hartnell,?
in,0.4840516746044159,0.19184806942939758,0.2658694386482239,0.6662389636039734,0.1852470338344574,0.5696388483047485,0.21605195105075836,0.26084983348846436,0.20430970191955566
1973,-0.15690617263317108,-0.1688697785139084,-0.04904281720519066,-0.22297891974449158,-0.20702284574508667,-0.15240907669067383,-0.21057787537574768,-0.19937965273857117,-0.07644321769475937
's,0.03856118768453598,-0.057472456246614456,-0.01579626277089119,-0.01540423184633255,0.03277071565389633,-0.03817026689648628,0.00675395829603076,0.0375312976539135,-0.023395681753754616
the,0.6521818041801453,0.25342556834220886,0.28660184144973755,1.0,0.2543797492980957,0.733189046382904,0.21537061035633087,0.24653013050556183,0.22068053483963013
three,0.40919098258018494,0.197140634059906,0.24246294796466827,0.43452659249305725,0.15303850173950195,0.3844621181488037,0.14940248429775238,0.25058087706565857,0.20928427577018738
doctors,0.21964778006076813,0.16801795363426208,0.12192442268133163,0.24499839544296265,0.10149639844894409,0.18925178050994873,0.1048193871974945,0.3021908402442932,0.19305896759033203
",",0.3658004403114319,0.18198037147521973,0.27189624309539795,0.4933079481124878,0.20895273983478546,0.4946078956127167,0.23339112102985382,0.3685084879398346,0.31091248989105225
william,0.13988013565540314,0.14122723042964935,0.1265670210123062,0.21537061035633087,0.18028749525547028,0.20272590219974518,1.0,0.39816680550575256,0.14462219178676605
hartnell,0.17562130093574524,0.32280436158180237,0.2921605706214905,0.24653013050556183,0.2310156673192978,0.22713571786880493,0.39816680550575256,0.9999999403953552,0.21577993035316467
and,0.506277859210968,0.2091434895992279,0.26700839400291443,0.5171257257461548,0.20753136277198792,0.5116966962814331,0.2535148561000824,0.3716857135295868,0.20544172823429108
patrick,0.15886594355106354,0.23985563218593597,0.14635565876960754,0.1839403212070465,0.05243866890668869,0.13192994892597198,0.393582284450531,0.38792186975479126,0.09005489200353622
troughton,0.2480846494436264,0.19803069531917572,0.19057849049568176,0.28912484645843506,0.16413076221942902,0.27481627464294434,0.3307936191558838,0.43956252932548523,0.13754236698150635
returned,0.16953375935554504,0.20050649344921112,0.16852301359176636,0.32857778668403625,0.6497189998626709,0.28002414107322693,0.21999649703502655,0.31288158893585205,0.07695316523313522
alongside,0.2401341050863266,0.27795761823654175,0.34675538539886475,0.2475084811449051,0.13246764242649078,0.23186348378658295,0.11894328147172928,0.24203373491764069,0.20579710602760315
jon,0.10609026998281479,0.22337958216667175,0.20730705559253693,0.153504878282547,0.13488878309726715,0.08789495378732681,0.28753671050071716,0.3423844575881958,0.1621117740869522
pertwee,0.18792670965194702,0.3745942711830139,0.2986331582069397,0.27593860030174255,0.2092570662498474,0.2473498284816742,0.44282475113868713,0.5312849283218384,0.21838203072547913
.,0.45942068099975586,0.23102888464927673,0.27540460228919983,0.5934505462646484,0.25014954805374146,0.5352458953857422,0.2768123149871826,0.3379056453704834,0.4130953550338745
