,what,did,protestant,nobles,form,the,following,year,after,the,signing,of,the,augsburg,confession,?
despite,0.1825345903635025,0.38115930557250977,0.18678757548332214,0.1971517950296402,0.1922057420015335,0.3172689974308014,0.23505279421806335,0.18577145040035248,0.4132745862007141,0.3172689974308014,0.16958226263523102,0.33505672216415405,0.3172689974308014,0.09760940819978714,0.20456713438034058,0.14350546896457672
the,0.42745697498321533,0.34736719727516174,0.2679212689399719,0.2815840542316437,0.29286009073257446,1.0,0.39779382944107056,0.3609684407711029,0.4565047025680542,1.0,0.3163802921772003,0.733189046382904,1.0,0.25331857800483704,0.19474709033966064,0.22068053483963013
disagreements,0.3944484293460846,0.3756861388683319,0.33494728803634644,0.29818639159202576,0.1660228818655014,0.28415536880493164,0.27044516801834106,0.20155134797096252,0.23868587613105774,0.28415536880493164,0.3370209038257599,0.2664854824542999,0.28415536880493164,0.22510766983032227,0.3088131248950958,0.22321587800979614
on,0.34226128458976746,0.2670976221561432,0.13991612195968628,0.13056164979934692,0.1214052140712738,0.5107308030128479,0.2962210774421692,0.27628999948501587,0.39330315589904785,0.5107308030128479,0.2526950538158417,0.3966929316520691,0.5107308030128479,0.19920341670513153,0.19408480823040009,0.2714994251728058
the,0.42745697498321533,0.34736719727516174,0.2679212689399719,0.2815840542316437,0.29286009073257446,1.0,0.39779382944107056,0.3609684407711029,0.4565047025680542,1.0,0.3163802921772003,0.733189046382904,1.0,0.25331857800483704,0.19474709033966064,0.22068053483963013
eucharist,0.21259461343288422,0.16226354241371155,0.4884782135486603,0.2531892955303192,0.23246414959430695,0.22046668827533722,0.12270942330360413,0.167738139629364,0.20263132452964783,0.22046668827533722,0.19988702237606049,0.23567263782024384,0.22046668827533722,0.3268890380859375,0.4393100440502167,0.15321393311023712
",",0.3087472915649414,0.3015086054801941,0.2710806429386139,0.20595300197601318,0.21805599331855774,0.4933079481124878,0.27101513743400574,0.28560417890548706,0.38860568404197693,0.4933079481124878,0.2177143543958664,0.4946078956127167,0.4933079481124878,0.26016417145729065,0.24621757864952087,0.31091248989105225
the,0.42745697498321533,0.34736719727516174,0.2679212689399719,0.2815840542316437,0.29286009073257446,1.0,0.39779382944107056,0.3609684407711029,0.4565047025680542,1.0,0.3163802921772003,0.733189046382904,1.0,0.25331857800483704,0.19474709033966064,0.22068053483963013
marburg,0.19250063598155975,0.14080889523029327,0.2927348017692566,0.1060803011059761,0.2252795398235321,0.2501940131187439,0.14929556846618652,0.21457716822624207,0.16066889464855194,0.2501940131187439,0.14469332993030548,0.2773418724536896,0.2501940131187439,0.6569849848747253,0.25035980343818665,0.21810835599899292
colloquy,0.327221542596817,0.21996162831783295,0.21511198580265045,0.21359966695308685,0.29944679141044617,0.2922760844230652,0.19117696583271027,0.10234232246875763,0.14800342917442322,0.2922760844230652,0.19918163120746613,0.24527795612812042,0.2922760844230652,0.14040453732013702,0.2350258231163025,0.2766325771808624
paved,0.19151762127876282,0.1952291578054428,0.08242059499025345,0.15940400958061218,0.09026829153299332,0.23181872069835663,0.1379414200782776,0.10155605524778366,0.1178990826010704,0.23181872069835663,0.18534012138843536,0.2546035945415497,0.23181872069835663,0.11465579271316528,0.13987302780151367,0.12806759774684906
the,0.42745697498321533,0.34736719727516174,0.2679212689399719,0.2815840542316437,0.29286009073257446,1.0,0.39779382944107056,0.3609684407711029,0.4565047025680542,1.0,0.3163802921772003,0.733189046382904,1.0,0.25331857800483704,0.19474709033966064,0.22068053483963013
way,0.4835909903049469,0.34534135460853577,0.1696690171957016,0.1931270807981491,0.31502199172973633,0.36217406392097473,0.20348234474658966,0.2006794661283493,0.2692895829677582,0.36217406392097473,0.22053004801273346,0.266871839761734,0.36217406392097473,0.1341395527124405,0.24448587000370026,0.31575819849967957
for,0.3017193675041199,0.318512886762619,0.11954054981470108,0.196146160364151,0.2342945635318756,0.4739971458911896,0.2965082824230194,0.29294124245643616,0.3650246858596802,0.4739971458911896,0.2884059548377991,0.4185989499092102,0.4739971458911896,0.1612590253353119,0.17102979123592377,0.264628142118454
