,where,is,the,metrocentre,located,?
close,0.2642509639263153,0.26769399642944336,0.2625353932380676,0.26076942682266235,0.2629094123840332,0.1908312737941742
to,0.47735077142715454,0.42745086550712585,0.535392165184021,0.24607999622821808,0.20850814878940582,0.29463258385658264
newcastle,0.1576872318983078,0.1841045320034027,0.2253497689962387,0.31151723861694336,0.16362841427326202,0.0902252271771431
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.3126124441623688,0.2678719460964203,0.31091248989105225
the,0.5003893971443176,0.5823672413825989,1.0,0.3136177361011505,0.407527357339859,0.22068053483963013
largest,0.2018657773733139,0.3413417339324951,0.3757036626338959,0.3527601361274719,0.37509143352508545,0.12401245534420013
indoor,0.29394543170928955,0.22525280714035034,0.25390395522117615,0.3192397356033325,0.2468247413635254,0.09507113695144653
shopping,0.2748192846775055,0.2358693778514862,0.2492470145225525,0.3890209197998047,0.38205644488334656,0.1303974688053131
centre,0.2700293958187103,0.29804176092147827,0.32783594727516174,0.6238755583763123,0.4169827997684479,0.019365152344107628
in,0.5344807505607605,0.5394441485404968,0.6662389636039734,0.3235016167163849,0.35149815678596497,0.20430970191955566
europe,0.2320680469274521,0.20961034297943115,0.34463706612586975,0.24915842711925507,0.107456274330616,0.18278923630714417
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.3126124441623688,0.2678719460964203,0.31091248989105225
the,0.5003893971443176,0.5823672413825989,1.0,0.3136177361011505,0.407527357339859,0.22068053483963013
metrocentre,0.32397523522377014,0.27599987387657166,0.3136177361011505,1.0,0.37200748920440674,0.13450856506824493
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.3126124441623688,0.2678719460964203,0.31091248989105225
is,0.3586711287498474,1.0,0.5823672413825989,0.27599987387657166,0.35717159509658813,0.22961433231830597
located,0.350632905960083,0.35717159509658813,0.407527357339859,0.37200748920440674,1.0,0.08983194828033447
in,0.5344807505607605,0.5394441485404968,0.6662389636039734,0.3235016167163849,0.35149815678596497,0.20430970191955566
gateshead,0.2095002382993698,0.23018525540828705,0.29985129833221436,0.3235419690608978,0.2829378545284271,0.14773961901664734
.,0.41390106081962585,0.4569662809371948,0.5934505462646484,0.2854446470737457,0.28226932883262634,0.4130953550338745
