,who,found,that,protestants,voted,for,nazis,more,than,catholics,?
nevertheless,0.23743179440498352,0.21556708216667175,0.4617612063884735,0.23267893493175507,0.2257857322692871,0.274604856967926,0.22381913661956787,0.34034407138824463,0.2706332504749298,0.25633665919303894,0.12207362055778503
",",0.3365725874900818,0.27385151386260986,0.4137537479400635,0.2839384078979492,0.2582967281341553,0.4464869201183319,0.21364323794841766,0.3696524500846863,0.3371901512145996,0.2824510335922241,0.31091248989105225
professor,0.2747347950935364,0.1294979304075241,0.13997994363307953,0.18426044285297394,0.11226678639650345,0.1630515307188034,0.1733400523662567,0.10833337157964706,0.08197792619466782,0.16092288494110107,0.09837866574525833
richard,0.27835920453071594,0.10971421748399734,0.1658092886209488,0.15560847520828247,0.11935341358184814,0.1862935870885849,0.1725723296403885,0.13744130730628967,0.12143807858228683,0.09426376223564148,0.15003317594528198
(,0.2443375140428543,0.1583331823348999,0.2264307141304016,0.14719991385936737,0.16356149315834045,0.3357032239437103,0.09539476782083511,0.20831379294395447,0.19419437646865845,0.16846688091754913,0.40561532974243164
dick,0.21179524064064026,-0.005347803235054016,0.1571781039237976,0.1451607197523117,0.22047053277492523,0.1719774752855301,0.12746140360832214,0.1540805995464325,0.21250510215759277,0.10581258684396744,0.1753130704164505
),0.2457384318113327,0.16750772297382355,0.23478686809539795,0.16586238145828247,0.15132349729537964,0.3639558255672455,0.10535125434398651,0.23179085552692413,0.21982109546661377,0.16548430919647217,0.42300865054130554
geary,0.21419034898281097,0.1274579018354416,0.1558142602443695,0.17182742059230804,0.17422832548618317,0.24814100563526154,0.18361005187034607,0.1336267739534378,0.05065873637795448,0.1976168304681778,0.13744425773620605
",",0.3365725874900818,0.27385151386260986,0.4137537479400635,0.2839384078979492,0.2582967281341553,0.4464869201183319,0.21364323794841766,0.3696524500846863,0.3371901512145996,0.2824510335922241,0.31091248989105225
former,0.25351381301879883,0.14623598754405975,0.138786181807518,0.12395864725112915,0.19699601829051971,0.23718710243701935,0.04837721213698387,0.11960987746715546,0.10462044179439545,0.110346719622612,0.10570605844259262
