,the,umc,understands,itself,to,be,part,of,what,church,?
the,1.0,0.21262750029563904,0.3002285063266754,0.45971640944480896,0.535392165184021,0.4248143136501312,0.527681291103363,0.733189046382904,0.42745697498321533,0.23846197128295898,0.22068053483963013
united,0.34367692470550537,0.1928277611732483,0.052352506667375565,0.2141486257314682,0.2715383470058441,0.20382754504680634,0.221727192401886,0.3187655806541443,0.20036718249320984,0.19284281134605408,0.17266890406608582
methodist,0.21922016143798828,0.2650960683822632,0.12783069908618927,0.15916304290294647,0.21503986418247223,0.11651849001646042,0.1633438766002655,0.28458893299102783,0.17637217044830322,0.6119816899299622,0.1436992734670639
church,0.23846197128295898,0.20494024455547333,0.2064945548772812,0.2276635766029358,0.24439501762390137,0.14655785262584686,0.20504266023635864,0.3079429268836975,0.1944202184677124,0.9999999403953552,0.18081501126289368
understands,0.3002285063266754,0.24234408140182495,0.9999999403953552,0.2903222441673279,0.38170772790908813,0.38863834738731384,0.27665579319000244,0.2492469847202301,0.49017760157585144,0.2064945548772812,0.3376098573207855
itself,0.45971640944480896,0.1756424903869629,0.2903222441673279,1.0,0.340527206659317,0.34821414947509766,0.357267290353775,0.3157202899456024,0.3625122308731079,0.2276635766029358,0.17933900654315948
to,0.535392165184021,0.23076260089874268,0.38170772790908813,0.340527206659317,1.0,0.4972836375236511,0.2875264883041382,0.41548454761505127,0.455847829580307,0.24439501762390137,0.29463258385658264
be,0.4248143136501312,0.22188781201839447,0.38863834738731384,0.34821414947509766,0.4972836375236511,1.0,0.24258971214294434,0.33904364705085754,0.3929833769798279,0.14655785262584686,0.3324260413646698
part,0.527681291103363,0.17008893191814423,0.27665579319000244,0.357267290353775,0.2875264883041382,0.24258971214294434,1.0,0.452393114566803,0.3476244807243347,0.20504266023635864,0.08557961881160736
of,0.733189046382904,0.18128293752670288,0.2492469847202301,0.3157202899456024,0.41548454761505127,0.33904364705085754,0.452393114566803,1.0,0.33290785551071167,0.3079429268836975,0.1826142966747284
