,what,effect,did,the,plague,have,on,the,middle,east,?
the,0.42745697498321533,0.2865084111690521,0.34736719727516174,1.0,0.2537761330604553,0.40389683842658997,0.5107308030128479,1.0,0.3405749201774597,0.3383176326751709,0.22068053483963013
plague,0.22263506054878235,0.23381268978118896,0.1901843398809433,0.2537761330604553,0.9999999403953552,0.1807374507188797,0.16606301069259644,0.2537761330604553,0.17338109016418457,0.1925378143787384,0.11872942000627518
struck,0.2538670599460602,0.18151545524597168,0.2111637443304062,0.2575269043445587,0.23939618468284607,0.18019360303878784,0.3249397277832031,0.2575269043445587,0.18815287947654724,0.2087373286485672,0.16401498019695282
various,0.26045072078704834,0.17468474805355072,0.19538888335227966,0.3235042691230774,0.1842402070760727,0.3855627775192261,0.2678913474082947,0.3235042691230774,0.20336158573627472,0.1861381083726883,0.12823495268821716
countries,0.22319257259368896,0.21742869913578033,0.2888847887516022,0.33290645480155945,0.2480633556842804,0.3603367507457733,0.2938643991947174,0.33290645480155945,0.28406983613967896,0.28804680705070496,0.15128466486930847
in,0.30808621644973755,0.25150683522224426,0.2593238651752472,0.6662389636039734,0.2488756626844406,0.36843645572662354,0.46853652596473694,0.6662389636039734,0.26767921447753906,0.32659441232681274,0.20430970191955566
the,0.42745697498321533,0.2865084111690521,0.34736719727516174,1.0,0.2537761330604553,0.40389683842658997,0.5107308030128479,1.0,0.3405749201774597,0.3383176326751709,0.22068053483963013
middle,0.18312302231788635,0.11310401558876038,0.17732174694538116,0.3405749201774597,0.17338109016418457,0.2068544626235962,0.22140929102897644,0.3405749201774597,0.9999998807907104,0.3956385850906372,0.13139553368091583
east,0.19840149581432343,0.09447216242551804,0.17160435020923615,0.3383176326751709,0.1925378143787384,0.13639354705810547,0.20555776357650757,0.3383176326751709,0.3956385850906372,1.0000001192092896,0.10070597380399704
during,0.24137552082538605,0.20656293630599976,0.30679523944854736,0.4838213622570038,0.25791043043136597,0.27574852108955383,0.3347817361354828,0.4838213622570038,0.2737145721912384,0.20910711586475372,0.1325719803571701
the,0.42745697498321533,0.2865084111690521,0.34736719727516174,1.0,0.2537761330604553,0.40389683842658997,0.5107308030128479,1.0,0.3405749201774597,0.3383176326751709,0.22068053483963013
pandemic,0.14410065114498138,0.2442561239004135,0.1480131894350052,0.21906514465808868,0.5034893155097961,0.24579519033432007,0.16102713346481323,0.21906514465808868,0.09012773633003235,0.20592191815376282,0.1620408594608307
",",0.3087472915649414,0.2150653600692749,0.3015086054801941,0.4933079481124878,0.2630122900009155,0.3541618287563324,0.49057599902153015,0.4933079481124878,0.24847112596035004,0.319791704416275,0.31091248989105225
leading,0.197072371840477,0.20655827224254608,0.20311816036701202,0.3809107840061188,0.1471012532711029,0.16850294172763824,0.19906695187091827,0.3809107840061188,0.12435203045606613,0.1977594494819641,0.1360926628112793
to,0.455847829580307,0.2521958649158478,0.4452643394470215,0.535392165184021,0.21845681965351105,0.4544740617275238,0.41031414270401,0.535392165184021,0.2015334814786911,0.24717837572097778,0.29463258385658264
serious,0.3481818735599518,0.28520214557647705,0.3013137876987457,0.2602829933166504,0.34533455967903137,0.37713074684143066,0.23210668563842773,0.2602829933166504,0.0973503366112709,0.11928390711545944,0.23093265295028687
depopulation,0.2610146105289459,0.25874024629592896,0.12976281344890594,0.3212580978870392,0.35981664061546326,0.2816554605960846,0.1813911646604538,0.3212580978870392,0.13499993085861206,0.2867410182952881,0.21363584697246552
and,0.31309178471565247,0.23508284986019135,0.34479495882987976,0.5171257257461548,0.2229994833469391,0.4711785912513733,0.4077630043029785,0.5171257257461548,0.2514324486255646,0.27633291482925415,0.20544172823429108
permanent,0.21309445798397064,0.22675135731697083,0.17201969027519226,0.34165191650390625,0.150582417845726,0.2854613959789276,0.23910291492938995,0.34165191650390625,0.04645729437470436,0.07935014367103577,0.14813289046287537
change,0.3690716028213501,0.38034018874168396,0.2806394100189209,0.3641999065876007,0.16397081315517426,0.40199920535087585,0.3118341565132141,0.3641999065876007,0.17018850147724152,0.1706494837999344,0.24115969240665436
in,0.30808621644973755,0.25150683522224426,0.2593238651752472,0.6662389636039734,0.2488756626844406,0.36843645572662354,0.46853652596473694,0.6662389636039734,0.26767921447753906,0.32659441232681274,0.20430970191955566
both,0.3361809551715851,0.22425831854343414,0.34255191683769226,0.4931981563568115,0.08559051156044006,0.43702858686447144,0.3685423731803894,0.4931981563568115,0.20252567529678345,0.1595112681388855,0.19455738365650177
economic,0.18082544207572937,0.25554975867271423,0.14787930250167847,0.282455176115036,0.19933907687664032,0.18631099164485931,0.20757777988910675,0.282455176115036,0.22097447514533997,0.23282453417778015,0.1206481084227562
and,0.31309178471565247,0.23508284986019135,0.34479495882987976,0.5171257257461548,0.2229994833469391,0.4711785912513733,0.4077630043029785,0.5171257257461548,0.2514324486255646,0.27633291482925415,0.20544172823429108
social,0.22217629849910736,0.26389285922050476,0.1977856606245041,0.21797899901866913,0.18605965375900269,0.2098868191242218,0.24255602061748505,0.21797899901866913,0.18564507365226746,0.14984279870986938,0.1615191102027893
structures,0.19226044416427612,0.2005283236503601,0.10678435117006302,0.2516176700592041,0.2105327993631363,0.27036362886428833,0.21626624464988708,0.2516176700592041,0.1987333744764328,0.19744394719600677,0.13590580224990845
.,0.3567904531955719,0.2277858853340149,0.35288307070732117,0.5934505462646484,0.2547653317451477,0.41614407300949097,0.49257001280784607,0.5934505462646484,0.2989427447319031,0.28351864218711853,0.4130953550338745
