,what,group,of,civil,disobedients,brought,medicine,to,iraq,without,the,permission,of,the,government,?
some,0.4491020441055298,0.34515711665153503,0.4300730526447296,0.1851816177368164,0.369945228099823,0.33627012372016907,0.21302343904972076,0.4636894166469574,0.2381627857685089,0.3382771611213684,0.4566698372364044,0.3017824590206146,0.4300730526447296,0.4566698372364044,0.2568245828151703,0.2562315762042999
civil,0.15091551840305328,0.07985135167837143,0.24698495864868164,1.0,0.5063242316246033,0.23051263391971588,0.09804972261190414,0.2019355595111847,0.2977738678455353,0.15056446194648743,0.2477465271949768,0.1989145129919052,0.24698495864868164,0.2477465271949768,0.30626749992370605,0.1494513899087906
disobedients,0.3241478204727173,0.23632213473320007,0.32510921359062195,0.5063242316246033,0.9999998807907104,0.26530367136001587,0.2376505434513092,0.34340938925743103,0.33855199813842773,0.3344866931438446,0.34096023440361023,0.32112881541252136,0.32510921359062195,0.34096023440361023,0.39648327231407166,0.18925230205059052
",",0.3087472915649414,0.2809832692146301,0.4946078956127167,0.24795588850975037,0.2989228069782257,0.30810219049453735,0.2526143491268158,0.44245919585227966,0.20734131336212158,0.24492648243904114,0.4933079481124878,0.2866009473800659,0.4946078956127167,0.4933079481124878,0.27344048023223877,0.31091248989105225
such,0.23989605903625488,0.23581965267658234,0.3209529519081116,0.09689128398895264,0.29000118374824524,0.25122788548469543,0.21701680123806,0.2871878743171692,0.12393622100353241,0.3131762146949768,0.3575236201286316,0.22535640001296997,0.3209529519081116,0.3575236201286316,0.13764050602912903,0.17851735651493073
as,0.31749409437179565,0.2519444227218628,0.3886612355709076,0.18100082874298096,0.2719380557537079,0.2719915211200714,0.16645358502864838,0.42092081904411316,0.18979857861995697,0.2948721945285797,0.48381632566452026,0.24627867341041565,0.3886612355709076,0.48381632566452026,0.1883569210767746,0.27043893933296204
the,0.42745697498321533,0.30795547366142273,0.733189046382904,0.2477465271949768,0.34096023440361023,0.32700833678245544,0.19564834237098694,0.535392165184021,0.2386751025915146,0.3270869255065918,1.0,0.2008170187473297,0.733189046382904,1.0,0.31798112392425537,0.22068053483963013
proprietors,0.16715747117996216,0.15131597220897675,0.297958105802536,0.1640411913394928,0.2343549281358719,0.16535738110542297,0.19680863618850708,0.26386186480522156,0.1310354322195053,0.2139933705329895,0.32072287797927856,0.28205564618110657,0.297958105802536,0.32072287797927856,0.30445048213005066,0.10467316955327988
of,0.33290785551071167,0.25542253255844116,1.0,0.24698495864868164,0.32510921359062195,0.3339962065219879,0.20997224748134613,0.41548454761505127,0.24110949039459229,0.3081340193748474,0.733189046382904,0.20709235966205597,1.0,0.733189046382904,0.3475167155265808,0.1826142966747284
illegal,0.21956031024456024,0.19952647387981415,0.19375135004520416,0.17244401574134827,0.3693588376045227,0.15047118067741394,0.20563089847564697,0.26434260606765747,0.2754470705986023,0.29042771458625793,0.18815846741199493,0.3369608521461487,0.19375135004520416,0.18815846741199493,0.2657006084918976,0.1562941074371338
